Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1986-07-09,1.2726,1.2799,1.2642,1.2642,399858
1986-07-10,1.2642,1.2799,1.2642,1.2799,621433
1986-07-11,1.2642,1.2799,1.2642,1.2642,244501
1986-07-14,1.2642,1.2726,1.2642,1.2642,825182
1986-07-15,1.2642,1.2726,1.2559,1.2726,3226878
1986-07-16,1.2726,1.2726,1.2642,1.2642,567952
1986-07-17,1.2642,1.2642,1.2642,1.2642,496640
1986-07-18,1.2642,1.2726,1.2642,1.2642,827729
1986-07-21,1.2642,1.2726,1.2642,1.2642,262326
1986-07-22,1.2642,1.2726,1.2404,1.2404,1698757
1986-07-23,1.2487,1.2487,1.2167,1.2167,1469539
1986-07-24,1.2167,1.2167,1.1529,1.1529,2753160
1986-07-25,1.1529,1.161,1.0893,1.0975,1568867
1986-07-28,1.0975,1.0975,1.0893,1.0975,501735
1986-07-29,1.0893,1.0893,1.0734,1.0734,1385492
1986-07-30,1.0734,1.0812,1.0497,1.0576,1092607
1986-07-31,1.0576,1.0576,1.0416,1.0497,517011
1986-08-01,1.0416,1.0497,1.0416,1.0416,748776
1986-08-04,1.0416,1.0416,0.9781,0.9942,2893238
1986-08-05,0.9781,0.9942,0.9541,0.9541,517011
1986-08-06,0.9541,0.962,0.9541,0.962,216485
1986-08-07,0.9541,0.962,0.9541,0.962,117154
1986-08-08,0.9541,0.9541,0.9541,0.9541,173188
1986-08-11,0.962,0.962,0.9541,0.9541,114608
1986-08-12,0.962,0.962,0.9541,0.962,226672
1986-08-13,0.962,1.002,0.962,1.002,1112977
1986-08-14,1.002,1.0259,1.002,1.0259,1115526
1986-08-15,1.0335,1.0335,1.0179,1.0335,193562
1986-08-18,1.0335,1.0335,1.0335,1.0335,66218
1986-08-19,1.0179,1.0416,1.0179,1.0335,873576
1986-08-20,1.0335,1.0416,1.0335,1.0335,272514
1986-08-21,1.0416,1.0497,1.0335,1.0497,99329
1986-08-22,1.0497,1.0497,1.0335,1.0416,432966
1986-08-25,1.0497,1.0497,1.0416,1.0497,300531
1986-08-26,1.0497,1.0497,1.0416,1.0497,2338020
1986-08-27,1.0416,1.0497,1.0416,1.0416,786981
1986-08-28,1.0497,1.0497,1.0335,1.0497,203747
1986-08-29,1.0335,1.0497,1.0179,1.0179,583231
1986-09-02,1.0335,1.0335,0.9781,0.9781,1240321
1986-09-03,0.9781,1.002,0.9781,0.9858,812449
1986-09-04,0.9781,0.9942,0.9781,0.9858,1158823
1986-09-05,0.9858,0.9942,0.9858,0.9942,198657
1986-09-08,0.9858,1.002,0.9858,1.002,168094
1986-09-09,0.9942,1.002,0.9942,1.002,267419
1986-09-10,1.002,1.0095,1.002,1.0095,165547
1986-09-11,1.0095,1.0095,0.9942,0.9942,491545
1986-09-12,1.002,1.002,0.9781,0.9781,583231
1986-09-15,0.9781,0.9858,0.9462,0.9462,843011
1986-09-16,0.9462,0.9462,0.9222,0.9301,476262
1986-09-17,0.9222,0.9383,0.9222,0.9222,593418
1986-09-18,0.9222,0.9383,0.9222,0.9222,170641
1986-09-19,0.9222,0.9383,0.9222,0.9383,1110430
1986-09-22,0.9222,0.9383,0.9222,0.9383,376936
1986-09-23,0.9301,0.9383,0.9301,0.9383,234311
1986-09-24,0.9383,0.9383,0.9301,0.9301,145170
1986-09-25,0.9301,0.9383,0.9301,0.9383,422779
1986-09-26,0.9462,0.9462,0.9383,0.9383,478810
1986-09-29,0.9383,0.9462,0.9301,0.9301,1436430
1986-09-30,0.9301,0.9462,0.9301,0.9301,122248
1986-10-01,0.9462,0.9462,0.9383,0.9462,420232
1986-10-02,0.9462,0.9462,0.9383,0.9383,221576
1986-10-03,0.9462,0.9541,0.9383,0.9462,338731
1986-10-06,0.9541,0.9541,0.9462,0.9462,234311
1986-10-07,0.9462,0.9462,0.9462,0.9462,354011
1986-10-08,0.9462,0.9462,0.9462,0.9462,471170
1986-10-09,0.9462,0.962,0.9462,0.9462,359109
1986-10-10,0.9462,0.962,0.9462,0.9541,150266
1986-10-13,0.962,0.962,0.9541,0.9541,71312
1986-10-14,0.962,0.9781,0.962,0.9781,664731
1986-10-15,0.97,0.9858,0.97,0.9858,555218
1986-10-16,0.9781,1.002,0.9781,0.9942,476262
1986-10-17,0.9858,0.9942,0.9858,0.9858,1286168
1986-10-20,0.9858,0.9942,0.9858,0.9942,2335472
1986-10-21,0.9942,1.002,0.9858,1.002,881211
1986-10-22,1.002,1.0095,1.002,1.0095,310718
1986-10-23,1.0095,1.0335,1.002,1.0179,570493
1986-10-24,1.0179,1.0335,1.0179,1.0335,415140
1986-10-27,1.0335,1.0497,1.0259,1.0416,509374
1986-10-28,1.0497,1.0653,1.0497,1.0576,550122
1986-10-29,1.0497,1.0653,1.0497,1.0576,690200
1986-10-30,1.0653,1.0734,1.0576,1.0734,117154
1986-10-31,1.0734,1.0734,1.0576,1.0653,2597803
1986-11-03,1.0653,1.0653,1.0576,1.0653,119701
1986-11-04,1.0576,1.0734,1.0576,1.0653,473713
1986-11-05,1.0734,1.105,1.0734,1.0893,2279444
1986-11-06,1.1132,1.1132,1.0893,1.105,127343
1986-11-07,1.0893,1.105,1.0893,1.0893,313266
1986-11-10,1.0893,1.0975,1.0893,1.0975,460981
1986-11-11,1.0975,1.0975,1.0893,1.0975,203747
1986-11-12,1.0893,1.105,1.0653,1.0734,2979829
1986-11-13,1.0653,1.0734,1.0653,1.0653,1981461
1986-11-14,1.0653,1.0734,1.0653,1.0653,382033
1986-11-17,1.0653,1.0734,1.0653,1.0734,392217
1986-11-18,1.0653,1.0734,1.0653,1.0653,1084963
1986-11-19,1.0734,1.0734,1.0497,1.0653,1209760
1986-11-20,1.0653,1.0653,1.0497,1.0497,254685
1986-11-21,1.0497,1.0576,1.0497,1.0497,537388
1986-11-24,1.0576,1.0576,1.0335,1.0416,509374
1986-11-25,1.0335,1.0497,1.0335,1.0497,603607
1986-11-26,1.0576,1.0812,1.0576,1.0734,583231
1986-11-28,1.0812,1.0975,1.0734,1.0893,267419
1986-12-01,1.0975,1.0975,1.0812,1.0975,208844
1986-12-02,1.0975,1.1132,1.0975,1.105,1398230
1986-12-03,1.0975,1.1132,1.0975,1.1132,231766
1986-12-04,1.1132,1.1132,1.105,1.1132,145170
1986-12-05,1.105,1.1211,1.105,1.1132,476262
1986-12-08,1.1132,1.1211,1.105,1.1132,504279
1986-12-09,1.1132,1.1211,1.105,1.105,300531
1986-12-10,1.105,1.1132,1.105,1.1132,387123
1986-12-11,1.105,1.1132,1.105,1.1132,272514
1986-12-12,1.105,1.1132,1.105,1.105,341281
1986-12-15,1.105,1.1132,1.0975,1.105,1372759
1986-12-16,1.1132,1.1132,1.105,1.1132,297985
1986-12-17,1.105,1.1132,1.105,1.1132,626528
1986-12-18,1.105,1.1132,1.0893,1.0975,1609618
1986-12-19,1.0975,1.105,1.0893,1.0893,1724225
1986-12-22,1.0975,1.0975,1.0893,1.0975,1502650
1986-12-23,1.0893,1.0975,1.0653,1.0653,812449
1986-12-24,1.0653,1.0734,1.0497,1.0497,2310006
1986-12-26,1.0497,1.0576,1.0497,1.0497,1146088
1986-12-29,1.0497,1.0497,1.0497,1.0497,1146088
1986-12-30,1.0497,1.0576,1.0497,1.0497,369301
1986-12-31,1.0497,1.0576,1.0497,1.0497,488999
1987-01-02,1.0497,1.0576,1.0497,1.0497,157907
1987-01-05,1.0576,1.105,1.0497,1.105,1230135
1987-01-06,1.0975,1.1132,1.0975,1.105,331093
1987-01-07,1.105,1.105,1.0975,1.0975,2101159
1987-01-08,1.0975,1.1451,1.0975,1.1451,975447
1987-01-09,1.1371,1.1688,1.1371,1.161,975447
1987-01-12,1.1845,1.1845,1.1529,1.1845,522105
1987-01-13,1.1845,1.1928,1.1845,1.1845,147718
1987-01-14,1.1845,1.2404,1.1845,1.2323,1115526
1987-01-15,1.2404,1.2642,1.2404,1.2642,860839
1987-01-16,1.2559,1.2642,1.2404,1.2559,427873
1987-01-19,1.2559,1.2726,1.2404,1.2726,392217
1987-01-20,1.2799,1.2799,1.2726,1.2726,1179198
1987-01-21,1.2726,1.2799,1.2642,1.2642,392217
1987-01-22,1.2642,1.2726,1.2642,1.2642,537388
1987-01-23,1.2726,1.2799,1.2642,1.2642,705478
1987-01-26,1.2642,1.2726,1.2559,1.2642,287797
1987-01-27,1.2642,1.2642,1.2487,1.2559,1810821
1987-01-28,1.2487,1.2642,1.2487,1.2642,366748
1987-01-29,1.2487,1.2642,1.2404,1.2559,404950
