Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-07-01,1.6504,1.6972,1.6504,1.66,191326
1985-07-02,1.66,1.66,1.632,1.641,362063
1985-07-03,1.6504,1.6874,1.6504,1.6874,2047967
1985-07-05,1.6874,1.6874,1.6785,1.6785,125265
1985-07-08,1.6785,1.6874,1.66,1.6874,169878
1985-07-09,1.6874,1.6874,1.641,1.66,280555
1985-07-10,1.66,1.66,1.6038,1.632,1406206
1985-07-11,1.632,1.6874,1.632,1.66,1107634
1985-07-12,1.66,1.6874,1.6504,1.66,1718508
1985-07-15,1.66,1.7156,1.66,1.7156,839091
1985-07-16,1.7156,1.7623,1.6972,1.7623,507057
1985-07-17,1.7811,1.8463,1.7811,1.8278,1441383
1985-07-18,1.8278,1.8463,1.7901,1.809,652913
1985-07-19,1.809,1.8463,1.809,1.8181,1187425
1985-07-22,1.8181,1.8181,1.7901,1.8181,482176
1985-07-23,1.8181,1.8181,1.7811,1.809,244519
1985-07-24,1.809,1.809,1.7529,1.7623,314874
1985-07-25,1.7623,1.7623,1.7438,1.7438,125265
1985-07-26,1.7438,1.7529,1.7156,1.7252,567974
1985-07-29,1.7252,1.7252,1.66,1.6874,169878
1985-07-30,1.6785,1.6785,1.5945,1.6128,323456
1985-07-31,1.6128,1.641,1.6038,1.6128,270260
1985-08-01,1.6128,1.641,1.6038,1.632,233367
1985-08-02,1.632,1.632,1.6038,1.6038,336323
1985-08-05,1.5945,1.5945,1.5293,1.5479,223930
1985-08-06,1.5479,1.5479,1.4453,1.5106,696668
1985-08-07,1.5106,1.5106,1.5012,1.5106,166445
1985-08-08,1.5106,1.5106,1.4082,1.464,1490289
1985-08-09,1.4733,1.5106,1.4733,1.5106,619453
1985-08-12,1.5106,1.5293,1.4827,1.4827,61772
1985-08-13,1.4827,1.4827,1.4733,1.4733,361203
1985-08-14,1.4733,1.4733,1.464,1.464,120971
1985-08-15,1.464,1.4827,1.4453,1.4733,36892
1985-08-16,1.4733,1.4827,1.436,1.436,73785
1985-08-19,1.436,1.464,1.4082,1.4082,358627
1985-08-20,1.4082,1.436,1.4082,1.4082,977225
1985-08-21,1.4082,1.4266,1.3988,1.4082,550815
1985-08-22,1.4082,1.4453,1.4082,1.4266,139849
1985-08-23,1.4266,1.436,1.4082,1.436,87513
1985-08-26,1.436,1.4453,1.4082,1.4082,74643
1985-08-27,1.4082,1.4266,1.4082,1.4266,139849
1985-08-28,1.4266,1.4266,1.3798,1.3798,277125
1985-08-29,1.3798,1.3988,1.3798,1.3891,827937
1985-08-30,1.4082,1.4453,1.4082,1.4453,410967
1985-09-03,1.4453,1.4733,1.4082,1.436,159581
1985-09-04,1.436,1.464,1.4266,1.4453,170735
1985-09-05,1.4453,1.4453,1.3798,1.4082,136415
1985-09-06,1.3988,1.3988,1.3613,1.3988,169878
1985-09-09,1.3891,1.3891,1.3519,1.3798,84939
1985-09-10,1.3798,1.3891,1.3519,1.3708,83221
1985-09-11,1.3519,1.3519,1.3053,1.3053,207628
1985-09-12,1.3053,1.3053,1.2401,1.2401,215352
1985-09-13,1.2401,1.2494,1.2028,1.2121,377506
1985-09-16,1.2028,1.2028,1.1097,1.1655,314017
1985-09-17,1.1655,1.2121,1.1376,1.2121,184463
1985-09-18,1.2121,1.2589,1.2028,1.2121,475313
1985-09-19,1.2121,1.2589,1.2121,1.2494,271117
1985-09-20,1.2494,1.2867,1.2401,1.2401,277125
1985-09-23,1.2401,1.2867,1.2401,1.2589,326884
1985-09-24,1.2589,1.2589,1.2401,1.2494,78933
1985-09-25,1.2494,1.2494,1.2218,1.2218,46329
1985-09-26,1.2218,1.2401,1.2218,1.2401,163012
1985-09-30,1.2401,1.2494,1.2121,1.2494,172451
1985-10-01,1.2218,1.2494,1.2218,1.2401,314017
1985-10-02,1.2494,1.2867,1.2494,1.2772,346620
1985-10-03,1.2772,1.3053,1.2589,1.2589,148428
1985-10-04,1.2589,1.2867,1.2589,1.2867,885423
1985-10-07,1.2772,1.2772,1.2589,1.2772,62631
1985-10-08,1.2772,1.2772,1.2494,1.2589,51478
1985-10-09,1.2589,1.2772,1.2494,1.2589,130413
1985-10-10,1.2589,1.2589,1.2121,1.2121,1725371
1985-10-11,1.2121,1.2218,1.175,1.1841,112396
1985-10-14,1.1841,1.2028,1.1469,1.175,378364
1985-10-15,1.175,1.1841,1.1376,1.1469,187037
1985-10-16,1.1469,1.2028,1.1281,1.1376,173309
1985-10-17,1.1376,1.1376,1.0629,1.0629,1262070
1985-10-18,1.0629,1.0909,1.0444,1.0723,776459
1985-10-21,1.0723,1.0909,1.0629,1.0909,675220
1985-10-22,1.0909,1.1097,1.0629,1.0723,3881439
1985-10-23,1.0909,1.1376,1.0909,1.1281,1302392
1985-10-24,1.1281,1.1281,1.1097,1.1281,423837
1985-10-25,1.1281,1.1376,1.1097,1.1097,206769
1985-10-28,1.1097,1.1376,1.1097,1.1281,163873
1985-10-29,1.1281,1.1376,1.1281,1.1376,262537
1985-10-30,1.1376,1.1469,1.1281,1.1281,265970
1985-10-31,1.1281,1.1376,1.1002,1.1097,161298
1985-11-01,1.1097,1.1097,1.0909,1.1002,93518
1985-11-04,1.1002,1.1281,1.1002,1.1097,677793
1985-11-05,1.1097,1.1281,1.1002,1.1097,345762
1985-11-06,1.1097,1.1281,1.1002,1.1097,556821
1985-11-07,1.1097,1.1469,1.1002,1.1469,1304967
1985-11-08,1.1469,1.2028,1.1376,1.2028,286559
1985-11-11,1.2028,1.2494,1.2028,1.2494,429841
1985-11-12,1.2494,1.3239,1.2494,1.3147,691522
1985-11-13,1.3427,1.3891,1.3427,1.3798,2621945
1985-11-14,1.3798,1.4173,1.3798,1.3891,2708601
1985-11-15,1.3891,1.3891,1.3519,1.3798,302006
1985-11-18,1.3798,1.3798,1.3519,1.3798,678649
1985-11-19,1.3798,1.3798,1.3427,1.3427,344903
1985-11-20,1.3427,1.3427,1.3147,1.3147,532794
1985-11-21,1.3147,1.3891,1.3147,1.3891,961780
1985-11-22,1.3798,1.3798,1.3519,1.3708,389516
1985-11-25,1.3708,1.3798,1.3519,1.3798,349192
1985-11-26,1.3798,1.3798,1.3427,1.3708,176740
1985-11-27,1.3708,1.3708,1.3427,1.3708,90087
1985-11-29,1.3708,1.3708,1.3427,1.3519,266826
1985-12-02,1.3519,1.3798,1.3147,1.3519,863115
1985-12-03,1.3519,1.3798,1.3427,1.3519,217067
1985-12-04,1.3519,1.3708,1.3239,1.3519,520785
1985-12-05,1.3519,1.3519,1.3239,1.3239,579125
1985-12-06,1.3147,1.3147,1.2401,1.2401,247953
1985-12-09,1.2401,1.2772,1.1936,1.2682,1310973
1985-12-10,1.2682,1.3147,1.2682,1.2682,365494
1985-12-11,1.2682,1.3053,1.2308,1.2963,475313
1985-12-12,1.2963,1.3335,1.2772,1.3053,566257
1985-12-13,1.3053,1.3798,1.2963,1.3798,462443
1985-12-16,1.3988,1.4919,1.3988,1.4547,1383040
1985-12-17,1.4827,1.5106,1.4827,1.4827,737851
1985-12-18,1.4547,1.4547,1.3988,1.4173,604007
1985-12-19,1.4082,1.4082,1.3427,1.3427,327743
1985-12-20,1.3427,1.3988,1.3335,1.3988,344043
1985-12-23,1.3613,1.3988,1.3613,1.3613,199905
1985-12-24,1.3613,1.3613,1.3427,1.3427,182747
1985-12-26,1.3427,1.3613,1.3427,1.3613,103815
1985-12-27,1.3708,1.4082,1.3708,1.4082,243663
1985-12-30,1.4082,1.4082,1.3708,1.4082,227360
1985-12-31,1.4082,1.4082,1.3613,1.3988,370638
1986-01-02,1.3988,1.4082,1.3798,1.4082,158724
1986-01-03,1.4082,1.4547,1.3988,1.4453,2361124
1986-01-06,1.4453,1.4827,1.4453,1.4547,298571
1986-01-07,1.4547,1.5385,1.4453,1.5385,689806
1986-01-08,1.5385,1.6225,1.4827,1.5106,778177
1986-01-09,1.4733,1.4733,1.3798,1.4173,1168550
1986-01-10,1.4173,1.4733,1.3798,1.3798,1606972
1986-01-13,1.3798,1.3798,1.3613,1.3798,747288
1986-01-14,1.3798,1.4173,1.3708,1.4173,524217
1986-01-15,1.4173,1.4453,1.4082,1.4453,539661
1986-01-16,1.4453,1.5106,1.4266,1.4547,424695
1986-01-17,1.4547,1.4827,1.4453,1.4453,172451
1986-01-20,1.4453,1.4733,1.4266,1.4266,392093
1986-01-21,1.4453,1.4827,1.4453,1.4827,482176
1986-01-22,1.4733,1.4733,1.4266,1.4453,199048
1986-01-23,1.4453,1.4453,1.4266,1.4266,185321
1986-01-24,1.4266,1.4547,1.4173,1.4453,157868
1986-01-27,1.4453,1.4453,1.4173,1.4266,308867
1986-01-28,1.4266,1.4733,1.4266,1.4733,453007
1986-01-29,1.4733,1.4919,1.4733,1.4733,429841
1986-01-30,1.4733,1.4919,1.4547,1.4733,209345
1986-01-31,1.4733,1.4827,1.4547,1.4733,736135
1986-02-03,1.4827,1.5479,1.4827,1.5479,1058728
1986-02-04,1.5479,1.5945,1.5201,1.5479,1036422
1986-02-05,1.5574,1.5945,1.5574,1.5945,1092193
1986-02-06,1.5945,1.6504,1.5945,1.632,953199
1986-02-07,1.632,1.632,1.5945,1.6225,589425
1986-02-10,1.6225,1.632,1.5852,1.5945,575696
1986-02-11,1.5945,1.5945,1.5757,1.5945,419545
1986-02-12,1.5945,1.5945,1.5852,1.5852,516494
1986-02-13,1.5852,1.6225,1.5574,1.6225,3566567
1986-02-14,1.6225,1.6689,1.6128,1.66,603150
1986-02-18,1.66,1.7344,1.6504,1.7344,514781
1986-02-19,1.7901,1.8555,1.7901,1.7996,2700880
1986-02-20,1.7996,1.8835,1.7715,1.8742,2023940
1986-02-21,1.9022,1.9766,1.9022,1.9766,1122223
1986-02-24,1.9581,1.9581,1.8835,1.9114,1552919
1986-02-25,1.9114,1.9208,1.7996,1.9114,1709073
1986-02-26,1.9022,1.9022,1.8649,1.8835,782466
1986-02-27,1.8835,1.9022,1.8555,1.8835,1371030
1986-02-28,1.8835,1.9022,1.809,1.8555,954056
1986-03-03,1.8555,1.9208,1.8369,1.9022,2253022
1986-03-04,1.9022,2.0606,1.9022,2.0234,7054199
1986-03-05,2.0234,2.0234,1.9581,1.9766,1232897
1986-03-06,2.0512,2.2099,2.0512,2.1448,3142731
1986-03-07,2.1448,2.2937,2.0234,2.2099,3424144
1986-03-10,2.2099,2.2471,2.1448,2.1914,2579048
1986-03-11,2.1914,2.2193,2.1914,2.1914,2522420
1986-03-12,2.1914,2.2099,2.0979,2.1539,2000776
1986-03-13,2.1539,2.1914,2.1075,2.1351,1237190
1986-03-14,2.1351,2.1819,2.1166,2.1448,1930426
1986-03-17,2.1166,2.1166,2.0702,2.0702,1361595
1986-03-18,2.0702,2.1075,2.0141,2.0421,898291
1986-03-19,2.0421,2.0606,2.0141,2.0141,610016
1986-03-20,2.0141,2.0421,1.9766,2.0048,683800
1986-03-21,2.0048,2.0606,1.9953,2.0327,1582092
1986-03-24,1.9766,1.9766,1.9022,1.9766,1208017
1986-03-25,1.9676,1.9676,1.9302,1.9581,934327
1986-03-26,1.9581,2.2099,1.9581,2.2099,2224710
1986-03-27,2.2378,2.4338,2.2378,2.2937,2032521
1986-03-31,2.3498,2.3498,2.3123,2.3123,1165118
1986-04-01,2.2937,2.2937,2.1539,2.2099,579125
1986-04-02,2.2099,2.2564,2.1351,2.2564,694095
1986-04-03,2.2564,2.2564,2.1448,2.1448,370638
1986-04-04,2.1448,2.1448,2.0606,2.0606,1063881
1986-04-07,2.0606,2.1075,2.0421,2.1075,525074
1986-04-08,2.1166,2.2099,2.1166,2.2099,234224
1986-04-09,2.2099,2.2564,2.1539,2.1819,1013258
1986-04-10,2.1819,2.2193,2.1819,2.1819,207628
1986-04-11,2.1726,2.1726,2.0702,2.1448,1157398
1986-04-14,2.1448,2.2193,2.1166,2.2099,3926057
1986-04-15,2.2099,2.2099,2.1448,2.1726,924029
1986-04-16,2.1726,2.1819,2.1539,2.1726,326884
1986-04-17,2.1726,2.1819,2.0979,2.1166,407531
1986-04-18,2.1166,2.1726,2.0421,2.0606,460727
1986-04-21,2.0606,2.0793,1.9395,2.0327,628887
1986-04-22,2.0327,2.0421,1.9581,1.9766,819361
1986-04-23,1.9766,2.0048,1.9581,2.0048,506198
1986-04-24,2.0048,2.0048,1.9581,1.9581,502770
1986-04-25,1.9581,1.9766,1.9395,1.9766,755008
1986-04-28,1.9766,1.9766,1.9302,1.9676,947197
1986-04-29,1.9676,1.9953,1.9395,1.9766,371498
1986-04-30,1.9766,2.0048,1.9676,1.9766,626316
1986-05-01,1.9766,1.9766,1.9581,1.9676,743860
1986-05-02,1.9676,1.9676,1.8649,1.8649,600576
1986-05-05,1.8649,1.8835,1.7996,1.8835,888855
1986-05-06,1.8928,1.9766,1.8928,1.9302,731845
1986-05-07,1.9302,1.9581,1.8928,1.9395,290850
1986-05-08,1.9395,1.9395,1.8928,1.8928,132984
1986-05-09,1.8928,1.9395,1.8555,1.9302,424695
1986-05-12,1.9302,1.9581,1.8555,1.8649,630603
1986-05-13,1.8649,1.8835,1.8278,1.8649,517355
1986-05-14,1.8649,1.8835,1.7996,1.8835,694954
1986-05-15,1.8835,1.8835,1.7156,1.7623,777318
1986-05-16,1.7623,1.8555,1.7529,1.8181,445284
1986-05-19,1.8181,1.8369,1.7623,1.7811,555962
1986-05-20,1.7901,1.8555,1.7901,1.8278,270260
1986-05-21,1.8278,1.8649,1.8278,1.8649,546524
1986-05-22,1.8649,1.9395,1.8555,1.9395,1151391
1986-05-23,1.9395,1.9581,1.9208,1.9395,643475
1986-05-27,1.9395,1.9395,1.8928,1.9022,724985
1986-05-28,1.9022,1.9302,1.9022,1.9022,799623
1986-05-29,1.9022,1.9022,1.8369,1.8835,289135
1986-05-30,1.8835,1.8835,1.8278,1.8278,1189144
1986-06-02,1.8278,1.8278,1.7529,1.7811,271975
1986-06-03,1.7811,1.8278,1.7623,1.7996,713828
1986-06-04,1.7996,1.8649,1.7996,1.8278,647765
1986-06-05,1.8278,1.8555,1.7996,1.8555,278838
1986-06-06,1.8555,1.9302,1.8555,1.9302,271117
1986-06-09,1.9022,1.9022,1.8369,1.8555,245379
1986-06-10,1.8369,1.8369,1.8278,1.8369,184463
1986-06-11,1.8463,1.8835,1.8278,1.8555,157008
1986-06-12,1.8555,2.0606,1.8555,1.9953,1896106
1986-06-13,2.0234,2.0979,2.0234,2.0979,1543481
1986-06-16,2.0979,2.1448,2.0979,2.1351,948053
1986-06-17,2.1351,2.1351,2.0606,2.0702,1032135
1986-06-18,2.0702,2.0702,2.0327,2.0327,796193
1986-06-19,2.0327,2.0421,1.9395,1.9395,925746
1986-06-20,1.9395,2.0327,1.9395,2.0327,449576
1986-06-23,2.0327,2.0327,1.9676,1.9676,184463
1986-06-24,1.9676,1.9861,1.9581,1.9676,247953
1986-06-25,1.9676,2.0234,1.9676,1.9861,344043
1986-06-26,1.9861,2.0234,1.9861,1.9861,263397
1986-06-27,1.9861,1.9953,1.9676,1.9953,398954
1986-06-30,1.9953,2.0327,1.9953,2.0234,295141
1986-07-01,2.0606,2.0606,2.0048,2.0327,255674
