Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1988-09-07,10.03,10.054,9.972,10.03,4381651
1988-09-08,10.054,10.054,9.972,9.996,1598829
1988-09-09,10.03,10.054,9.972,10.03,1340404
1988-09-12,10.08,10.08,9.972,10.03,67536
1988-09-13,9.972,9.972,9.826,9.91,284217
1988-09-14,9.91,9.945,9.775,9.826,236139
1988-09-15,9.826,9.885,9.715,9.826,276479
1988-09-16,9.715,9.91,9.715,9.91,379657
1988-09-19,9.885,9.91,9.801,9.885,66835
1988-09-20,9.885,9.972,9.885,9.945,82778
1988-09-21,9.945,9.945,9.858,9.858,281168
1988-09-22,9.775,9.801,9.715,9.801,193230
1988-09-23,9.826,9.91,9.775,9.826,119357
1988-09-26,9.801,9.945,9.775,9.801,160399
1988-09-27,9.858,9.885,9.801,9.858,150784
1988-09-28,9.826,9.885,9.801,9.826,180095
1988-09-29,9.885,9.972,9.885,9.91,281869
1988-09-30,9.972,10.054,9.885,9.885,363007
1988-10-03,9.996,9.996,9.885,9.945,181971
1988-10-04,9.996,9.996,9.858,9.858,134837
1988-10-05,9.885,9.885,9.801,9.858,217855
1988-10-06,9.826,9.858,9.775,9.775,69178
1988-10-07,9.801,9.972,9.715,9.972,367463
1988-10-10,9.996,9.996,9.91,9.972,58859
1988-10-11,9.972,9.972,9.885,9.945,229343
1988-10-12,9.945,9.945,9.687,9.91,174467
1988-10-13,9.91,9.996,9.826,9.996,180803
1988-10-14,9.996,9.996,9.775,9.826,157586
1988-10-17,9.826,9.826,9.715,9.801,83717
1988-10-18,9.826,9.996,9.715,9.945,109983
1988-10-19,9.996,9.996,9.687,9.826,1550521
1988-10-20,9.826,9.858,9.74,9.826,107400
1988-10-21,9.775,9.826,9.775,9.801,300630
1988-10-24,9.715,9.74,9.597,9.597,301801
1988-10-25,9.597,9.597,9.3989,9.51,211752
1988-10-26,9.569,9.597,9.4825,9.597,1577250
1988-10-27,9.569,9.687,9.51,9.51,137416
1988-10-28,9.569,9.687,9.544,9.544,146799
1988-10-31,9.569,9.654,9.544,9.544,152193
1988-11-01,9.569,9.654,9.544,9.654,103415
1988-11-02,9.654,9.687,9.544,9.654,174706
1988-11-03,9.687,9.715,9.629,9.629,178220
1988-11-04,9.687,9.775,9.654,9.654,234502
1988-11-07,9.654,9.654,9.4825,9.4825,178457
1988-11-08,9.4825,9.629,9.4825,9.597,1564824
1988-11-09,9.544,9.597,9.4237,9.544,345422
1988-11-10,9.544,9.569,9.4825,9.544,199090
1988-11-11,9.544,9.544,9.4237,9.4237,174706
1988-11-14,9.4237,9.4577,9.2542,9.2891,211049
1988-11-15,9.2891,9.4825,9.2891,9.3989,115374
1988-11-16,9.3728,9.3989,9.2542,9.3128,250680
1988-11-17,9.3728,9.3728,9.2027,9.3128,124049
1988-11-18,9.3128,9.3392,9.2542,9.2542,152893
1988-11-21,9.2891,9.3392,9.2027,9.3392,115610
1988-11-22,9.3392,9.3728,9.2542,9.3128,93567
1988-11-23,9.2542,9.3128,9.1432,9.1432,90987
1988-11-25,9.1432,9.1432,8.9984,9.0566,111389
1988-11-28,9.1941,9.2542,9.1693,9.1941,1575613
1988-11-29,9.1941,9.4497,9.1941,9.3989,181506
1988-11-30,9.4497,9.715,9.3641,9.4825,1356351
1988-12-01,9.4497,9.544,9.4237,9.544,1417325
1988-12-02,9.544,9.544,9.3989,9.4497,2927509
1988-12-05,9.3989,9.654,9.3989,9.4825,166029
1988-12-06,9.4497,9.569,9.4237,9.544,291950
1988-12-07,9.544,9.569,9.4825,9.569,144923
1988-12-08,9.51,9.597,9.51,9.569,357614
1988-12-09,9.569,9.629,9.569,9.629,172594
1988-12-12,9.654,9.74,9.544,9.544,207532
1988-12-13,9.569,9.597,9.51,9.544,109745
1988-12-14,9.569,9.569,9.4825,9.51,135544
