Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1992-06-17,6.3218,6.5098,5.7657,5.9026,1054409
1992-06-18,5.9026,5.9026,5.5777,5.8088,492600
1992-06-19,5.8088,5.9026,5.7657,5.8514,530008
1992-06-22,5.8514,5.8514,5.6288,5.6714,698109
1992-06-23,5.6714,5.7657,5.6714,5.7145,998066
1992-06-24,5.7145,5.7657,5.5777,5.6288,418023
1992-06-25,5.7145,5.8088,5.7145,5.7145,917639
1992-06-26,5.7145,5.7657,5.6714,5.7657,508500
1992-06-29,5.7145,5.8088,5.6714,5.8088,451923
1992-06-30,5.8088,5.9965,5.8088,5.9965,1033833
1992-07-01,5.8514,5.9026,5.8088,5.8514,645972
1992-07-02,5.9026,5.9965,5.7145,5.9965,2090349
1992-07-06,5.9026,5.9026,5.7145,5.7657,678467
1992-07-07,5.8088,5.8088,5.3467,5.4406,1340805
1992-07-08,5.4837,5.4837,5.0644,5.1582,1394345
1992-07-09,5.1582,5.4406,5.1582,5.4406,2497618
1992-07-10,5.3467,5.3895,5.2525,5.3036,1012563
1992-07-13,5.3036,5.3895,5.3036,5.3467,989649
1992-07-14,5.3036,5.3895,5.3036,5.3895,1157279
1992-07-15,5.3895,5.4837,5.3895,5.4406,1262951
1992-07-16,5.3895,5.4406,5.3036,5.3467,3143355
1992-07-17,5.2525,5.4406,5.2525,5.4406,982402
1992-07-20,5.1582,5.3467,5.1068,5.3036,1435728
1992-07-21,5.2011,5.3895,5.2011,5.3036,1495813
1992-07-22,5.1582,5.6288,5.1582,5.4837,3206480
1992-07-23,5.4406,5.5777,5.4406,5.4406,2576172
1992-07-24,5.3895,5.5777,5.3895,5.5261,1641233
1992-07-27,5.5261,5.6288,5.4406,5.5777,1529011
1992-07-28,5.5261,5.6288,5.4837,5.5777,1326076
1992-07-29,5.5777,5.6288,5.3895,5.4837,1984439
1992-07-30,5.5261,5.5777,5.3895,5.5777,1067035
1992-07-31,5.5261,5.6288,5.5261,5.6288,1523166
1992-08-03,5.5777,5.7145,5.5261,5.7145,1889989
1992-08-04,5.7145,5.8088,5.7145,5.7657,1703188
1992-08-05,5.7657,5.8088,5.7657,5.7657,575131
1992-08-06,5.7145,5.7657,5.5777,5.6714,1493708
1992-08-07,5.5261,5.6288,5.5261,5.5777,357939
1992-08-10,5.4406,5.5777,5.3895,5.5261,693199
1992-08-11,5.5261,5.5261,5.3895,5.3895,2109754
1992-08-12,5.5261,5.5777,5.3036,5.3895,1860533
1992-08-13,5.4406,5.6288,5.4406,5.5777,1286566
1992-08-14,5.5777,5.9026,5.5777,5.8514,1726098
1992-08-17,5.7657,5.9539,5.7657,5.9026,1707862
1992-08-18,5.9539,6.0909,5.9026,5.9539,1940723
1992-08-19,5.9539,6.0398,5.8514,5.9026,1084801
1992-08-20,5.9539,5.9965,5.9539,5.9965,432986
1992-08-21,5.9539,6.1765,5.9539,6.1338,4408879
1992-08-24,5.9026,6.0909,5.9026,5.9965,2437298
1992-08-25,6.0398,6.0909,5.9026,6.0398,1366290
1992-08-26,5.9965,6.0909,5.9539,6.0909,1574599
1992-08-27,6.0909,6.1338,6.0398,6.0398,893561
1992-08-28,5.9965,6.0398,5.9539,5.9965,604121
1992-08-31,6.0398,6.0398,5.9965,5.9965,355367
1992-09-01,5.9711,6.0651,5.9198,5.9711,1247753
1992-09-02,5.9198,5.9711,5.8343,5.8769,1348521
1992-09-03,5.8769,5.9198,5.8343,5.8343,555025
1992-09-04,5.8769,5.8769,5.7399,5.7399,539594
1992-09-08,5.7829,5.8343,5.7399,5.7399,811031
1992-09-09,5.7829,5.9198,5.7829,5.9198,554323
1992-09-10,5.9711,6.0226,5.8769,5.9198,1013730
1992-09-11,5.9711,6.0226,5.8769,5.9198,1001339
1992-09-14,6.0226,6.1593,6.0226,6.1593,1277445
1992-09-15,6.0226,6.1081,6.0226,6.0226,1211519
1992-09-16,5.9711,6.0651,5.8769,6.0651,1009988
1992-09-17,6.0651,6.0651,5.9711,6.0651,771518
1992-09-18,6.0651,6.1081,6.0226,6.1081,1579742
1992-09-21,6.0651,6.1081,6.0226,6.0651,574196
1992-09-22,6.0651,6.1081,6.0226,6.0226,1204038
1992-09-23,5.9711,6.0226,5.8343,5.9198,835577
1992-09-24,5.9198,6.1081,5.9198,6.0651,747436
1992-09-25,6.0651,6.0651,5.9711,6.0651,512945
1992-09-28,6.0226,6.1081,6.0226,6.1081,254367
1992-09-29,6.1081,6.1081,6.0226,6.0226,365887
1992-09-30,6.0651,6.0651,5.9198,5.9711,789287
1992-10-01,5.9198,5.9711,5.7829,5.8769,850776
1992-10-02,5.8769,5.9711,5.7829,5.8769,439534
1992-10-05,5.8343,5.8769,5.5519,5.8343,953641
1992-10-06,5.7829,5.8343,5.5946,5.7829,702314
1992-10-07,5.8343,5.9711,5.7829,5.9198,574428
1992-10-08,5.9198,6.0226,5.9198,5.9711,382721
1992-10-09,5.9198,5.9198,5.6973,5.6973,734346
1992-10-12,5.7399,5.7829,5.5946,5.6461,735980
1992-10-13,5.6461,5.7829,5.6461,5.7399,1674194
1992-10-14,5.6973,5.8343,5.6461,5.7399,1100234
1992-10-15,5.6973,5.7829,5.6461,5.6461,1103505
1992-10-16,5.6461,5.6973,5.6461,5.6973,473198
1992-10-19,5.6973,5.8769,5.6973,5.8769,393004
1992-10-20,5.9198,6.0226,5.8343,5.8769,1188603
1992-10-21,5.8769,5.8769,5.8343,5.8769,347184
1992-10-22,5.8769,5.9198,5.6973,5.7829,758430
1992-10-23,5.6973,5.7829,5.6973,5.7829,532348
1992-10-26,5.7829,5.8769,5.7829,5.8343,885611
1992-10-27,5.8769,5.9711,5.8343,5.9198,714940
1992-10-28,5.9198,5.9711,5.8769,5.9711,1742697
1992-10-29,5.9198,5.9198,5.8343,5.8343,516684
1992-10-30,5.8769,5.9198,5.8343,5.8769,919042
1992-11-02,5.9198,5.9711,5.8769,5.9198,618384
1992-11-03,5.9198,6.0226,5.9198,5.9198,1174813
1992-11-04,5.9198,5.9198,5.8769,5.9198,395111
1992-11-05,5.8769,6.0226,5.8769,6.0226,1190943
1992-11-06,5.9198,6.1593,5.9198,6.0651,2162591
1992-11-09,6.0226,6.2959,6.0226,6.1593,1487160
1992-11-10,6.1593,6.3904,6.1593,6.2448,3009624
1992-11-11,6.2959,6.3472,6.2448,6.3472,1139042
1992-11-12,6.2959,6.2959,6.1593,6.2019,1758593
1992-11-13,6.1593,6.2448,6.1081,6.2448,765206
1992-11-16,6.2448,6.2448,6.0226,6.0651,2594643
1992-11-17,6.0651,6.1081,5.9711,6.0226,2375343
1992-11-18,6.0226,6.2019,6.0226,6.1593,943593
1992-11-19,6.1081,6.2019,6.0651,6.1593,1215727
1992-11-20,6.2019,6.2019,6.0651,6.1593,2284166
1992-11-23,6.1081,6.1593,5.9711,5.9711,1829902
