Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-07-01,3.1175,3.1453,3.1175,3.1356,79165
1985-07-02,3.1356,3.1356,3.0899,3.0899,275771
1985-07-03,3.0899,3.182,2.9887,3.0255,334058
1985-07-05,3.0255,3.0255,3.0073,3.0255,616794
1985-07-08,3.0255,3.0714,3.0161,3.0714,365377
1985-07-09,3.0714,3.0808,3.0531,3.0808,272292
1985-07-10,3.0808,3.1081,3.0531,3.1081,249675
1985-07-11,3.1081,3.1911,3.0899,3.1726,217487
1985-07-12,3.1726,3.2094,3.1726,3.1911,251416
1985-07-15,3.1911,3.2001,3.1267,3.1356,118312
1985-07-16,3.1356,3.1726,3.1175,3.1267,525448
1985-07-17,3.1267,3.1726,3.1081,3.1726,419311
1985-07-18,3.1726,3.1911,3.1453,3.1726,205310
1985-07-19,3.1726,3.2187,3.1726,3.1911,206178
1985-07-22,3.2001,3.2371,3.2001,3.2187,109615
1985-07-23,3.2187,3.2278,3.1911,3.1911,100043
1985-07-24,3.1911,3.2739,3.1726,3.2278,330580
1985-07-25,3.2278,3.2645,3.1726,3.1911,521100
1985-07-26,3.1911,3.2187,3.1911,3.2094,120052
1985-07-29,3.2094,3.2278,3.1911,3.2278,282733
1985-07-30,3.2278,3.2371,3.2001,3.2187,394090
1985-07-31,3.2187,3.2371,3.2001,3.2001,98302
1985-08-01,3.2001,3.2278,3.2001,3.2278,202697
1985-08-02,3.2278,3.2278,3.2094,3.2094,88735
1985-08-05,3.2094,3.2187,3.1633,3.1726,166159
1985-08-06,3.1726,3.2001,3.1356,3.1633,321014
1985-08-07,3.1453,3.1453,3.099,3.099,208789
1985-08-08,3.099,3.1633,3.099,3.1633,113092
1985-08-09,3.1633,3.2278,3.1453,3.2094,191389
1985-08-12,3.2094,3.2187,3.2001,3.2094,31317
1985-08-13,3.2094,3.2094,3.1911,3.2001,94825
1985-08-14,3.2001,3.2094,3.1911,3.2094,162679
1985-08-15,3.2094,3.2187,3.1911,3.1911,444545
1985-08-16,3.1911,3.2094,3.1726,3.1726,64376
1985-08-19,3.1633,3.1633,3.0438,3.0438,386257
1985-08-20,3.0438,3.1267,3.0438,3.1081,907356
1985-08-21,3.1081,3.1081,3.0899,3.1081,124399
1985-08-22,3.1081,3.1453,3.0899,3.1175,273165
1985-08-23,3.099,3.099,3.0808,3.0808,135712
1985-08-26,3.099,3.1175,3.0899,3.0899,134841
1985-08-27,3.0899,3.1081,3.0899,3.099,213139
1985-08-28,3.099,3.1081,3.099,3.1081,317531
1985-08-29,3.099,3.099,3.0899,3.0899,302741
1985-08-30,3.0899,3.099,3.0531,3.0622,158332
1985-09-03,3.0622,3.0899,3.0349,3.0714,298392
1985-09-04,3.0714,3.0899,3.0531,3.0714,96566
1985-09-05,3.0714,3.1081,3.0531,3.0899,539367
1985-09-06,3.0899,3.0899,3.0531,3.0622,134841
1985-09-09,3.0622,3.0899,3.0531,3.0899,214874
1985-09-10,3.0899,3.0899,2.9611,2.9793,104394
1985-09-11,2.9793,2.998,2.8785,2.9243,146151
1985-09-12,2.9243,2.9427,2.7404,2.7588,279253
1985-09-13,2.7588,2.8598,2.7588,2.8598,654199
1985-09-16,2.8785,2.9521,2.8785,2.9333,1029148
1985-09-17,2.9333,2.9333,2.8964,2.9333,487172
1985-09-18,2.9333,2.9427,2.8964,2.9333,332323
1985-09-19,2.9333,2.9611,2.9243,2.9427,646372
1985-09-20,2.9427,2.9704,2.9427,2.9521,205310
1985-09-23,2.9521,3.0073,2.9521,2.9793,135712
1985-09-24,2.9793,3.0161,2.9704,2.9704,356679
1985-09-25,2.9704,2.9793,2.9153,2.9243,456724
1985-09-26,2.9243,2.9243,2.8598,2.9153,294042
1985-09-30,2.9243,2.9427,2.9243,2.9427,392348
1985-10-01,2.9427,2.9521,2.9153,2.9333,145282
1985-10-02,2.9333,2.9427,2.8879,2.8879,659420
1985-10-03,2.8879,2.9153,2.8785,2.8964,73076
1985-10-04,2.8964,2.9153,2.8785,2.8785,150501
1985-10-07,2.8785,2.8785,2.8598,2.8598,208789
1985-10-08,2.8598,2.8598,2.832,2.8598,129624
1985-10-09,2.8598,2.8785,2.8512,2.8598,287953
1985-10-10,2.8598,2.8598,2.832,2.8418,162679
1985-10-11,2.8418,2.9427,2.8418,2.9333,436715
1985-10-14,2.9521,2.998,2.9521,2.9793,112223
1985-10-15,3.0073,3.0438,3.0073,3.0255,702918
1985-10-16,3.0255,3.0622,3.0161,3.0531,358419
1985-10-17,3.0531,3.0531,3.0349,3.0349,96566
1985-10-18,3.0349,3.0622,3.0349,3.0349,75685
1985-10-21,3.0349,3.0622,3.0255,3.0438,394090
1985-10-22,3.0531,3.0714,3.0531,3.0622,186168
1985-10-23,3.0622,3.0714,3.0349,3.0531,120052
1985-10-24,3.0531,3.0714,3.0438,3.0622,187041
1985-10-25,3.0622,3.0899,3.0531,3.0899,456724
1985-10-28,3.0714,3.0714,3.0349,3.0438,315790
1985-10-29,3.0438,3.0899,3.0438,3.0714,104394
1985-10-30,3.0714,3.1356,3.0622,3.1175,194867
1985-10-31,3.1267,3.1453,3.1267,3.1267,104394
1985-11-01,3.1267,3.1356,3.0899,3.0899,428885
1985-11-04,3.0899,3.1267,3.0899,3.1267,226188
1985-11-05,3.1267,3.1267,3.0714,3.1175,437584
1985-11-06,3.1175,3.1726,3.1175,3.1356,1137889
1985-11-07,3.1356,3.1542,3.1175,3.1175,338410
1985-11-08,3.1175,3.1542,3.1081,3.1542,320141
1985-11-11,3.1542,3.1542,3.1356,3.1453,137454
1985-11-12,3.1453,3.2371,3.1453,3.2278,538497
