Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1981-12-31,6.8309,6.8661,6.7962,6.8486,514882
1982-01-04,6.7352,6.8486,6.613,6.7089,722579
1982-01-05,6.4995,6.6042,6.3687,6.3687,1234252
1982-01-06,6.3163,6.36,6.2553,6.3163,1788567
1982-01-07,6.2294,6.3427,6.1332,6.1856,1494219
1982-01-08,6.2816,6.3253,6.2205,6.2641,1136137
1982-01-11,6.1766,6.3427,6.0022,6.0373,1695956
1982-01-12,6.1332,6.2205,6.0196,6.2029,1248928
1982-01-13,6.2029,6.4038,5.9934,6.0721,1411231
1982-01-14,6.1419,6.2029,6.0721,6.2029,1224624
1982-01-15,6.2205,6.2553,6.1766,6.2205,830323
1982-01-18,6.1766,6.2641,6.081,6.2641,1028853
1982-01-19,6.1766,6.2641,6.081,6.081,827574
1982-01-20,5.9934,6.0981,5.8628,5.9762,2123724
1982-01-21,5.9497,6.0373,5.8539,5.9151,1360795
1982-01-22,5.889,5.9589,5.7929,5.7929,994921
1982-01-25,5.9237,6.107,5.732,6.107,2178743
1982-01-26,6.0721,6.1419,5.9762,5.9762,1310362
1982-01-27,6.107,6.2205,6.0022,6.1419,1502470
1982-01-28,6.3163,6.421,6.1856,6.4038,1340164
1982-01-29,6.5867,6.6653,6.5085,6.613,3280032
1982-02-01,6.3427,6.4821,6.2029,6.2294,1541901
1982-02-02,6.2641,6.3253,6.1856,6.2553,1644145
1982-02-03,6.1332,6.3163,5.9497,5.9934,1484129
1982-02-04,6.0373,6.1332,5.9497,6.1332,2083838
1982-02-05,6.2029,6.3163,6.081,6.1856,1687239
1982-02-08,5.9934,6.0981,5.889,5.8976,1600586
1982-02-09,5.9237,6.0373,5.8191,5.9589,1466251
1982-02-10,6.0721,6.1594,5.9589,6.0022,1313572
1982-02-11,5.9237,6.0373,5.8191,5.8539,1557947
1982-02-12,5.8976,5.9497,5.8367,5.889,1355752
1982-02-16,5.9237,6.0981,5.7581,6.0981,1923823
1982-02-17,6.0458,6.0981,5.9934,6.0022,1289729
1982-02-18,6.0373,6.0981,5.9762,6.0458,877094
1982-02-19,6.0196,6.081,5.9497,5.9934,888094
1982-02-22,5.8976,6.081,5.7144,5.732,1629933
1982-02-23,5.732,5.8367,5.601,5.7581,1834877
1982-02-24,5.9151,6.0458,5.7755,6.0196,1180612
