Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-07-01,6.9084,6.9967,6.9084,6.9699,169330
1985-07-02,6.9699,6.9967,6.8643,6.9084,56785
1985-07-03,6.9261,6.9967,6.9261,6.9967,34341
1985-07-05,6.9967,7.1733,6.9967,7.1733,54065
1985-07-08,7.1733,7.2436,7.1027,7.1027,75144
1985-07-09,7.1027,7.1293,6.9967,6.9967,91465
1985-07-10,6.9699,6.9699,6.9084,6.9084,24142
1985-07-11,6.9084,6.9699,6.8819,6.9526,60184
1985-07-12,6.9526,6.9699,6.8377,6.9084,90106
1985-07-15,6.8643,6.8643,6.7938,6.8377,98268
1985-07-16,6.8377,6.8377,6.7938,6.8377,67322
1985-07-17,6.8377,7.0585,6.8203,6.8643,265894
1985-07-18,6.8643,6.8819,6.7938,6.8643,167289
1985-07-19,6.8643,6.9084,6.8377,6.8819,279835
1985-07-22,6.8819,6.9084,6.8377,6.8819,34684
1985-07-23,6.8819,7.0848,6.8643,7.0409,184630
1985-07-24,7.0409,7.0848,6.9261,6.9261,169330
1985-07-25,7.0147,7.0848,7.0147,7.0409,80245
1985-07-26,7.0409,7.1557,7.0409,7.1027,25502
1985-07-29,7.1293,7.1994,7.1293,7.1557,70384
1985-07-30,7.1557,7.1733,7.1027,7.1027,77523
1985-07-31,7.1027,7.1557,7.0848,7.1293,72084
1985-08-01,7.1293,7.1994,7.1027,7.1994,68003
1985-08-02,7.1994,7.2612,7.1733,7.2436,114250
1985-08-05,7.2436,7.2612,7.1733,7.1994,62221
1985-08-06,7.1994,7.2436,7.1733,7.1733,82285
1985-08-07,7.1733,7.1733,7.0409,7.0409,51683
1985-08-08,7.0409,7.1293,7.0147,7.0585,115266
1985-08-09,7.0585,7.1293,7.0585,7.0848,46244
1985-08-12,7.0848,7.0848,6.9261,6.9261,47265
1985-08-13,6.9526,7.0585,6.9526,6.9967,74802
1985-08-14,7.0229,7.0229,6.9174,6.9174,20399
1985-08-15,6.9174,6.9617,6.9174,6.9174,39103
1985-08-16,6.9174,6.9349,6.8908,6.8908,61203
1985-08-19,6.9174,6.9617,6.9174,6.9174,42162
1985-08-20,6.9174,7.0229,6.9174,7.0229,30603
1985-08-21,7.0053,7.0053,6.9174,6.9174,36382
1985-08-22,6.9174,6.9349,6.7145,6.7145,63924
1985-08-23,6.7145,6.7145,6.6439,6.6702,80928
1985-08-26,6.6702,6.7585,6.6702,6.7145,30940
1985-08-27,6.7145,6.8467,6.7145,6.8467,22442
1985-08-28,6.8467,6.8731,6.6877,6.7145,167628
1985-08-29,6.7145,6.7761,6.7145,6.7761,106768
1985-08-30,6.8026,6.8908,6.8026,6.8731,61885
1985-09-03,6.8731,6.9617,6.8467,6.9617,73107
1985-09-04,6.9617,6.9791,6.9174,6.9174,59845
1985-09-05,6.9174,6.9617,6.8026,6.8026,127165
1985-09-06,6.8292,7.0053,6.8292,6.8731,149948
1985-09-09,6.8731,6.8731,6.8292,6.8292,65963
1985-09-10,6.8292,6.8731,6.7761,6.7761,61885
1985-09-11,6.7761,6.7761,6.6439,6.6439,123767
1985-09-12,6.6439,6.6439,6.5555,6.5997,55764
1985-09-13,6.5997,6.5997,6.4938,6.4938,144509
1985-09-16,6.5113,6.6259,6.5113,6.5555,32983
1985-09-17,6.5555,6.6259,6.5555,6.5819,26183
1985-09-18,6.5819,6.5997,6.5113,6.5113,59504
1985-09-19,6.5113,6.6439,6.5113,6.5113,87725
1985-09-20,6.4674,6.4674,6.1144,6.1586,291058
1985-09-23,6.1586,6.2644,6.1586,6.2467,170008
1985-09-24,6.2467,6.2467,6.1144,6.132,375040
1985-09-25,6.132,6.2024,6.132,6.2024,26521
1985-09-26,6.2024,6.2467,6.1761,6.2205,108805
1985-09-30,6.2205,6.2467,6.2024,6.2467,111186
1985-10-01,6.2467,6.2909,6.1761,6.1761,167628
1985-10-02,6.1761,6.2205,6.0261,6.0703,304999
1985-10-03,6.0703,6.0703,5.9996,6.0261,222374
1985-10-04,6.0261,6.0703,5.9996,6.0437,32642
1985-10-07,6.0437,6.1144,6.0261,6.1144,95547
1985-10-08,6.1144,6.132,6.0261,6.132,449505
1985-10-09,6.132,6.2205,6.1144,6.2024,142806
1985-10-10,6.2024,6.2024,6.132,6.1761,129545
1985-10-11,6.1761,6.2024,6.1144,6.1586,96226
1985-10-14,6.1586,6.2024,6.1586,6.2024,38763
1985-10-15,6.2024,6.2205,6.1144,6.132,136686
1985-10-16,6.132,6.132,6.0703,6.1144,60184
1985-10-17,6.2205,6.335,6.2205,6.2467,425703
1985-10-18,6.2467,6.2467,6.1586,6.1586,76847
1985-10-21,6.1761,6.2467,6.1761,6.2024,61203
1985-10-22,6.2024,6.2909,6.1761,6.2467,175451
1985-10-23,6.2467,6.2467,6.1761,6.2467,253994
1985-10-24,6.2467,6.2467,6.1761,6.2205,115266
1985-10-25,6.2205,6.2467,6.1144,6.2024,69024
1985-10-28,6.2024,6.2024,6.1144,6.1144,95885
1985-10-29,6.1144,6.2205,6.1144,6.1761,37061
1985-10-30,6.1761,6.2205,6.132,6.1761,459365
1985-10-31,6.2205,6.2909,6.2205,6.2467,152670
1985-11-01,6.2467,6.3086,6.2205,6.2644,496087
1985-11-04,6.2644,6.3529,6.2644,6.2909,263512
1985-11-05,6.2644,6.2644,6.2024,6.2644,100990
1985-11-06,6.2644,6.2909,6.2024,6.2024,138390
1985-11-07,6.2024,6.2467,6.2024,6.2467,153690
1985-11-08,6.2467,6.335,6.132,6.335,129208
1985-11-11,6.335,6.3791,6.2467,6.2909,245495
1985-11-12,6.3791,6.5113,6.3791,6.4235,281877
1985-11-13,6.4763,6.4763,6.4056,6.432,161511
1985-11-14,6.432,6.5468,6.432,6.5468,163207
1985-11-15,6.5468,6.6347,6.4763,6.5643,65624
1985-11-18,6.5643,6.6523,6.4938,6.5909,223056
1985-11-19,6.6083,6.7671,6.6083,6.7495,128868
1985-11-20,6.7495,6.8555,6.7232,6.8555,53724
1985-11-21,6.8555,7.0585,6.8555,7.0585,76847
1985-11-22,7.0585,7.0585,6.9967,7.0147,226792
1985-11-25,7.0147,7.0409,6.8996,6.9261,90786
1985-11-26,6.9261,6.9699,6.8819,6.8996,167289
1985-11-27,6.8996,6.9437,6.8114,6.9437,250934
1985-11-29,6.9437,7.0147,6.8114,6.9261,139069
1985-12-02,6.9261,6.9437,6.7232,6.8114,52704
1985-12-03,6.8555,6.9437,6.8555,6.9437,80245
1985-12-04,6.9437,7.1733,6.9261,7.1293,216253
1985-12-05,7.1293,7.1733,7.0585,7.1733,57121
1985-12-06,7.1733,7.2436,7.1293,7.2436,124789
1985-12-09,7.2436,7.2612,7.1027,7.2612,291395
1985-12-10,7.2173,7.2173,7.1293,7.1909,231895
1985-12-11,7.1909,7.4909,7.1909,7.4642,101668
1985-12-12,7.4642,7.5527,7.332,7.332,109827
1985-12-13,7.332,7.3937,7.2436,7.332,225772
1985-12-16,7.332,7.5527,7.288,7.4909,150627
1985-12-17,7.4909,7.5527,7.4642,7.4642,68003
1985-12-18,7.4642,7.5084,7.3937,7.4467,320296
1985-12-19,7.4642,7.623,7.4642,7.4909,107786
1985-12-20,7.4909,7.5527,7.4909,7.4909,148248
1985-12-23,7.4642,7.4642,7.288,7.3057,57465
1985-12-24,7.3057,7.332,7.1909,7.2436,35702
1985-12-26,7.2436,7.3057,7.1909,7.1909,12583
1985-12-27,7.2436,7.4467,7.2436,7.4467,83984
1985-12-30,7.4467,7.4909,7.3057,7.4642,42162
1985-12-31,7.4642,7.5348,7.3937,7.5348,89764
1986-01-02,7.5348,7.5527,7.3761,7.5527,166269
1986-01-03,7.5527,7.6935,7.5348,7.6675,47942
1986-01-06,7.6675,7.6935,7.623,7.6935,44197
1986-01-07,7.6935,7.8263,7.6935,7.6935,106427
1986-01-08,7.6935,7.7822,7.5966,7.5966,104048
1986-01-09,7.5084,7.5084,7.332,7.4909,247194
1986-01-10,7.4909,7.5966,7.3937,7.3937,148248
1986-01-13,7.3937,7.6409,7.3761,7.5966,202653
1986-01-14,7.5788,7.5788,7.4909,7.4909,58141
1986-01-15,7.5084,7.623,7.5084,7.5084,82285
1986-01-16,7.5084,7.5966,7.4909,7.5966,149608
1986-01-17,7.5966,7.6935,7.5527,7.6935,132949
1986-01-20,7.6935,7.8263,7.623,7.8263,154027
1986-01-21,7.8263,7.8878,7.7822,7.7822,111866
1986-01-22,7.7822,7.7822,7.6409,7.6409,50663
1986-01-23,7.5788,7.5788,7.3761,7.4642,93506
1986-01-24,7.4909,7.623,7.4909,7.623,103024
1986-01-27,7.6675,7.8702,7.6675,7.7822,89425
1986-01-28,7.8263,7.9583,7.8263,7.9583,182251
1986-01-29,7.9583,8.0023,7.7378,7.7378,108469
1986-01-30,7.7378,7.7997,7.6675,7.6675,68345
1986-01-31,7.6675,7.6675,7.623,7.6675,245495
1986-02-03,7.6675,7.7997,7.6409,7.7997,246515
1986-02-04,7.7822,7.7822,7.4642,7.5966,205711
1986-02-05,7.5966,7.8263,7.5966,7.8263,452903
1986-02-06,7.8437,8.1436,7.8437,8.0466,432502
1986-02-07,8.0466,8.32,8.0289,8.2762,108124
1986-02-10,8.2762,8.3375,8.2319,8.2762,69024
1986-02-11,8.3291,8.3905,8.3025,8.3291,97586
1986-02-12,8.3291,8.4612,8.2848,8.3905,129886
1986-02-13,8.3905,8.4612,8.3466,8.417,75484
1986-02-14,8.417,8.6645,8.417,8.6645,171368
1986-02-18,8.6645,8.6645,8.5759,8.6467,179527
1986-02-19,8.5759,8.5759,8.417,8.4878,189393
1986-02-20,8.4878,8.5054,8.4434,8.5054,141449
1986-02-21,8.5054,8.7793,8.4878,8.7793,199930
1986-02-24,8.7793,8.8494,8.5318,8.6027,181229
1986-02-25,8.6027,8.6027,8.5054,8.6027,124104
1986-02-26,8.6027,8.7348,8.4878,8.6027,305339
1986-02-27,8.6027,8.6204,8.4878,8.6027,130231
1986-02-28,8.6027,8.6467,8.4612,8.6467,123767
1986-03-03,8.6204,8.6204,8.3905,8.417,93165
1986-03-04,8.417,8.417,8.2319,8.2319,379465
1986-03-05,8.2319,8.3905,8.2141,8.3905,626313
1986-03-06,8.3905,8.5054,8.3291,8.417,189052
1986-03-07,8.417,8.4612,8.3732,8.4612,185989
1986-03-10,8.5054,8.6645,8.5054,8.6645,76165
1986-03-11,8.6645,8.7793,8.5495,8.7793,103706
1986-03-12,8.7793,9.0529,8.7526,9.0082,111526
1986-03-13,8.9377,8.9377,8.823,8.823,342399
1986-03-14,8.8494,9.0082,8.8494,9.0082,136009
1986-03-17,9.0082,9.0262,8.8938,9.0082,180211
1986-03-18,9.0082,9.0711,8.9377,9.0529,147568
1986-03-19,9.0529,9.1408,9.0262,9.0711,165251
1986-03-20,9.0711,9.1226,8.9639,8.9817,89425
1986-03-21,8.9817,9.185,8.9817,9.185,138047
1986-03-24,9.185,9.227,9.0975,9.1408,63244
1986-03-25,9.1408,9.2721,9.0529,9.2721,80584
1986-03-26,9.3709,9.504,9.3709,9.3709,198911
1986-03-27,9.3709,9.4851,9.344,9.4139,112886
1986-03-31,9.2109,9.4308,9.2109,9.2547,91124
1986-04-01,9.2547,9.2547,8.9113,8.9113,165589
1986-04-02,8.9113,9.0082,8.823,8.9377,74802
1986-04-03,8.9377,8.9377,8.4878,8.5054,234617
1986-04-04,8.5054,8.5495,8.2848,8.3732,244132
1986-04-07,8.3905,8.6467,8.3905,8.4878,136009
1986-04-08,8.4878,8.8671,8.417,8.8671,109489
1986-04-09,8.9113,9.0975,8.9113,8.9639,192452
1986-04-10,8.9639,9.0262,8.9113,8.9639,85682
1986-04-11,8.9639,9.0262,8.9639,8.9639,76504
1986-04-14,8.9639,9.0082,8.9377,8.9377,112886
1986-04-15,8.9377,8.9817,8.8938,8.9639,90446
1986-04-16,8.9639,8.9639,8.8671,8.9639,128868
1986-04-17,8.9639,9.2109,8.9113,9.2109,260116
1986-04-18,9.2109,9.4851,8.9639,9.3262,193811
1986-04-21,9.3262,9.4139,9.185,9.3886,113226
1986-04-22,9.3886,9.616,9.3709,9.4851,547771
1986-04-23,9.4851,9.846,9.3709,9.779,270316
1986-04-24,9.779,9.862,9.705,9.862,206393
1986-04-25,9.862,10.093,9.821,10.051,911592
1986-04-28,10.051,10.181,9.952,10.006,339340
1986-04-29,10.006,10.093,9.687,9.862,150627
1986-04-30,9.862,9.952,9.732,9.779,84324
1986-05-01,9.732,9.732,9.3709,9.4851,139069
1986-05-02,9.4851,9.574,9.4308,9.4851,184289
1986-05-05,9.4851,9.574,9.4139,9.4851,143489
1986-05-06,9.4851,9.574,9.4308,9.547,95885
1986-05-07,9.547,9.907,9.547,9.907,247873
1986-05-08,9.907,10.136,9.862,9.933,159468
1986-05-09,9.933,10.006,9.821,9.979,161511
1986-05-12,9.979,10.006,9.821,9.952,132271
1986-05-13,9.952,10.006,9.862,9.933,122408
1986-05-14,9.988,10.06,9.898,10.034,129886
1986-05-15,10.034,10.101,9.961,9.988,310439
1986-05-16,9.988,10.034,9.804,9.943,105405
1986-05-19,9.943,10.145,9.872,10.06,232569
1986-05-20,10.06,10.324,10.006,10.281,88744
1986-05-21,10.281,10.51,10.281,10.373,84324
1986-05-22,10.349,10.349,10.217,10.308,132603
1986-05-23,10.308,10.463,10.262,10.418,123426
1986-05-27,10.418,10.694,10.418,10.694,119687
1986-05-28,10.694,10.826,10.648,10.826,172389
1986-05-29,10.826,10.868,10.738,10.784,157771
1986-05-30,10.784,10.852,10.694,10.784,268616
1986-06-02,10.784,10.784,10.621,10.621,95885
1986-06-03,10.621,10.621,10.51,10.597,41140
1986-06-04,10.578,10.578,10.437,10.491,65282
1986-06-05,10.491,10.621,10.281,10.621,96226
1986-06-06,10.578,10.578,10.437,10.491,90786
1986-06-09,10.491,10.491,10.06,10.145,136686
1986-06-10,10.145,10.262,10.145,10.145,133964
1986-06-11,10.145,10.324,10.145,10.281,107786
1986-06-12,10.373,10.51,10.373,10.491,87383
1986-06-13,10.491,10.852,10.491,10.808,164909
1986-06-16,10.808,10.868,10.648,10.784,159127
1986-06-17,10.784,10.826,10.578,10.578,49642
1986-06-18,10.578,10.621,10.391,10.491,125803
