Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1987-12-30,5.3631,5.5826,5.2842,5.4685,288464
1987-12-31,5.3984,5.4335,5.2842,5.3631,321731
1988-01-04,5.4335,5.6528,5.4335,5.5826,212358
1988-01-05,5.6528,5.8368,5.6178,5.8019,354313
1988-01-06,5.7229,5.7229,5.5826,5.688,476445
1988-01-07,5.6528,5.9075,5.5826,5.8368,422440
1988-01-08,5.7669,5.8723,5.688,5.688,222387
1988-01-11,5.5826,5.7229,5.4685,5.7229,209398
1988-01-12,5.688,5.8019,5.6528,5.7229,183192
1988-01-13,5.7229,5.8019,5.6178,5.8019,163370
1988-01-14,5.7229,5.8019,5.6528,5.8019,614748
1988-01-15,5.8723,6.0914,5.8368,6.0914,354770
1988-01-18,6.0914,6.2407,6.0214,6.2407,67445
1988-01-19,6.2059,6.311,6.0914,6.2059,151751
1988-01-20,6.1706,6.276,6.1265,6.1706,344289
1988-01-21,6.1706,6.2407,6.0914,6.2059,192306
1988-01-22,6.2407,6.3901,6.2059,6.3901,702702
1988-01-25,6.3901,6.4252,6.311,6.3461,216690
1988-01-26,6.3901,6.3901,6.3461,6.3461,192082
1988-01-27,6.3461,6.4601,6.3461,6.4601,153118
1988-01-28,6.4252,6.4601,6.311,6.3901,273195
1988-01-29,6.4252,6.6094,6.3461,6.6094,181142
1988-02-01,6.6798,6.8289,6.6447,6.8289,517230
1988-02-02,6.8289,7.0486,6.8289,6.978,648014
1988-02-03,7.0486,7.1185,6.978,7.0132,1034909
1988-02-04,6.978,7.0132,6.9344,7.0132,351351
1988-02-05,7.0132,7.1185,6.978,7.0836,562798
1988-02-08,7.0132,7.0132,6.8991,6.9344,315808
1988-02-09,6.978,6.978,6.8643,6.8643,222158
1988-02-10,6.75,6.8991,6.75,6.8289,335174
1988-02-11,6.8991,6.8991,6.75,6.75,202332
1988-02-12,6.8289,6.8643,6.5306,6.6094,264081
1988-02-16,6.6798,6.8289,6.6094,6.6798,227623
1988-02-17,6.6798,6.75,6.6094,6.75,194131
1988-02-18,6.75,6.75,6.4601,6.4601,234232
1988-02-19,6.5306,6.5306,6.1706,6.4252,297576
1988-02-22,6.3461,6.4252,6.3461,6.4252,142636
1988-02-23,6.4252,6.5306,6.3901,6.4601,210309
1988-02-24,6.5129,6.7325,6.5129,6.5129,255195
1988-02-25,6.434,6.7325,6.434,6.6185,179320
1988-02-26,6.7676,6.8025,6.6185,6.7676,155164
1988-02-29,6.6972,6.8463,6.6622,6.8463,170206
1988-03-01,6.8816,6.952,6.6185,6.7325,284133
1988-03-02,6.6185,6.7325,6.5832,6.6972,158816
1988-03-03,6.6972,6.7325,6.5832,6.6622,138082
1988-03-04,6.6622,6.6622,6.548,6.6622,175220
1988-03-07,6.6185,6.9167,6.5129,6.5832,98432
1988-03-08,6.548,6.7325,6.548,6.6972,108685
1988-03-09,6.6972,6.6972,6.5832,6.6972,80658
1988-03-10,6.6972,6.7325,6.4693,6.4693,144003
1988-03-11,6.5129,6.548,6.434,6.5129,148100
1988-03-14,6.5129,6.6185,6.434,6.5129,331300
1988-03-15,6.5832,6.7325,6.5129,6.6972,325833
1988-03-16,6.6972,6.7325,6.6622,6.7325,336085
1988-03-17,6.7676,6.7676,6.6622,6.7676,139901
1988-03-18,6.7676,6.8025,6.6972,6.7325,274793
1988-03-21,6.6972,6.8025,6.5832,6.7325,280715
1988-03-22,6.7325,6.8025,6.5129,6.548,140584
1988-03-23,6.548,6.7325,6.5129,6.6972,299853
1988-03-24,6.6972,6.6972,6.5832,6.6972,131247
1988-03-25,6.6622,6.7325,6.5832,6.6185,128510
1988-03-28,6.3988,6.4693,6.3988,6.3988,80890
1988-03-29,6.4693,6.5832,6.434,6.434,210764
1988-03-30,6.4693,6.5129,6.2144,6.2144,286410
1988-03-31,6.2848,6.2848,6.1443,6.2144,90005
1988-04-04,6.2144,6.2848,6.0304,6.1443,266361
1988-04-05,6.1795,6.3638,6.1443,6.2848,93420
1988-04-06,6.3988,6.5832,6.1443,6.5129,218967
1988-04-07,6.8025,6.8025,6.5129,6.548,224436
1988-04-08,6.4693,6.7325,6.434,6.7325,147651
1988-04-11,6.6622,6.7325,6.5832,6.6972,72003
1988-04-12,6.7676,6.7676,6.434,6.5129,264764
1988-04-13,6.5129,6.5832,6.2848,6.434,149244
1988-04-14,6.2144,6.2848,6.0654,6.2144,286866
1988-04-15,6.2144,6.2848,6.0654,6.2848,342690
1988-04-18,6.2144,6.2144,6.1007,6.1007,634117
1988-04-19,6.1007,6.2848,6.0654,6.1443,295071
1988-04-20,6.1443,6.2144,5.9951,6.0654,247222
1988-04-21,6.0654,6.0654,5.9511,5.9511,362059
1988-04-22,6.0304,6.0304,5.8809,5.8809,289149
1988-04-25,5.9161,5.9951,5.9161,5.9951,639359
1988-04-26,5.9951,6.0654,5.9511,6.0654,118482
1988-04-27,6.1007,6.1007,5.9951,6.0654,173169
1988-04-28,6.0654,6.0654,5.9511,5.9511,310112
1988-04-29,5.9511,5.9951,5.8809,5.9161,641406
1988-05-02,5.8809,5.9161,5.8458,5.8809,134433
1988-05-03,5.8809,5.9951,5.8458,5.9511,165878
1988-05-04,5.9951,6.0304,5.9161,5.9951,146054
1988-05-05,6.2848,6.3638,6.2848,6.3287,5142430
1988-05-06,6.3287,6.548,6.3287,6.548,353629
1988-05-09,6.548,6.7676,6.5129,6.6622,1335908
1988-05-10,6.6972,6.6972,6.6185,6.6622,611790
1988-05-11,6.6622,6.6622,6.5129,6.5832,987745
1988-05-12,6.548,6.548,6.3988,6.434,825744
1988-05-13,6.434,6.4693,6.3638,6.434,528620
1988-05-16,6.434,6.434,6.2848,6.434,299403
1988-05-17,6.434,6.434,6.2848,6.2848,391454
1988-05-18,6.2848,6.3287,6.2494,6.3287,558923
1988-05-19,6.2848,6.3988,6.2144,6.3988,317625
1988-05-20,6.3287,6.3287,6.2494,6.3287,109598
1988-05-23,6.2848,6.3287,6.2144,6.2494,213044
1988-05-24,6.2144,6.2494,6.1443,6.2494,86129
1988-05-25,6.2231,6.4165,6.153,6.4165,160179
1988-05-26,6.3373,6.4866,6.3373,6.3723,37595
1988-05-27,6.3723,6.3723,6.2672,6.3024,106408
1988-05-31,6.2672,6.5657,6.1882,6.5657,368436
1988-06-01,6.5218,6.8203,6.4866,6.8203,642776
1988-06-02,6.6358,6.6708,6.5657,6.6358,247676
1988-06-03,6.6358,6.6358,6.5657,6.6007,221703
1988-06-06,6.6007,6.6007,6.5218,6.5218,135344
1988-06-07,6.5218,6.5657,6.4515,6.4866,126915
1988-06-08,6.4866,6.75,6.4165,6.75,673761
1988-06-09,6.75,6.8203,6.6708,6.8203,411275
1988-06-10,6.8643,6.9344,6.6358,6.75,368211
1988-06-13,6.715,6.8203,6.6358,6.8203,84308
1988-06-14,6.9344,7.0132,6.8643,6.8991,484642
1988-06-15,6.8643,7.1185,6.8203,7.0836,440893
1988-06-16,7.0132,7.1185,6.9344,7.0132,544342
1988-06-17,7.2328,7.2328,7.0132,7.0132,877465
