Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-07-01,4.6619,4.7814,4.6619,4.7046,113640
1985-07-02,4.7046,4.8241,4.7046,4.7385,136089
1985-07-03,4.7385,4.8583,4.7385,4.8583,175717
1985-07-05,4.8583,4.884,4.8241,4.8583,126616
1985-07-08,4.8583,4.8583,4.7984,4.8583,121709
1985-07-09,4.8583,4.8583,4.7814,4.7814,43843
1985-07-10,4.7814,4.8241,4.7385,4.7385,170106
1985-07-11,4.7385,4.7984,4.6619,4.6619,172915
1985-07-12,4.6619,4.7046,4.6187,4.7046,115395
1985-07-15,4.7046,4.7214,4.4565,4.7214,61379
1985-07-16,4.7385,4.8583,4.7385,4.8241,123461
1985-07-17,4.8241,4.9867,4.8241,4.9012,571705
1985-07-18,4.9012,5.0037,4.884,4.9609,217110
1985-07-19,4.9609,5.0037,4.9438,4.9609,70848
1985-07-22,4.9609,4.9609,4.884,4.9266,39635
1985-07-23,4.9266,4.9609,4.9012,4.9266,68743
1985-07-24,4.9266,5.0037,4.9012,4.9438,185540
1985-07-25,4.9438,5.089,4.9012,5.0465,178526
1985-07-26,5.0208,5.0208,4.884,4.9266,85580
1985-07-29,4.9266,4.9266,4.7814,4.7984,63483
1985-07-30,4.7984,4.8583,4.7046,4.7046,216054
1985-07-31,4.6785,4.6785,4.6187,4.6619,308651
1985-08-01,4.6619,4.8583,4.6619,4.8583,186943
1985-08-02,4.8583,4.8583,4.7814,4.8583,29109
1985-08-05,4.8583,4.9012,4.8241,4.9012,149414
1985-08-06,4.9012,4.9012,4.7814,4.7814,70497
1985-08-07,4.7814,4.8583,4.7814,4.8241,81023
1985-08-08,4.8241,4.841,4.7984,4.7984,41036
1985-08-09,4.7984,4.9012,4.7984,4.884,75059
1985-08-12,4.8583,4.8583,4.7984,4.8241,25605
1985-08-13,4.8241,4.8583,4.7984,4.841,38580
1985-08-14,4.841,4.9012,4.8241,4.8583,62080
1985-08-15,4.8583,4.8583,4.8241,4.841,36128
1985-08-16,4.841,4.8583,4.8241,4.841,28760
1985-08-19,4.841,4.9012,4.7814,4.7814,311106
1985-08-20,4.7984,4.841,4.7984,4.841,44895
1985-08-21,4.841,4.884,4.8241,4.884,29109
1985-08-22,4.884,4.9012,4.7984,4.841,33318
1985-08-23,4.841,4.8583,4.7984,4.841,35076
1985-08-26,4.841,4.841,4.7814,4.8241,56118
1985-08-27,4.8241,4.841,4.7814,4.7814,52257
1985-08-28,4.7814,4.841,4.7642,4.841,67340
1985-08-29,4.841,4.8583,4.8241,4.8583,23499
1985-08-30,4.8583,4.9012,4.7984,4.8583,58573
1985-09-03,4.9012,4.9012,4.841,4.9012,43141
1985-09-04,4.9012,4.9438,4.8668,4.8668,64889
1985-09-05,4.8668,4.9438,4.841,4.884,66990
1985-09-06,4.8668,4.8668,4.841,4.841,28760
1985-09-09,4.841,4.9012,4.841,4.8668,36128
1985-09-10,4.8668,4.9012,4.841,4.8668,71903
1985-09-11,4.8668,4.884,4.6619,4.7046,108377
1985-09-12,4.7046,4.7046,4.6016,4.6016,120657
1985-09-13,4.5763,4.5763,4.5162,4.5592,88036
1985-09-16,4.5592,4.6358,4.5334,4.6187,52961
1985-09-17,4.6187,4.6187,4.5592,4.6016,137840
1985-09-18,4.6016,4.6187,4.5592,4.5763,49807
1985-09-19,4.5763,4.6358,4.5763,4.6358,55067
1985-09-20,4.6358,4.6619,4.6187,4.6187,100663
1985-09-23,4.6187,4.6619,4.5334,4.5763,364768
1985-09-24,4.5763,4.6619,4.5592,4.6016,234997
1985-09-25,4.6016,4.6187,4.5763,4.5763,145556
1985-09-26,4.5763,4.6619,4.5763,4.6016,95403
1985-09-30,4.6016,4.7046,4.5763,4.7046,82425
1985-10-01,4.7046,4.7046,4.6358,4.6785,140297
1985-10-02,4.6785,4.7385,4.6785,4.6785,64889
1985-10-03,4.6785,4.7385,4.6785,4.6785,61379
1985-10-04,4.6619,4.6619,4.5763,4.6619,126616
1985-10-07,4.6619,4.7046,4.6187,4.6785,54714
1985-10-08,4.6785,4.6785,4.6187,4.6785,34026
1985-10-09,4.6785,4.7214,4.6358,4.6619,170106
1985-10-10,4.6619,4.7214,4.6358,4.6619,48401
1985-10-11,4.6619,4.6785,4.6358,4.6785,20692
1985-10-14,4.6785,4.7046,4.6358,4.7046,13677
1985-10-15,4.7046,4.7984,4.6619,4.7385,104171
1985-10-16,4.7385,4.7984,4.7385,4.7642,55416
1985-10-17,4.7642,4.7984,4.7046,4.7385,205886
1985-10-18,4.7385,4.7814,4.7385,4.7642,138193
1985-10-21,4.7642,4.7814,4.7385,4.7642,82777
1985-10-22,4.7642,4.7814,4.7642,4.7642,71903
1985-10-23,4.7642,4.7814,4.7385,4.7385,41737
1985-10-24,4.7385,4.7814,4.7214,4.7214,51560
1985-10-25,4.7214,4.8668,4.7046,4.8668,91894
1985-10-28,4.8668,4.8668,4.7814,4.8241,226579
1985-10-29,4.7984,4.7984,4.7642,4.7814,190450
1985-10-30,4.7814,4.7814,4.6785,4.7385,76109
1985-10-31,4.7385,4.8668,4.7385,4.7814,77868
