Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1987-07-23,1.5067,1.5229,1.4824,1.5229,452307
1987-07-24,1.5229,1.5312,1.4987,1.515,165911
1987-07-27,1.5067,1.5391,1.5067,1.5067,197514
1987-07-28,1.5229,1.5312,1.5067,1.5229,327875
1987-07-29,1.5312,1.5959,1.5067,1.5959,707098
1987-07-30,1.5959,1.5959,1.5797,1.5876,483909
1987-07-31,1.5797,1.5959,1.5797,1.5959,1787504
1987-08-03,1.5959,1.5959,1.5635,1.5876,1339143
1987-08-04,1.5959,1.5959,1.5797,1.5876,266643
1987-08-05,1.5959,1.6446,1.5959,1.6363,1815156
1987-08-06,1.6525,1.6766,1.6363,1.6687,2577557
1987-08-07,1.6525,1.6525,1.6283,1.6283,641918
1987-08-10,1.6363,1.6525,1.6201,1.6525,659697
1987-08-11,1.6525,1.6766,1.6525,1.6606,1582085
1987-08-12,1.6687,1.7334,1.6606,1.6931,1208787
1987-08-13,1.7173,1.7417,1.7093,1.7417,740677
1987-08-14,1.7334,1.7334,1.6852,1.7012,582668
1987-08-17,1.7012,1.7093,1.6446,1.6606,669572
1987-08-18,1.6525,1.6525,1.5876,1.5959,1133728
1987-08-19,1.5876,1.5959,1.5717,1.5797,637972
1987-08-20,1.5876,1.5876,1.5635,1.5876,1443828
1987-08-21,1.5959,1.6121,1.5554,1.5959,2569656
1987-08-24,1.5876,1.5876,1.5554,1.5635,1192984
1987-08-25,1.5717,1.6121,1.5717,1.5876,681425
1987-08-26,1.6201,1.6283,1.5959,1.604,754501
1987-08-27,1.5959,1.5959,1.5554,1.5635,1965262
1987-08-28,1.5797,1.6121,1.5635,1.5959,3515753
1987-08-31,1.604,1.6283,1.5959,1.6121,711049
1987-09-01,1.6121,1.6201,1.5554,1.5554,683399
1987-09-02,1.5554,1.5797,1.5554,1.5635,1266066
1987-09-03,1.5635,1.5717,1.5554,1.5554,1279891
1987-09-04,1.5635,1.5717,1.5554,1.5554,1680845
1987-09-08,1.5554,1.5554,1.4987,1.5312,1623562
1987-09-09,1.5229,1.5554,1.5229,1.5391,333796
1987-09-10,1.5554,1.5635,1.5067,1.515,687348
1987-09-11,1.5067,1.5797,1.4904,1.5717,2719767
1987-09-14,1.5717,1.6766,1.5473,1.6766,1088303
1987-09-15,1.6525,1.6525,1.6201,1.6283,1096204
1987-09-16,1.5959,1.6121,1.5717,1.5797,1335194
1987-09-17,1.5797,1.5876,1.5554,1.5554,653774
1987-09-18,1.6121,1.6283,1.5876,1.5876,1246311
1987-09-21,1.6121,1.6363,1.5959,1.5959,746601
1987-09-22,1.5959,1.6525,1.5635,1.6525,833507
1987-09-23,1.6525,1.6525,1.6121,1.6283,1704544
1987-09-24,1.6283,1.6363,1.5717,1.5959,416756
1987-09-25,1.5959,1.5959,1.5797,1.5876,1400373
1987-09-28,1.6121,1.6121,1.5797,1.5959,746601
1987-09-29,1.5876,1.5959,1.5554,1.5635,503662
1987-09-30,1.5554,1.5876,1.5391,1.5876,604393
1987-10-01,1.5797,1.604,1.5797,1.5959,1060654
1987-10-02,1.5876,1.5959,1.5635,1.5797,353549
1987-10-05,1.5876,1.5959,1.5312,1.5554,740677
1987-10-06,1.5391,1.5473,1.5229,1.5391,610318
1987-10-07,1.5229,1.5391,1.4824,1.5229,1137679
1987-10-08,1.5229,1.5229,1.4904,1.5067,549088
1987-10-09,1.5067,1.5391,1.4904,1.5312,1092254
1987-10-12,1.5229,1.5554,1.515,1.5391,252818
1987-10-13,1.5473,1.604,1.5391,1.5959,691299
1987-10-14,1.5635,1.5635,1.5391,1.5554,1414200
1987-10-15,1.5312,1.5312,1.4501,1.4501,1141630
1987-10-16,1.4582,1.4662,1.3689,1.3773,1192984
1987-10-19,1.1342,1.2395,0.9717,1.0206,6126883
1987-10-20,0.964,1.1667,0.9398,1.0288,2241783
1987-10-21,1.0613,1.2395,1.0613,1.1988,2514354
1987-10-22,1.0693,1.1744,1.0693,1.1099,2638785
1987-10-23,1.1099,1.1988,1.1099,1.1827,1783552
1987-10-26,1.1342,1.1342,1.0936,1.1018,2352391
1987-10-27,1.1744,1.1744,1.1181,1.1424,1183108
1987-10-28,1.126,1.1424,1.1181,1.1342,1062626
1987-10-29,1.1424,1.2067,1.1424,1.191,851288
1987-10-30,1.2635,1.2635,1.2067,1.2067,2245734
1987-11-02,1.1988,1.2152,1.126,1.191,1106078
1987-11-03,1.1585,1.1585,1.1181,1.1585,2243761
1987-11-04,1.1342,1.1501,1.126,1.1424,1167307
1987-11-05,1.1342,1.1827,1.1342,1.1744,1876382
1987-11-06,1.1667,1.1744,1.1424,1.1424,2204254
1987-11-09,1.1424,1.1424,1.0936,1.126,1266066
1987-11-10,1.1181,1.1181,1.0613,1.1181,952017
1987-11-11,1.126,1.1501,1.126,1.1342,916467
1987-11-12,1.1585,1.1585,1.126,1.1501,363426
1987-11-13,1.1424,1.1585,1.1424,1.1424,961892
1987-11-16,1.1667,1.1744,1.1501,1.1501,402928
1987-11-17,1.1501,1.1501,1.0856,1.1018,582668
1987-11-18,1.1181,1.1181,1.0693,1.0856,2048222
1987-11-19,1.1018,1.1099,1.1018,1.1099,525386
1987-11-20,1.1181,1.126,1.0936,1.1181,1749973
1987-11-23,1.126,1.1424,1.1181,1.1424,1742072
1987-11-24,1.1585,1.1744,1.1501,1.1501,1291738
1987-11-25,1.1424,1.1585,1.1181,1.1342,1526783
1987-11-27,1.1342,1.1342,1.1018,1.1099,523413
1987-11-30,1.0856,1.0856,0.9963,1.0128,3719187
1987-12-01,1.0529,1.0613,1.0371,1.0371,3582904
1987-12-02,1.0371,1.0451,1.0128,1.0288,1078426
1987-12-03,1.0128,1.0371,0.9802,1.0128,1149536
1987-12-04,0.9963,1.0128,0.9963,1.0128,2000816
1987-12-07,1.0128,1.0128,0.9963,1.0128,1106078
1987-12-08,1.0128,1.0529,1.0045,1.0529,924367
1987-12-09,1.0613,1.0693,1.0045,1.0451,1572209
1987-12-10,1.0371,1.0371,1.0128,1.0128,989546
1987-12-11,1.0206,1.0529,1.0206,1.0451,1858605
1987-12-14,1.0371,1.0936,1.0288,1.0529,2711867
1987-12-15,1.0529,1.0613,1.0371,1.0529,1279891
1987-12-16,1.0529,1.0693,1.0371,1.0693,2725693
1987-12-17,1.0693,1.1099,1.0371,1.0529,3059490
1987-12-18,1.0693,1.1018,1.0529,1.0693,1969215
1987-12-21,1.0772,1.1181,1.0693,1.1018,2101550
1987-12-22,1.0936,1.1501,1.0529,1.1424,2522253
1987-12-23,1.1342,1.1744,1.1181,1.1585,1765773
1987-12-24,1.1501,1.1585,1.1424,1.1585,861161
1987-12-28,1.1424,1.1424,1.1181,1.1342,1580111
1987-12-29,1.1342,1.1342,1.1099,1.1181,3551301
1987-12-30,1.1181,1.2313,1.1099,1.126,2417570
1987-12-31,1.1099,1.1424,1.0936,1.1424,1382600
1988-01-04,1.1181,1.1744,1.1181,1.1585,1060654
1988-01-05,1.1744,1.1827,1.1424,1.1744,1084354
1988-01-06,1.1667,1.1744,1.1424,1.1585,1113980
1988-01-07,1.1585,1.1744,1.1424,1.1744,2887652
1988-01-08,1.1744,1.1744,1.126,1.126,3478222
1988-01-11,1.126,1.1424,1.0936,1.1424,1155458
1988-01-12,1.1424,1.1424,1.1099,1.1342,1032998
1988-01-13,1.126,1.1501,1.1181,1.1424,971770
1988-01-14,1.1424,1.1585,1.1424,1.1585,600442
1988-01-15,1.191,1.2152,1.1744,1.2152,1945512
1988-01-18,1.2152,1.2313,1.1988,1.2313,799932
1988-01-19,1.2152,1.2152,1.191,1.191,2806674
1988-01-20,1.191,1.191,1.1342,1.1424,2686190
1988-01-21,1.1501,1.1744,1.1424,1.1585,1106078
1988-01-22,1.1585,1.1667,1.1424,1.1585,732778
1988-01-25,1.1585,1.1988,1.1501,1.1827,709074
1988-01-26,1.1827,1.1988,1.1667,1.1827,805856
1988-01-27,1.191,1.2152,1.1827,1.191,2075875
1988-01-28,1.1988,1.2152,1.1988,1.2067,748577
1988-01-29,1.2233,1.2635,1.2152,1.2556,1605791
1988-02-01,1.2556,1.2556,1.2313,1.2313,1189033
1988-02-02,1.2395,1.2719,1.2152,1.2719,1117929
1988-02-03,1.2719,1.2719,1.2475,1.2556,1050776
1988-02-04,1.2556,1.2556,1.2152,1.2313,1404325
1988-02-05,1.2313,1.2556,1.2313,1.2475,375276
1988-02-08,1.2233,1.2313,1.2152,1.2152,614268
1988-02-09,1.2313,1.2313,1.2152,1.2313,319973
1988-02-10,1.2719,1.2959,1.2556,1.2959,1155458
1988-02-11,1.2881,1.2881,1.2475,1.2556,578716
1988-02-12,1.2635,1.3041,1.2635,1.2881,1864536
1988-02-16,1.2881,1.3041,1.2719,1.2959,300221
1988-02-17,1.2801,1.2959,1.2556,1.2556,562912
1988-02-18,1.2475,1.2635,1.2395,1.2475,238986
1988-02-19,1.2635,1.2959,1.2556,1.2881,965842
1988-02-22,1.2959,1.3773,1.2881,1.3773,622170
1988-02-23,1.3528,1.3528,1.3204,1.3288,2058093
1988-02-24,1.3288,1.3449,1.2959,1.3366,697226
1988-02-25,1.3204,1.3609,1.2801,1.3204,1402349
1988-02-26,1.3288,1.3528,1.3041,1.3125,845360
1988-02-29,1.3041,1.3125,1.2881,1.3041,1350996
1988-03-01,1.3125,1.3125,1.2556,1.2719,750552
1988-03-02,1.2959,1.3041,1.2881,1.2959,1145581
1988-03-03,1.3125,1.3204,1.2959,1.3125,1042872
1988-03-04,1.3125,1.3366,1.2635,1.2719,1145581
