Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-07-19,1.0397,1.042,1.0332,1.0332,53724094
1984-07-20,1.0435,1.0501,1.0369,1.0413,88997306
1984-07-23,1.0369,1.0457,1.0282,1.0413,189307831
1984-07-24,1.045,1.0562,1.0431,1.0494,88569248
1984-07-25,1.0445,1.0684,1.0425,1.0576,105046860
1984-07-26,1.0619,1.0838,1.0554,1.0576,282747641
1984-07-27,1.05,1.05,1.0413,1.0413,59756466
1984-07-30,1.039,1.0479,1.0348,1.0413,67001763
1984-07-31,1.0425,1.0576,1.0404,1.0576,60863764
1984-08-01,1.0594,1.0903,1.0574,1.0903,162328507
1984-08-02,1.0834,1.1335,1.0572,1.1227,219961242
1984-08-03,1.119,1.132,1.106,1.1146,177287944
1984-08-06,1.1081,1.1081,1.0821,1.0821,170455786
1984-08-07,1.08,1.0952,1.0775,1.0821,200572620
1984-08-08,1.0805,1.0848,1.0741,1.0741,115646428
1984-08-09,1.0815,1.0966,1.0793,1.0903,84389350
1984-08-10,1.0938,1.1072,1.0938,1.0985,132802045
1984-08-13,1.0985,1.1003,1.0896,1.0985,71714476
1984-08-14,1.0879,1.0966,1.0879,1.0903,64528063
1984-08-15,1.0881,1.101,1.0857,1.0903,91362603
1984-08-16,1.0896,1.1028,1.0875,1.0985,42781867
1984-08-17,1.1003,1.1072,1.0896,1.0985,48061040
1984-08-20,1.0912,1.1065,1.0912,1.1065,86746801
1984-08-21,1.1055,1.1293,1.1032,1.1227,144483712
1984-08-22,1.1204,1.1271,1.1183,1.1227,52466559
1984-08-23,1.1166,1.1188,1.1123,1.1146,74691185
1984-08-24,1.1107,1.1107,1.1042,1.1065,197509423
1984-08-27,1.1065,1.1129,1.102,1.1065,45849474
1984-08-28,1.1043,1.1108,1.1043,1.1065,38567192
1984-08-29,1.1065,1.1131,1.1065,1.1065,71073826
1984-08-30,1.1042,1.1085,1.102,1.1065,49286465
1984-08-31,1.102,1.1065,1.102,1.1065,65564227
1984-09-04,1.1086,1.1108,1.1043,1.1065,27919730
1984-09-05,1.1028,1.105,1.0985,1.0985,94065258
1984-09-06,1.0999,1.1108,1.0978,1.1065,524376073
1984-09-07,1.1132,1.1154,1.1065,1.1065,48636581
1984-09-10,1.0978,1.1086,1.0957,1.1065,340011120
1984-09-11,1.0985,1.1027,1.0985,1.0985,285077278
1984-09-12,1.102,1.1085,1.102,1.1065,29833090
1984-09-13,1.108,1.119,1.1014,1.1146,510383857
1984-09-14,1.1249,1.1271,1.1183,1.1227,98592935
1984-09-17,1.1204,1.1291,1.1161,1.1227,464850966
1984-09-18,1.1271,1.1293,1.1227,1.1227,68260417
1984-09-19,1.1177,1.1396,1.1156,1.1309,595236746
1984-09-20,1.1303,1.1477,1.1281,1.1391,238160984
1984-09-21,1.1427,1.1537,1.1427,1.147,996733161
1984-09-24,1.1492,1.1562,1.147,1.147,253054567
1984-09-25,1.1426,1.1515,1.136,1.147,58247287
1984-09-26,1.145,1.1538,1.1426,1.147,49493358
1984-09-27,1.1494,1.1538,1.145,1.147,137638671
1984-09-28,1.153,1.1576,1.1509,1.1554,61485011
1984-10-01,1.1554,1.1594,1.153,1.1554,149215263
1984-10-02,1.153,1.1576,1.1509,1.1554,149886496
1984-10-03,1.1515,1.1515,1.147,1.147,66597182
1984-10-04,1.1494,1.1494,1.145,1.147,36227791
1984-10-05,1.1456,1.1478,1.1368,1.1391,80038295
1984-10-08,1.1418,1.1418,1.1287,1.1309,21764895
1984-10-09,1.1353,1.1398,1.1285,1.1309,39075877
1984-10-10,1.1309,1.1331,1.1264,1.1309,64957776
1984-10-11,1.1368,1.1436,1.1344,1.1391,52926545
