Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,29.225,29.574,28.985,29.343,2470542
2005-02-28,29.291,29.77,29.291,29.685,3211749
2005-03-01,29.378,29.378,28.746,29.243,3909618
2005-03-02,29.129,29.839,28.746,29.839,3753834
2005-03-03,30.206,30.692,30.206,30.427,5439358
2005-03-04,30.504,30.717,30.445,30.59,3177313
2005-03-07,30.59,30.727,30.496,30.683,2836459
2005-03-08,30.648,31.571,30.606,31.553,5231802
2005-03-09,31.374,31.69,31.205,31.358,3610465
2005-03-10,31.306,31.845,31.306,31.802,2786327
2005-03-11,31.631,31.726,31.171,31.658,2338647
2005-03-14,31.631,31.793,31.505,31.658,1374657
2005-03-15,31.658,31.913,31.562,31.69,1613605
2005-03-16,31.587,31.793,31.587,31.7,2751657
2005-03-17,31.913,32.281,31.793,31.887,2739240
2005-03-18,31.887,32.443,31.845,32.398,3775385
2005-03-21,32.298,32.417,32.04,32.152,1349592
2005-03-22,32.014,32.22,31.819,31.827,1370911
2005-03-23,31.726,32.118,31.665,31.998,1369736
2005-03-24,31.998,32.031,31.81,31.974,1136411
2005-03-28,32.443,33.51,32.443,32.895,4070793
2005-03-29,32.818,33.159,32.747,32.827,1829127
2005-03-30,32.827,33.371,32.791,33.314,2145382
2005-03-31,33.355,33.363,32.853,32.946,2366994
2005-04-01,33.126,33.647,33.066,33.277,2476161
2005-04-04,33.277,33.363,33.038,33.218,1735423
2005-04-05,33.322,33.807,33.296,33.688,1187246
2005-04-06,33.51,33.51,32.93,33.218,3189262
2005-04-07,33.433,34.062,33.381,33.937,2071588
2005-04-08,33.894,34.142,33.688,33.714,1673577
2005-04-11,33.825,33.825,33.322,33.424,1299459
2005-04-12,33.526,33.569,33.314,33.442,1273923
2005-04-13,33.552,33.552,32.913,32.97,773772
2005-04-14,32.996,32.996,32.7,32.827,1686227
2005-04-15,32.723,32.74,32.228,32.374,1729564
2005-04-18,32.355,32.527,32.187,32.389,876381
2005-04-19,32.355,32.658,32.178,32.568,1250260
2005-04-20,32.559,32.692,32.47,32.585,1362242
2005-04-21,32.87,33.459,32.666,33.433,1828894
2005-04-22,33.433,33.433,32.87,33.066,1086281
2005-04-25,33.168,33.381,33.118,33.348,991400
2005-04-26,33.341,33.341,32.938,33.023,1266898
2005-04-27,32.954,32.996,32.675,32.996,1811793
2005-04-28,31.161,31.161,26.364,26.893,19282209
2005-04-29,26.637,26.832,25.793,26.364,5833625
2005-05-02,26.91,27.276,26.628,26.664,3824583
2005-05-03,26.664,26.664,26.125,26.251,1832874
2005-05-04,26.55,26.832,26.038,26.807,2086582
2005-05-05,26.815,26.978,26.698,26.878,2839273
2005-05-06,26.851,26.878,26.338,26.399,1488276
2005-05-09,26.568,26.755,26.373,26.585,2532151
