Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1983-04-06,1.6183,1.6265,1.6102,1.6265,2193413
1983-04-07,1.6428,1.6918,1.6428,1.6841,3737904
1983-04-08,1.6841,1.6918,1.6841,1.6841,2845273
1983-04-11,1.6841,1.7083,1.6754,1.7,1312525
1983-04-12,1.7,1.7245,1.7,1.7245,2390143
1983-04-13,1.741,1.7736,1.741,1.7736,2349037
1983-04-14,1.7655,1.7736,1.7573,1.7655,3547044
1983-04-15,1.741,1.741,1.7164,1.7164,2583939
1983-04-18,1.7164,1.7164,1.7083,1.7083,1450533
1983-04-19,1.6918,1.7,1.6675,1.6918,1714798
1983-04-20,1.7083,1.7491,1.7083,1.741,2299120
1983-04-21,1.741,1.741,1.6841,1.7,546151
1983-04-22,1.6918,1.7083,1.6265,1.6754,1852800
1983-04-25,1.6675,1.6918,1.6428,1.6512,2463552
1983-04-26,1.6512,1.6675,1.6265,1.6675,1705986
1983-04-27,1.6512,1.6675,1.6347,1.6347,1573853
1983-04-28,1.6347,1.6347,1.6265,1.6347,13621479
1983-04-29,1.6347,1.6428,1.6265,1.6428,4927108
1983-05-02,1.6512,1.6592,1.6428,1.6512,2983276
1983-05-03,1.6428,1.6512,1.6347,1.6428,1817566
1983-05-04,1.6265,1.6428,1.6102,1.6183,6826888
1983-05-05,1.6265,1.6512,1.6021,1.6512,7038301
1983-05-06,1.6512,1.7245,1.6512,1.7164,5408657
1983-05-09,1.7,1.7164,1.6841,1.6918,1885102
1983-05-10,1.6918,1.7164,1.6918,1.7083,2504659
1983-05-11,1.7164,1.7164,1.6841,1.6918,2660286
1983-05-12,1.6918,1.7083,1.6754,1.6918,2431255
1983-05-13,1.6918,1.741,1.6918,1.7328,6354145
1983-05-16,1.7083,1.7573,1.7083,1.7491,3077238
1983-05-17,1.7736,1.7818,1.7573,1.7736,1902720
1983-05-18,1.8062,1.8144,1.79,1.79,4410316
1983-05-19,1.79,1.79,1.7655,1.7655,5972427
1983-05-20,1.7655,1.7655,1.741,1.7573,4225329
1983-05-23,1.7573,1.7573,1.7245,1.7491,921995
