Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1988-01-05,0.39383,0.40308,0.39383,0.40308,958774
1988-01-06,0.40781,0.43046,0.40781,0.43046,1065307
1988-01-07,0.42593,0.42593,0.41233,0.41695,1332509
1988-01-08,0.41695,0.42147,0.39383,0.39383,555359
1988-01-11,0.39383,0.39383,0.38034,0.38034,405168
1988-01-12,0.38919,0.38919,0.37109,0.37578,186868
1988-01-13,0.37109,0.37578,0.37109,0.37578,97796
1988-01-14,0.37109,0.37578,0.37109,0.37109,733492
1988-01-15,0.37578,0.37578,0.36173,0.36173,408657
1988-01-18,0.35719,0.35719,0.35719,0.35719,410406
1988-01-19,0.35719,0.36173,0.35719,0.35719,82080
1988-01-20,0.35719,0.36173,0.35719,0.36173,59379
1988-01-21,0.36173,0.36173,0.35719,0.35719,1377914
1988-01-22,0.35719,0.35719,0.35719,0.35719,22701
1988-01-25,0.36173,0.36642,0.36173,0.36642,66363
1988-01-26,0.36642,0.38034,0.36642,0.38034,316101
1988-01-27,0.38034,0.38034,0.38034,0.38034,26193
1988-01-28,0.37578,0.39843,0.37109,0.39843,324831
1988-01-29,0.39843,0.40308,0.39843,0.40308,19212
1988-02-01,0.40781,0.43046,0.40781,0.42147,464548
1988-02-02,0.41695,0.42147,0.41695,0.42147,326578
1988-02-03,0.42147,0.43046,0.42147,0.43046,220049
1988-02-04,0.43046,0.44904,0.43046,0.43518,698562
1988-02-05,0.43518,0.43518,0.43046,0.43046,12223
1988-02-08,0.41233,0.41233,0.40781,0.40781,337059
1988-02-09,0.41233,0.41233,0.41233,0.41233,69857
1988-02-10,0.41233,0.42147,0.41233,0.42147,192106
1988-02-11,0.41233,0.42147,0.41233,0.41233,495977
1988-02-12,0.40781,0.41233,0.40308,0.40781,3646499
1988-02-16,0.41233,0.41233,0.40781,0.40781,433110
1988-02-17,0.41233,0.42147,0.40781,0.41233,178136
1988-02-18,0.41233,0.41233,0.40308,0.40308,92558
1988-02-19,0.40308,0.40781,0.40308,0.40781,612990
1988-02-22,0.40308,0.41233,0.40308,0.41233,300379
1988-02-23,0.41233,0.42147,0.41233,0.42147,151937
1988-02-24,0.42593,0.43971,0.42593,0.43971,581554
1988-02-25,0.43971,0.45346,0.43971,0.44904,1507145
1988-02-26,0.45346,0.45346,0.44431,0.44431,770166
1988-02-29,0.44904,0.4581,0.44904,0.4581,562343
1988-03-01,0.4581,0.46264,0.45346,0.45346,228777
1988-03-02,0.45346,0.46264,0.43971,0.44904,1412845
1988-03-03,0.43971,0.43971,0.42593,0.43046,902893
1988-03-04,0.42593,0.42593,0.42147,0.42147,948298
1988-03-07,0.42147,0.42147,0.41695,0.42147,438347
1988-03-08,0.42593,0.42593,0.42593,0.42593,111770
1988-03-09,0.42593,0.42593,0.42147,0.42593,227032
1988-03-10,0.42147,0.42147,0.42147,0.42147,54138
1988-03-11,0.42147,0.42593,0.42147,0.42147,213061
1988-03-14,0.42593,0.42593,0.42147,0.42147,234020
1988-03-15,0.42147,0.43046,0.42147,0.43046,413897
1988-03-16,0.43046,0.43046,0.43046,0.43046,242753
1988-03-17,0.43046,0.43971,0.43046,0.43971,277676
1988-03-18,0.43971,0.44904,0.43971,0.43971,113517
1988-03-21,0.44431,0.44431,0.43046,0.43046,810333
1988-03-22,0.43046,0.43518,0.43046,0.43046,599015
1988-03-23,0.43046,0.43518,0.43046,0.43046,417389
1988-03-24,0.43046,0.43518,0.42593,0.42593,1108967
1988-03-25,0.43046,0.43046,0.42147,0.42147,61121
1988-03-28,0.42147,0.42147,0.41233,0.41233,457560
1988-03-29,0.41233,0.42147,0.41233,0.42147,66363
1988-03-30,0.42147,0.43046,0.42147,0.43046,82080
1988-03-31,0.43046,0.43046,0.41233,0.41695,384208
1988-04-04,0.41695,0.41695,0.41233,0.41233,298634
1988-04-05,0.41695,0.42147,0.41233,0.41695,134475
1988-04-06,0.42147,0.42147,0.40781,0.41233,590285
1988-04-07,0.41233,0.43046,0.41233,0.43046,371984
1988-04-08,0.43046,0.43971,0.42593,0.43971,302126
1988-04-11,0.43971,0.46264,0.43971,0.4581,296889
1988-04-12,0.4581,0.46264,0.45346,0.46264,406913
1988-04-13,0.46264,0.46264,0.43971,0.44904,740477
1988-04-14,0.44904,0.45346,0.43971,0.44431,756192
1988-04-15,0.44431,0.44904,0.43046,0.43971,282916
1988-04-18,0.43971,0.43971,0.43046,0.43046,253230
1988-04-19,0.43046,0.43046,0.42593,0.42593,216551
1988-04-20,0.42593,0.42593,0.42147,0.42147,104783
1988-04-21,0.42593,0.43046,0.42593,0.43046,185120
1988-04-22,0.43046,0.43046,0.42147,0.43046,1397127
1988-04-25,0.43046,0.43046,0.42147,0.43046,523922
1988-04-26,0.43046,0.43518,0.43046,0.43046,43661
1988-04-27,0.43046,0.43046,0.42593,0.42593,59379
1988-04-28,0.42593,0.43046,0.42593,0.43046,103041
1988-04-29,0.42593,0.42593,0.40781,0.41695,361507
1988-05-02,0.41695,0.41695,0.41233,0.41233,234020
1988-05-03,0.40781,0.40781,0.40308,0.40308,606005
1988-05-04,0.40308,0.40308,0.37578,0.38495,937824
1988-05-05,0.38495,0.39383,0.38495,0.39383,2623103
1988-05-06,0.39383,0.39843,0.38919,0.38919,930838
1988-05-09,0.38919,0.39383,0.38495,0.38919,267200
1988-05-10,0.38495,0.39383,0.38495,0.38495,597273
1988-05-11,0.38495,0.38495,0.37578,0.37578,384208
1988-05-12,0.37578,0.38495,0.37578,0.38495,113517
1988-05-13,0.38495,0.38495,0.37578,0.38495,148444
1988-05-16,0.38495,0.38495,0.38495,0.38495,97796
1988-05-17,0.38919,0.39383,0.38495,0.38495,127490
1988-05-18,0.38495,0.38495,0.38034,0.38495,64618
1988-05-19,0.38034,0.38034,0.36642,0.36642,241004
1988-05-20,0.36642,0.37578,0.36642,0.37578,144953
1988-05-23,0.37578,0.37578,0.36642,0.37109,73351
1988-05-24,0.37109,0.37578,0.36642,0.37578,153684
1988-05-25,0.37578,0.38495,0.37578,0.38495,340551
1988-05-26,0.38495,0.38495,0.37578,0.38034,151937
1988-05-27,0.38034,0.38034,0.37578,0.37578,71604
1988-05-31,0.37578,0.38034,0.37109,0.38034,1018155
1988-06-01,0.37578,0.38034,0.37578,0.38034,420885
1988-06-02,0.38034,0.38034,0.37578,0.37578,380720
1988-06-03,0.37578,0.37578,0.37109,0.37578,482009
1988-06-06,0.37578,0.37578,0.36173,0.36173,2451954
1988-06-07,0.36642,0.37578,0.36642,0.37578,611248
1988-06-08,0.37109,0.38034,0.36642,0.37109,1812773
1988-06-09,0.37109,0.37578,0.37109,0.37578,2789015
1988-06-10,0.37578,0.38495,0.37578,0.38495,749209
1988-06-13,0.38495,0.38495,0.37578,0.38034,480261
1988-06-14,0.38495,0.39383,0.37578,0.38919,3152264
1988-06-15,0.38919,0.39383,0.38919,0.39383,670622
1988-06-16,0.39843,0.41233,0.39383,0.41233,469785
1988-06-17,0.41233,0.41233,0.40781,0.41233,195594
1988-06-20,0.41233,0.41233,0.40308,0.41233,991960
1988-06-21,0.41233,0.42593,0.41233,0.42593,974494
