Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1987-12-30,2.0519,2.1472,2.0519,2.1225,516425
1987-12-31,2.1016,2.1225,2.0809,2.0809,488980
1988-01-04,2.0936,2.1889,2.0936,2.1764,293966
1988-01-05,2.1889,2.2098,2.1472,2.1472,247018
1988-01-06,2.1472,2.2098,2.135,2.1973,317799
1988-01-07,2.1973,2.2098,2.1682,2.2098,239798
1988-01-08,2.1889,2.1889,2.1016,2.1016,398695
1988-01-11,2.1016,2.1433,2.0396,2.135,959182
1988-01-12,2.1433,2.1433,2.1016,2.1225,611765
1988-01-13,2.1433,2.1682,2.1225,2.1557,473093
1988-01-14,2.1557,2.1682,2.1225,2.1557,612491
1988-01-15,2.1764,2.2098,2.1764,2.1973,444198
1988-01-18,2.1973,2.2223,2.1889,2.2098,434813
1988-01-19,2.1973,2.2514,2.1889,2.2514,283854
1988-01-20,2.2305,2.2845,2.2098,2.2098,1880800
1988-01-21,2.1973,2.272,2.1973,2.272,1061020
1988-01-22,2.272,2.3799,2.272,2.3799,717219
1988-01-25,2.3799,2.4258,2.3594,2.4009,436254
1988-01-26,2.3925,2.4009,2.3799,2.3799,204407
1988-01-27,2.3799,2.4009,2.3717,2.3717,304803
1988-01-28,2.3717,2.3799,2.3717,2.3717,65002
1988-01-29,2.3925,2.4466,2.3925,2.4009,205851
1988-02-01,2.4258,2.4755,2.4009,2.4755,157452
1988-02-02,2.4672,2.4755,2.4546,2.4755,327191
1988-02-03,2.4755,2.488,2.4466,2.4466,224626
1988-02-04,2.4466,2.4546,2.4133,2.4546,670994
1988-02-05,2.4546,2.4546,2.4258,2.4258,207295
1988-02-08,2.4009,2.4009,2.3799,2.4009,177678
1988-02-09,2.4009,2.4258,2.3799,2.4258,797392
1988-02-10,2.434,2.4546,2.4258,2.4466,634155
1988-02-11,2.434,2.4546,2.4258,2.4258,209462
1988-02-12,2.4258,2.434,2.3925,2.434,554707
1988-02-16,2.4258,2.4466,2.3925,2.3925,252798
1988-02-17,2.4009,2.4466,2.3925,2.4258,530871
1988-02-18,2.4009,2.4755,2.4009,2.4672,210903
1988-02-19,2.4755,2.5003,2.4672,2.5003,1628008
1988-02-22,2.488,2.5212,2.4672,2.5086,133619
1988-02-23,2.5086,2.5296,2.5086,2.5212,189240
1988-02-24,2.5296,2.5546,2.5086,2.5212,706385
1988-02-25,2.5212,2.5625,2.5003,2.5546,436977
1988-02-26,2.5419,2.5546,2.5296,2.5296,133619
1988-02-29,2.5296,2.5625,2.5296,2.5546,160344
1988-03-01,2.5546,2.5625,2.5296,2.5419,402306
1988-03-02,2.5625,2.5835,2.5419,2.5419,1393266
1988-03-03,2.5419,2.5835,2.5419,2.5835,332970
1988-03-04,2.5835,2.6581,2.5546,2.6581,267965
1988-03-07,2.6378,2.6378,2.5625,2.5752,222462
1988-03-08,2.5546,2.6581,2.5546,2.6291,371970
1988-03-09,2.6499,2.6499,2.6043,2.6043,417476
1988-03-10,2.5835,2.6167,2.5086,2.5086,218130
1988-03-11,2.5212,2.5625,2.5086,2.5625,339469
1988-03-14,2.5625,2.5625,2.5419,2.5419,380639
1988-03-15,2.5625,2.5625,2.5419,2.5546,221018
1988-03-16,2.5752,2.5752,2.5419,2.5546,310576
1988-03-17,2.5546,2.5752,2.5212,2.5752,702051
1988-03-18,2.5625,2.5961,2.5625,2.5752,208014
1988-03-21,2.5961,2.5961,2.5419,2.5419,600210
1988-03-22,2.5419,2.5546,2.5086,2.5086,727330
1988-03-23,2.5212,2.5296,2.5086,2.5296,205851
1988-03-24,2.5296,2.5296,2.5086,2.5296,133619
1988-03-25,2.5296,2.5546,2.5296,2.5419,208014
1988-03-28,2.5296,2.5546,2.5212,2.5419,184904
1988-03-29,2.5419,2.5419,2.5212,2.5212,142289
