Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1984-10-24,2.8696,3.135,2.8696,2.948,17698150
1984-10-25,2.948,2.9678,2.8008,2.8008,9679439
1984-10-26,2.732,2.7612,2.6436,2.6831,6077938
1984-10-29,2.7123,2.7221,2.5844,2.6436,5758002
1984-10-30,2.6535,2.8008,2.6337,2.6535,4753429
1984-10-31,2.7026,2.7221,2.5745,2.6237,7981266
1984-11-01,2.6237,2.7123,2.6237,2.7123,2328278
1984-11-02,2.7026,2.7513,2.7026,2.7026,1453138
1984-11-05,2.732,2.7416,2.6831,2.6831,988298
1984-11-06,2.6831,2.7513,2.6831,2.7513,2347814
1984-11-07,2.732,2.7513,2.7123,2.732,904446
1984-11-08,2.732,2.8008,2.732,2.7809,1791796
1984-11-09,2.7612,2.7809,2.6831,2.6831,1625721
1984-11-12,2.7026,2.7123,2.6633,2.7123,357381
1984-11-13,2.7026,2.7123,2.6535,2.6831,1755977
1984-11-14,2.7026,2.7026,2.6633,2.6831,393200
1984-11-15,2.6633,2.6831,2.604,2.6138,1192634
1984-11-16,2.604,2.604,2.5057,2.5353,2481326
1984-11-19,2.5452,2.5549,2.4961,2.5057,341916
1984-11-20,2.5353,2.5745,2.5353,2.5745,268648
1984-11-21,2.5745,2.5844,2.5549,2.5844,403787
1984-11-23,2.5745,2.604,2.5549,2.5844,468911
1984-11-26,2.604,2.604,2.5745,2.5844,171773
1984-11-27,2.5745,2.5745,2.4961,2.5549,853157
1984-11-28,2.5452,2.5549,2.5254,2.5254,261320
1984-11-29,2.5254,2.5353,2.4961,2.4961,461581
1984-11-30,2.3581,2.4472,2.3387,2.4175,11030817
1984-12-03,2.2997,2.3779,2.2997,2.3096,3535562
1984-12-04,2.3096,2.3581,2.2997,2.329,1994502
1984-12-05,2.3581,2.3581,2.3387,2.3387,1846339
1984-12-06,2.3581,2.3779,2.3387,2.3387,1184490
1984-12-07,2.3581,2.4076,2.3581,2.3779,1771446
1984-12-10,2.3679,2.3679,2.3387,2.3387,3217253
1984-12-11,2.329,2.3387,2.3096,2.3096,500660
1984-12-12,2.3387,2.3387,2.2898,2.2898,512059
1984-12-13,2.2898,2.3096,2.2603,2.3096,1400225
1984-12-14,2.3096,2.329,2.2898,2.2898,476237
1984-12-17,2.3096,2.329,2.3096,2.329,572304
1984-12-18,2.329,2.3679,2.3096,2.3679,849088
1984-12-19,2.3679,2.4076,2.3679,2.3779,1366844
1984-12-20,2.3878,2.4175,2.3779,2.4076,2485393
1984-12-21,2.4076,2.4175,2.3976,2.4175,1379056
1984-12-24,2.3976,2.4175,2.3976,2.4076,521015
1984-12-26,2.4076,2.4175,2.3976,2.3976,1388011
1984-12-27,2.3976,2.4175,2.3878,2.3878,818966
