Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1990-03-26,0.26038,0.26038,0.26038,0.26038,459906
1990-03-27,0.26038,0.27824,0.26038,0.27824,4360202
1990-03-28,0.27824,0.27824,0.2692,0.2692,1739803
1990-03-29,0.27824,0.27824,0.2692,0.2692,598948
1990-03-30,0.27824,0.27824,0.2692,0.2692,1957280
1990-04-02,0.2692,0.27824,0.26038,0.27824,2730923
1990-04-03,0.27824,0.28716,0.2692,0.27824,3133789
1990-04-04,0.28716,0.28716,0.27824,0.27824,4460032
1990-04-05,0.28716,0.29628,0.28716,0.28716,4413685
1990-04-06,0.29628,0.29628,0.28716,0.29628,1418939
1990-04-09,0.29628,0.29628,0.28716,0.28716,3201524
1990-04-10,0.28716,0.28716,0.27824,0.27824,2360144
1990-04-11,0.28716,0.28716,0.27824,0.28716,3832562
1990-04-12,0.28716,0.29628,0.28716,0.29628,3625782
1990-04-16,0.29628,0.29628,0.28716,0.29628,5119589
1990-04-17,0.29628,0.29628,0.29628,0.29628,8085813
1990-04-18,0.29628,0.29628,0.28716,0.28716,2552664
1990-04-19,0.28716,0.28716,0.28716,0.28716,998249
1990-04-20,0.28716,0.28716,0.27824,0.28716,1301290
1990-04-23,0.27824,0.27824,0.2692,0.27824,1112335
1990-04-24,0.27824,0.28716,0.27824,0.27824,780772
1990-04-25,0.27824,0.28716,0.27824,0.28716,844946
1990-04-26,0.28716,0.29628,0.28716,0.28716,1369026
1990-04-27,0.28716,0.28716,0.27824,0.27824,2103451
1990-04-30,0.29628,0.30531,0.28716,0.30531,13683133
1990-05-01,0.30531,0.31404,0.30531,0.31404,12388976
1990-05-02,0.31404,0.32317,0.30531,0.32317,4214032
1990-05-03,0.33211,0.33211,0.32317,0.32317,6100010
1990-05-04,0.32317,0.3411,0.32317,0.3411,12542274
1990-05-07,0.35006,0.35909,0.3411,0.35909,41612697
1990-05-08,0.35909,0.36811,0.35909,0.36811,17169871
1990-05-09,0.36811,0.36811,0.35909,0.35909,13618959
1990-05-10,0.35909,0.36811,0.35909,0.35909,13094880
1990-05-11,0.35909,0.36811,0.35909,0.35909,11544031
1990-05-14,0.35909,0.36811,0.35909,0.36811,6577743
1990-05-15,0.36811,0.36811,0.35909,0.36811,8420938
1990-05-16,0.36811,0.38596,0.36811,0.36811,10777518
1990-05-17,0.37695,0.37695,0.36811,0.37695,13479918
1990-05-18,0.36811,0.37695,0.36811,0.36811,12831055
1990-05-21,0.36811,0.38596,0.36811,0.38596,9440577
1990-05-22,0.38596,0.40404,0.38596,0.40404,32753240
1990-05-23,0.40404,0.41286,0.3949,0.41286,24171869
1990-05-24,0.40404,0.42178,0.40404,0.42178,12560103
1990-05-25,0.41286,0.42178,0.41286,0.41286,14905986
1990-05-29,0.40404,0.42178,0.40404,0.42178,9793532
1990-05-30,0.41286,0.42178,0.41286,0.42178,13226791
1990-05-31,0.42178,0.43091,0.42178,0.42178,11729417
1990-06-01,0.42178,0.43091,0.42178,0.42178,16271449
1990-06-04,0.42178,0.43091,0.42178,0.42178,9807789
1990-06-05,0.43091,0.43991,0.42178,0.43991,19116456
1990-06-06,0.43991,0.43991,0.43091,0.43091,14171561
1990-06-07,0.43091,0.43091,0.41286,0.42178,10053785
1990-06-08,0.41286,0.42178,0.3949,0.3949,13337310
1990-06-11,0.3949,0.40404,0.38596,0.3949,4656115
