Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1985-07-01,1.2772,1.2983,1.2772,1.2772,862572
1985-07-02,1.2815,1.2983,1.2815,1.2899,2513954
1985-07-03,1.2899,1.2899,1.2561,1.2646,1032822
1985-07-05,1.2688,1.2815,1.2688,1.2815,484257
1985-07-08,1.2688,1.2815,1.2688,1.2815,484257
1985-07-09,1.2815,1.2815,1.2392,1.2561,1445188
1985-07-10,1.2561,1.273,1.2517,1.2646,4021573
1985-07-11,1.2646,1.3027,1.2561,1.3027,2067533
1985-07-12,1.3027,1.3109,1.2899,1.3109,983625
1985-07-15,1.3109,1.345,1.3027,1.345,1375209
1985-07-16,1.345,1.3914,1.345,1.3914,2502614
1985-07-17,1.3914,1.3914,1.3744,1.3832,3160886
1985-07-18,1.3662,1.3662,1.3491,1.3575,1814058
1985-07-19,1.3575,1.3702,1.3491,1.3662,1378990
1985-07-22,1.3575,1.3575,1.3364,1.345,493716
1985-07-23,1.345,1.3534,1.3364,1.3406,2479901
1985-07-24,1.3406,1.3491,1.307,1.307,1242790
1985-07-25,1.307,1.3109,1.2688,1.2899,3003880
1985-07-26,1.2899,1.2983,1.2815,1.2899,291307
1985-07-29,1.2899,1.2899,1.2646,1.2688,2544217
1985-07-30,1.2688,1.2815,1.2561,1.2815,1867023
1985-07-31,1.2815,1.3027,1.273,1.273,4042382
1985-08-01,1.273,1.2899,1.2688,1.2772,3255466
1985-08-02,1.2772,1.2899,1.2772,1.2815,2631234
1985-08-05,1.2815,1.2899,1.2772,1.2772,314016
1985-08-06,1.2772,1.2899,1.2688,1.2688,1036614
1985-08-07,1.2688,1.2688,1.2476,1.2603,826633
1985-08-08,1.2646,1.2983,1.2646,1.2983,1097136
1985-08-09,1.2983,1.3109,1.2899,1.3027,616663
1985-08-12,1.3027,1.3027,1.2815,1.2899,385892
1985-08-13,1.2858,1.2858,1.273,1.2815,610998
1985-08-14,1.2899,1.3197,1.2899,1.3154,754760
1985-08-15,1.3154,1.3238,1.2899,1.2983,268615
1985-08-16,1.2983,1.3197,1.2899,1.3197,302662
1985-08-19,1.3154,1.3154,1.2983,1.3027,198627
1985-08-20,1.3027,1.345,1.3027,1.3406,739624
1985-08-21,1.3406,1.3534,1.3364,1.3364,1097136
1985-08-22,1.3364,1.3406,1.3154,1.3154,947701
1985-08-23,1.3154,1.3364,1.307,1.3197,976077
1985-08-26,1.3197,1.3575,1.307,1.3575,936347
1985-08-27,1.3575,1.3618,1.345,1.3491,716928
1985-08-28,1.3491,1.3744,1.3406,1.3744,1252253
1985-08-29,1.3702,1.3702,1.3491,1.3662,796367
1985-08-30,1.3662,1.3744,1.3618,1.3662,448314
1985-09-03,1.3662,1.3702,1.3575,1.3702,769889
1985-09-04,1.3702,1.3871,1.3702,1.3832,1227655
1985-09-05,1.3832,1.3914,1.3744,1.3788,1460322
1985-09-06,1.3788,1.3871,1.3788,1.3871,289411
1985-09-09,1.3871,1.3871,1.3618,1.3702,1681643
1985-09-10,1.3702,1.3832,1.3618,1.3618,1129291
1985-09-11,1.3618,1.3788,1.3618,1.3744,917432
1985-09-12,1.3744,1.4083,1.3744,1.3999,1967275
1985-09-13,1.3999,1.4125,1.3914,1.4083,1191720
1985-09-16,1.4083,1.4083,1.3914,1.4083,433180
1985-09-17,1.4083,1.4083,1.3744,1.3957,2048623
