Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1983-11-21,2.6504,2.6504,2.4625,2.6361,6252137
1983-11-22,2.6361,2.6721,2.6215,2.6288,3321033
1983-11-23,2.6288,2.6361,2.6002,2.6143,1434536
1983-11-25,2.6143,2.6143,2.5856,2.5856,2206639
1983-11-28,2.571,2.571,2.506,2.5133,2948831
1983-11-29,2.506,2.506,2.4769,2.4843,2030505
1983-11-30,2.4843,2.506,2.4769,2.4843,3017509
1983-12-01,2.4843,2.506,2.4697,2.4843,7781940
1983-12-02,2.4843,2.5133,2.4625,2.4769,2196671
1983-12-05,2.4769,2.4843,2.4481,2.4481,1350345
1983-12-06,2.4481,2.4697,2.4481,2.4625,2710663
1983-12-07,2.4625,2.506,2.4625,2.4843,6047201
1983-12-08,2.4843,2.4986,2.4769,2.4915,9165516
1983-12-09,2.4915,2.506,2.4915,2.4915,6503598
1983-12-12,2.4915,2.506,2.4915,2.4986,3530398
1983-12-13,2.506,2.5423,2.506,2.535,8334705
1983-12-14,2.535,2.5567,2.535,2.5423,3139365
1983-12-15,2.5423,2.5423,2.5277,2.5277,2893439
1983-12-16,2.5277,2.5494,2.5277,2.5423,3054065
1983-12-19,2.5423,2.5423,2.535,2.535,2006135
1983-12-20,2.535,2.5423,2.5133,2.5204,2412680
1983-12-21,2.5204,2.5277,2.4915,2.506,2410460
1983-12-22,2.4986,2.4986,2.4697,2.4697,6066035
1983-12-23,2.4697,2.4769,2.4481,2.455,2912272
1983-12-27,2.4481,2.4481,2.4408,2.4408,3741977
1983-12-28,2.4408,2.4625,2.4408,2.4625,5703801
1983-12-29,2.4625,2.4697,2.455,2.455,3734223
1983-12-30,2.455,2.4625,2.4408,2.4481,2173403
1984-01-03,2.4625,2.5204,2.4625,2.5204,2458097
1984-01-04,2.535,2.6361,2.535,2.5926,4524046
1984-01-05,2.6143,2.6648,2.6143,2.6143,4681350
1984-01-06,2.6073,2.6793,2.6073,2.6648,5614073
1984-01-09,2.6648,2.6648,2.6288,2.6288,2231008
1984-01-10,2.6288,2.6361,2.6215,2.6361,1957395
1984-01-11,2.6361,2.6504,2.6361,2.6432,1567462
1984-01-12,2.6432,2.6648,2.6361,2.6648,1770181
1984-01-13,2.6793,2.7082,2.6793,2.6793,3920325
1984-01-16,2.701,2.7589,2.701,2.7082,3049637
1984-01-17,2.7156,2.7372,2.7156,2.7299,2679646
1984-01-18,2.7299,2.7372,2.7156,2.7372,3647823
1984-01-19,2.7372,2.7516,2.7227,2.7372,2257594
1984-01-20,2.7372,2.7589,2.7372,2.7589,2600994
1984-01-23,2.7589,2.7589,2.7442,2.7442,1444505
1984-01-24,2.7442,2.7442,2.7372,2.7372,1461119
1984-01-25,2.7372,2.7589,2.7372,2.7442,2131309
1984-01-26,2.7442,2.7516,2.7299,2.7299,3663330
1984-01-27,2.7299,2.8022,2.7299,2.766,3744190
1984-01-30,2.766,2.7732,2.7442,2.7589,2962121
1984-01-31,2.7589,2.7732,2.7516,2.7732,2016105
1984-02-01,2.7732,2.7949,2.7516,2.7803,2186696
1984-02-02,2.7803,2.8093,2.766,2.8022,3961309
1984-02-03,2.8022,2.8165,2.7589,2.7589,3277829
1984-02-06,2.7589,2.7589,2.7299,2.7442,1863238
1984-02-07,2.7442,2.7442,2.7082,2.7442,2697371
1984-02-08,2.7299,2.7299,2.6432,2.6432,4854159
1984-02-09,2.6432,2.6721,2.6432,2.6504,2534531
1984-02-10,2.6361,2.6361,2.6143,2.6361,2444805
1984-02-13,2.6361,2.6432,2.6143,2.6288,3224657
1984-02-14,2.6288,2.6721,2.6288,2.6648,2874608
1984-02-15,2.6648,2.6793,2.6361,2.6793,4273698
1984-02-16,2.701,2.7227,2.701,2.7227,2737248
