Station;Name;Date;Average wind speed;Peak gust time;Precipitation;Snowfall;Snow depth;Average Temperature;Maximum temperature;Minimum temperature;Direction of fastest 2-minute wind;Direction of fastest 5-second wind;Fastest 2-minute wind speed;Fastest 5-second wind speed; Fog or ice fog;Heavy fog or heaving freezing fog;Thunder;Smoke or haze
USW00023190;SANTA BARBARA MUNICIPAL AIRPORT, CA US;2017-01-20;7.83;;2.67;;0;;57;46;280;120;23.0;30.0;1;1;;
USW00023190;SANTA BARBARA MUNICIPAL AIRPORT, CA US;2017-01-21;7.61;;0.05;;0;;59;44;270;270;17.0;21.0;1;;;
USW00023190;SANTA BARBARA MUNICIPAL AIRPORT, CA US;2017-01-22;11.18;;1.40;;0;;56;49;100;90;25.9;38.0;1;;;
USW00023190;SANTA BARBARA MUNICIPAL AIRPORT, CA US;2017-01-23;7.83;;0.30;;0;;56;43;340;350;21.9;31.1;1;;;
USW00023190;SANTA BARBARA MUNICIPAL AIRPORT, CA US;2017-01-24;2.91;;0.00;0.0;0;;55;37;270;290;12.1;14.1;;;;
USW00023190;SANTA BARBARA MUNICIPAL AIRPORT, CA US;2017-01-25;2.24;;0.00;0.0;0;;57;34;150;150;8.9;12.1;;;;
USW00023190;SANTA BARBARA MUNICIPAL AIRPORT, CA US;2017-01-26;2.91;;0.00;0.0;0;;58;34;220;240;8.9;12.1;;;;
USW00023190;SANTA BARBARA MUNICIPAL AIRPORT, CA US;2017-01-27;3.13;;0.00;0.0;0;;61;34;220;220;8.9;12.1;;;;
USW00023190;SANTA BARBARA MUNICIPAL AIRPORT, CA US;2017-01-28;2.46;;0.00;0.0;0;;67;34;260;260;8.9;11.0;;;;
USW00023190;SANTA BARBARA MUNICIPAL AIRPORT, CA US;2017-01-29;2.91;;0.00;0.0;0;;72;34;290;300;13.0;15.0;;;;
USW00023190;SANTA BARBARA MUNICIPAL AIRPORT, CA US;2017-01-30;2.01;;0.00;0.0;0;;75;38;260;270;10.1;12.1;;;;
