Station;Name;Date;Average wind speed;Peak gust time;Precipitation;Snowfall;Snow depth;Average Temperature;Maximum temperature;Minimum temperature;Direction of fastest 2-minute wind;Direction of fastest 5-second wind;Fastest 2-minute wind speed;Fastest 5-second wind speed; Fog or ice fog;Heavy fog or heaving freezing fog;Thunder;Smoke or haze
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-01-20;15.21;;1.01;;0;;57;48;130;130;33.1;42.9;1;;1;1
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-01-21;14.76;;0.33;;0;;56;49;140;140;31.1;38.0;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-01-22;14.76;;0.56;;0;;58;48;150;150;38.0;44.1;1;;;1
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-01-23;6.71;;0.18;;0;;53;46;290;280;18.1;23.0;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-01-24;5.59;;0.00;0.0;0;;56;41;40;30;18.1;21.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-01-25;5.14;;0.00;0.0;0;;56;41;150;160;14.1;16.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-01-26;4.47;;0.00;0.0;0;;56;44;300;300;15.0;18.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-01-27;4.70;;0.00;0.0;0;;58;41;70;230;14.1;19.9;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-01-28;6.04;;0.00;0.0;0;;59;39;90;90;12.1;13.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-01-29;3.80;;0.00;0.0;0;;61;41;130;200;10.1;13.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-01-30;2.68;;0.00;0.0;0;;62;39;280;280;8.9;14.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-01-31;2.91;;0.00;0.0;0;;58;39;190;200;8.1;8.9;1;;;1
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-01;5.14;;0.00;;0;;61;47;120;120;18.1;21.0;1;;;1
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-02;12.75;;0.10;0.0;0;;64;51;150;140;23.0;32.0;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-03;12.75;;0.42;0.0;0;;61;56;150;150;23.9;32.0;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-04;6.26;;0.06;0.0;0;;60;51;160;160;16.1;19.9;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-05;10.51;;0.12;;0;;63;49;170;170;29.1;36.9;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-06;11.86;;0.74;0.0;0;;60;55;150;150;25.9;31.1;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-07;11.86;;0.68;0.0;0;;62;57;200;200;36.0;42.9;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-08;8.28;;0.33;0.0;0;;64;58;160;160;17.0;21.0;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-09;11.41;;0.55;0.0;0;;64;58;170;170;29.1;36.0;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-10;8.50;;0.13;0.0;0;;63;52;280;280;18.1;25.9;1;;;1
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-11;7.16;;0.00;0.0;0;;61;46;300;300;15.0;17.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-12;4.25;;0.00;0.0;0;;64;42;280;280;14.1;16.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-13;3.58;;0.00;0.0;0;;62;45;280;300;10.1;13.0;1;;;1
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-14;3.58;;0.00;0.0;0;;65;46;310;310;14.1;16.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-15;6.26;;0.00;0.0;0;;65;51;160;170;21.0;25.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-16;9.84;;0.38;0.0;0;;64;54;140;140;31.1;38.0;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-17;15.21;;1.16;0.0;0;;61;54;140;130;42.9;52.1;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-18;13.65;;0.11;0.0;0;;59;52;280;280;31.1;36.0;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-19;16.55;;0.08;0.0;0;;57;51;150;160;31.1;36.9;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-20;17.00;;2.00;0.0;0;;61;55;210;210;38.9;46.1;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-21;8.95;;0.40;0.0;0;;62;52;220;220;31.1;38.9;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-22;12.75;;0.01;0.0;0;;57;43;290;280;30.0;35.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-23;8.05;;0.00;0.0;0;;55;41;290;310;21.0;28.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-24;7.83;;0.00;0.0;0;;56;37;270;320;18.1;21.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-25;7.16;;0.00;0.0;0;;56;40;270;260;17.0;19.9;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-26;6.93;;0.03;0.0;0;;58;39;290;280;21.0;25.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-27;7.61;;0.04;;0;;56;41;290;270;19.9;23.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-02-28;7.83;;0.00;0.0;0;;60;39;280;280;18.1;19.9;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-01;4.70;;0.00;0.0;0;;62;41;290;290;15.0;18.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-02;4.70;;0.00;0.0;0;;66;41;300;300;14.1;16.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-03;7.61;;0.00;0.0;0;;65;43;270;260;18.1;21.9;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-04;12.30;;0.61;0.0;0;;62;52;170;170;23.9;28.0;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-05;15.88;;0.22;;0;;54;46;280;280;40.9;48.1;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-06;8.72;;0.16;;0;;55;45;200;200;21.9;27.1;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-07;5.82;;0.00;;0;;60;42;300;300;17.0;19.9;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-08;5.82;;0.00;0.0;0;;67;44;270;280;16.1;19.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-09;4.92;;0.00;0.0;0;;71;49;270;290;14.1;16.1;1;1;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-10;4.25;;0.00;0.0;0;;69;53;300;310;10.1;13.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-11;6.49;;0.00;0.0;0;;66;51;270;270;19.9;21.9;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-12;5.14;;0.00;0.0;0;;71;47;280;280;16.1;18.1;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-13;4.47;;0.00;0.0;0;;74;48;300;300;16.1;18.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-14;5.37;;0.00;0.0;0;;78;53;300;310;14.1;16.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-15;7.16;;0.00;0.0;0;;63;54;290;290;21.0;23.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-16;6.26;;0.00;0.0;0;;67;53;280;280;21.9;23.9;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-17;5.14;;0.00;0.0;0;;76;48;280;280;14.1;16.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-18;5.82;;0.00;0.0;0;;68;53;290;290;16.1;19.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-19;4.92;;0.00;0.0;0;;64;56;290;300;17.0;21.0;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-20;12.53;;0.40;0.0;0;;64;55;150;200;23.9;29.1;1;;1;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-21;15.21;;0.30;0.0;0;;67;59;150;140;25.9;31.1;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-22;14.32;;0.28;0.0;0;;63;52;280;280;25.9;30.0;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-23;7.38;;0.00;0.0;0;;62;45;260;260;18.1;21.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-24;11.41;;0.68;0.0;0;;58;53;150;140;29.1;34.0;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-25;9.84;;0.00;0.0;0;;64;52;280;250;21.9;28.0;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-26;9.84;;0.04;0.0;0;;64;54;240;240;23.9;28.0;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-27;12.53;;0.00;0.0;0;;65;52;280;280;21.9;25.9;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-28;7.61;;0.00;0.0;0;;74;49;260;260;21.0;25.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-29;9.17;;0.00;0.0;0;;68;50;270;250;23.0;33.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-30;17.00;;0.00;0.0;0;;66;55;290;280;29.1;46.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-03-31;10.51;;0.00;0.0;0;;76;53;10;360;23.0;29.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-01;6.49;;0.00;0.0;0;;76;49;280;280;17.0;19.9;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-02;7.61;;0.00;0.0;0;;74;52;280;270;19.9;21.9;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-03;8.05;;0.00;0.0;0;;70;48;280;280;21.0;23.9;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-04;7.61;;0.00;0.0;0;;70;51;290;240;18.1;23.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-05;5.14;;0.00;0.0;0;;74;52;280;280;18.1;21.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-06;16.11;;0.92;0.0;0;;67;50;150;160;51.0;62.0;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-07;13.42;;0.52;0.0;0;;65;50;280;220;29.1;36.9;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-08;13.20;;0.09;0.0;0;;59;46;270;270;30.0;34.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-09;6.71;;0.00;0.0;0;;62;42;280;310;18.1;21.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-10;7.16;;0.00;0.0;0;;67;46;270;270;17.0;19.9;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-11;10.74;;0.01;0.0;0;;67;55;200;190;25.1;31.1;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-12;14.09;;0.31;0.0;0;;67;55;150;160;25.9;32.0;1;;;1
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-13;17.00;;0.01;0.0;0;;62;52;280;280;25.9;33.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-14;10.07;;0.00;0.0;0;;65;44;280;270;21.9;28.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-15;5.82;;0.00;0.0;0;;67;45;310;310;16.1;19.9;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-16;8.28;;0.23;0.0;0;;62;51;140;150;25.1;30.0;1;;;1
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-17;4.47;;0.10;0.0;0;;65;55;280;280;12.1;13.0;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-18;7.61;;0.03;0.0;0;;68;56;280;270;19.9;21.9;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-19;7.61;;0.23;0.0;0;;69;55;270;270;16.1;19.0;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-20;8.95;;0.01;0.0;0;;69;54;280;270;21.9;23.9;1;;;1
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-21;5.82;;0.00;0.0;0;;75;51;270;270;16.1;19.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-22;8.72;;0.00;0.0;0;;67;49;280;270;23.9;27.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-23;18.12;;0.00;0.0;0;;67;54;280;280;28.0;33.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-24;15.43;;0.00;0.0;0;;65;55;280;280;25.1;30.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-25;12.97;;0.00;0.0;0;;66;56;260;270;23.0;28.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-26;12.75;;0.00;0.0;0;;66;54;280;280;25.9;30.0;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-27;9.17;;0.00;0.0;0;;69;51;280;290;21.0;23.9;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-28;9.84;;0.00;0.0;0;;73;49;260;260;21.9;25.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-29;9.40;;0.00;0.0;0;;79;53;290;250;19.9;23.9;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-04-30;6.71;;0.00;0.0;0;;77;52;270;270;18.1;21.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-01;7.16;;0.00;0.0;0;;87;54;270;260;19.9;23.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-02;6.93;;0.00;0.0;0;;85;57;280;280;18.1;21.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-03;6.71;;0.00;0.0;0;;90;58;300;300;15.0;18.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-04;12.53;;0.00;0.0;0;;68;56;290;290;23.9;28.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-05;16.55;;0.00;0.0;0;;69;54;280;260;29.1;35.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-06;10.96;;0.00;0.0;0;;66;52;290;290;21.9;25.9;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-07;9.17;;0.00;0.0;0;;73;54;260;250;21.0;23.9;;;;1
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-08;7.16;;0.00;0.0;0;;73;51;290;290;18.1;21.9;1;;;1
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-09;7.61;;0.00;0.0;0;;77;52;290;290;21.9;25.1;1;;;1
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-10;14.32;;0.00;0.0;0;;66;54;290;270;19.9;25.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-11;12.30;;0.00;0.0;0;;68;54;270;260;19.9;25.9;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-12;18.34;;0.00;0.0;0;;67;54;280;280;31.1;36.9;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-13;13.20;;0.00;0.0;0;;67;51;280;280;25.1;28.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-14;8.50;;0.00;0.0;0;;65;47;260;270;18.1;21.9;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-15;12.30;;0.00;0.0;0;;66;53;260;260;23.9;27.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-16;17.90;;0.00;0.0;0;;65;53;270;270;25.9;31.1;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-17;10.96;;0.00;0.0;0;;69;52;280;270;25.1;27.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-18;6.71;;0.00;0.0;0;;76;50;280;280;23.0;28.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-19;6.26;;0.00;0.0;0;;83;53;290;290;16.1;19.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-20;6.93;;0.00;0.0;0;;85;56;310;310;17.0;21.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-21;9.40;;0.00;0.0;0;;82;56;290;290;19.9;21.9;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-22;9.17;;0.00;0.0;0;;73;54;300;290;17.0;21.0;1;;;1
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-23;10.96;;0.00;0.0;0;;70;55;290;290;21.9;25.9;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-24;10.74;;0.00;0.0;0;;68;55;220;220;21.0;25.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-25;17.67;;0.00;0.0;0;;66;57;220;220;28.0;33.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-26;12.30;;0.00;0.0;0;;66;56;230;220;19.9;25.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-27;11.63;;0.00;0.0;0;;68;56;270;260;19.9;25.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-28;12.30;;0.00;0.0;0;;65;55;270;270;21.0;25.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-29;13.42;;0.00;0.0;0;;63;55;270;250;23.9;30.0;1;;;1
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-30;14.99;;0.00;0.0;0;;63;55;270;270;23.0;25.9;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-05-31;10.96;;0.00;0.0;0;;71;56;270;270;21.0;25.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-06-01;9.40;;0.00;0.0;0;;69;57;260;270;23.9;28.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-06-02;10.29;;0.00;0.0;0;;74;55;270;270;19.9;21.9;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-06-03;9.62;;0.00;0.0;0;;69;55;260;260;19.9;23.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-06-04;9.84;;0.00;0.0;0;;69;53;270;270;21.9;27.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-06-05;10.29;;0.00;0.0;0;;74;51;280;270;19.9;23.0;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-06-06;9.84;;0.00;0.0;0;;67;54;280;280;19.9;23.9;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-06-07;10.29;;0.00;0.0;0;;68;56;280;290;21.0;23.0;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-06-08;9.17;;0.03;0.0;0;;69;61;220;220;21.9;27.1;1;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-06-09;15.21;;0.00;0.0;0;;69;58;270;240;25.9;31.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-06-10;17.22;;0.00;0.0;0;;70;56;280;260;29.1;33.1;;;;
USW00023230;OAKLAND METROPOLITAN INTERNATIONAL AIRPORT, CA US;2017-06-11;18.57;;0.00;0.0;0;;68;54;280;280;33.1;40.0;;;;
