Station;Name;Date;Average wind speed;Peak gust time;Precipitation;Snowfall;Snow depth;Average Temperature;Maximum temperature;Minimum temperature;Direction of fastest 2-minute wind;Direction of fastest 5-second wind;Fastest 2-minute wind speed;Fastest 5-second wind speed; Fog or ice fog;Heavy fog or heaving freezing fog;Thunder;Smoke or haze
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-01-20;10.74;;1.11;;0;;58;48;110;110;35.1;45.0;1;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-01-21;6.71;;0.00;0.0;0;;59;41;150;280;15.0;19.0;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-01-22;13.20;;1.57;;0;;53;47;110;130;29.1;36.9;1;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-01-23;5.14;;0.14;;0;;53;41;250;260;16.1;21.0;1;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-01-24;3.36;;0.00;0.0;0;;55;36;220;130;13.0;16.1;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-01-25;3.13;;0.00;0.0;0;;58;36;200;200;13.0;15.0;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-01-26;4.03;;0.00;0.0;0;;63;36;360;350;25.9;35.1;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-01-27;12.53;;0.00;0.0;0;;64;46;40;50;32.0;42.9;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-01-28;3.80;;0.00;0.0;0;;72;45;;;;;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-01-29;2.46;;0.00;;0;;79;41;140;110;13.0;17.0;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-01-30;2.68;;0.00;0.0;0;;79;46;200;210;8.9;15.0;;;;1
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-01-31;2.68;;0.00;0.0;0;;74;46;170;150;10.1;14.1;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-01;4.47;;0.00;0.0;0;;70;43;200;;13.0;;1;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-02;3.58;;0.00;;0;;65;48;150;;12.1;;1;;;1
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-03;5.14;;0.23;0.0;0;;60;52;140;130;13.0;19.9;1;;;1
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-04;3.80;;0.00;0.0;0;;63;49;220;350;10.1;16.1;1;;;1
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-05;4.92;;0.00;0.0;0;;56;46;150;90;12.1;16.1;1;1;;1
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-06;10.96;;0.34;0.0;0;;60;50;150;150;19.9;27.1;1;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-07;6.93;;0.05;0.0;0;;61;55;120;110;12.1;19.9;1;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-08;2.68;;0.02;0.0;0;;73;57;230;260;13.0;25.1;1;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-09;3.58;;0.00;0.0;0;;78;54;160;100;8.9;13.0;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-10;4.47;;0.32;0.0;0;;63;56;130;150;10.1;13.0;1;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-11;4.25;;0.07;0.0;0;;63;53;150;170;17.0;21.0;1;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-12;8.50;;0.00;0.0;0;;74;48;10;10;28.0;33.1;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-13;4.92;;0.00;0.0;0;;75;54;160;160;12.1;16.1;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-14;2.91;;0.00;0.0;0;;72;51;160;220;13.0;15.0;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-15;3.58;;0.00;0.0;0;;79;47;220;240;15.0;21.0;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-16;4.03;;0.00;0.0;0;;70;50;120;90;13.0;18.1;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-17;17.67;;2.05;;0;;57;51;140;120;29.1;45.0;1;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-18;5.59;;0.15;;0;;59;48;130;;15.0;;1;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-19;6.04;;0.07;;0;;60;47;140;110;14.1;18.1;1;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-20;8.05;;0.01;0.0;0;;60;50;150;110;16.1;23.0;1;1;;1
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-21;2.46;;0.05;0.0;0;;64;52;210;230;10.1;14.1;1;;;1
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-22;6.71;;0.00;0.0;0;;62;47;350;340;23.9;31.1;1;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-23;13.65;;0.00;0.0;0;;57;46;330;310;21.9;28.0;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-24;3.80;;0.00;;0;;62;37;200;230;13.0;18.1;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-25;4.47;;0.00;;0;;60;37;150;90;14.1;18.1;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-26;7.38;;0.09;;0;;57;45;140;140;15.0;19.9;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-27;4.25;;0.00;;0;;59;48;110;130;12.1;16.1;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-02-28;5.82;;0.00;0.0;0;;62;44;190;320;14.1;17.0;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-03-01;3.36;;0.00;0.0;0;;72;43;200;240;10.1;19.0;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-03-02;2.91;;0.00;;0;;79;43;210;100;10.1;14.1;;;;1
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-03-03;3.36;;0.00;0.0;0;;80;46;200;140;13.0;18.1;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-03-04;4.92;;0.00;0.0;0;;68;47;140;140;16.1;21.0;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-03-05;7.61;;0.03;;0;;59;43;250;250;16.1;21.9;1;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-03-06;8.95;;0.00;0.0;0;;66;42;330;330;18.1;25.1;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-03-07;3.80;;0.00;0.0;0;;77;43;150;130;12.1;14.1;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-03-08;3.58;;0.00;0.0;0;;84;50;170;180;12.1;14.1;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-03-09;2.91;;0.00;0.0;0;;87;54;180;180;12.1;14.1;;;;
USW00023152;BURBANK GLENDALE PASADENA AIRPORT, CA US;2017-03-10;2.24;;0.00;0.0;0;;83;54;190;170;10.1;15.0;;;;
