Station;Name;Date;Average wind speed;Peak gust time;Precipitation;Snowfall;Snow depth;Average Temperature;Maximum temperature;Minimum temperature;Direction of fastest 2-minute wind;Direction of fastest 5-second wind;Fastest 2-minute wind speed;Fastest 5-second wind speed; Fog or ice fog;Heavy fog or heaving freezing fog;Thunder;Smoke or haze
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-01-20;12.30;;0.58;0.0;0;50;54;42;120;120;25.1;33.1;1;;1;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-01-21;7.61;;0.08;0.0;0;47;54;41;130;130;14.1;17.0;;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-01-22;8.95;;0.40;0.0;0;51;56;47;120;90;18.1;23.0;1;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-01-23;5.59;;0.10;0.0;0;48;52;39;300;310;18.1;25.1;1;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-01-24;4.03;;0.00;0.0;0;43;53;34;290;310;14.1;17.0;1;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-01-25;2.68;;0.00;0.0;0;42;53;32;160;150;8.9;12.1;1;1;;1
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-01-26;2.46;;0.00;0.0;0;43;54;34;310;360;8.9;13.0;1;;;1
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-01-27;1.79;;0.00;0.0;0;45;58;35;40;200;6.9;8.9;1;;;1
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-01-28;1.12;;0.00;0.0;0;45;60;33;30;130;6.0;10.1;1;;;1
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-01-29;2.01;;0.00;0.0;0;47;61;34;320;330;8.9;12.1;1;;;1
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-01-30;2.68;;0.00;0.0;0;48;63;36;250;250;8.1;10.1;1;;;1
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-01-31;1.57;;0.00;0.0;0;49;65;38;80;120;6.9;8.9;1;;;1
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-01;2.91;;0.00;0.0;0;53;66;42;130;120;8.9;11.0;1;;;1
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-02;4.47;;0.04;0.0;0;57;63;50;90;90;18.1;23.9;;;;1
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-03;10.07;;0.13;0.0;0;59;65;51;160;160;21.0;27.1;1;;1;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-04;3.80;;0.00;0.0;0;55;65;47;130;120;12.1;14.1;;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-05;7.83;;0.13;0.0;0;53;60;46;140;150;19.9;21.9;1;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-06;9.62;;0.10;0.0;0;55;58;52;120;120;19.9;23.0;1;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-07;12.30;;0.07;0.0;0;58;68;53;160;160;21.9;29.1;1;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-08;7.16;;0.00;0.0;0;62;69;59;120;60;13.0;16.1;;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-09;6.26;;0.05;0.0;0;62;62;57;330;310;14.1;17.0;1;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-10;7.38;;0.53;0.0;0;59;60;53;80;80;21.0;25.1;1;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-11;7.83;;0.00;0.0;0;52;55;45;300;300;21.0;25.1;;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-12;3.80;;0.00;0.0;0;51;61;43;150;150;8.9;12.1;1;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-13;2.24;;0.00;0.0;0;51;64;42;290;310;8.9;11.0;;;;1
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-14;2.01;;0.00;0.0;0;55;68;43;270;330;8.1;8.9;1;1;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-15;4.03;;0.00;0.0;0;58;73;46;80;80;8.9;12.1;1;;;1
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-16;8.28;;0.12;0.0;0;58;60;51;170;150;16.1;21.0;;;;1
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-17;11.41;;0.73;0.0;0;54;57;51;150;150;23.9;28.0;1;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-18;8.50;;0.00;0.0;0;56;64;49;310;310;21.0;23.9;;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-19;9.17;;0.08;0.0;0;53;59;48;310;320;19.9;23.0;1;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-20;11.63;;0.48;0.0;0;55;62;51;150;110;23.0;29.1;1;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-21;10.29;;0.06;0.0;0;60;68;53;200;170;19.9;23.9;1;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-22;12.30;;0.00;0.0;0;54;57;45;300;280;23.0;30.0;;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-23;8.05;;0.00;0.0;0;46;55;36;310;270;18.1;23.9;;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-24;2.68;;0.00;0.0;0;44;57;31;50;130;8.1;10.1;;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-25;2.91;;0.00;0.0;0;45;56;34;230;230;10.1;12.1;;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-26;3.36;;0.00;0.0;0;47;58;36;210;110;8.1;12.1;;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-27;7.16;;0.00;0.0;0;51;58;42;310;300;16.1;25.1;;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-02-28;6.26;;0.00;0.0;0;47;59;35;310;320;14.1;17.0;;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-03-01;2.46;;0.00;0.0;0;49;64;36;350;50;8.9;12.1;;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-03-02;2.68;;0.00;0.0;0;52;67;38;310;320;13.0;15.0;;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-03-03;2.91;;0.00;0.0;0;54;70;41;110;120;8.1;8.9;1;;;1
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-03-04;3.80;;0.00;0.0;0;56;69;45;210;170;12.1;15.0;;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-03-05;8.95;;0.29;0.0;0;52;53;38;300;310;28.0;35.1;1;;;
USW00093193;FRESNO YOSEMITE INTERNATIONAL, CA US;2017-03-06;4.47;;0.00;0.0;0;44;59;34;310;300;14.1;17.0;;;;
