Station;Name;Date;Average wind speed;Peak gust time;Precipitation;Snowfall;Snow depth;Average Temperature;Maximum temperature;Minimum temperature;Direction of fastest 2-minute wind;Direction of fastest 5-second wind;Fastest 2-minute wind speed;Fastest 5-second wind speed; Fog or ice fog;Heavy fog or heaving freezing fog;Thunder;Smoke or haze
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-01-20;17.22;;1.35;0.0;0;55;59;52;270;270;36.0;40.9;1;1;;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-01-21;12.30;;0.00;0.0;0;54;59;48;280;280;29.1;34.0;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-01-22;11.41;;2.94;0.0;0;53;57;50;80;70;23.0;30.0;1;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-01-23;14.54;;0.15;;0;54;56;47;270;260;29.1;33.1;1;;1;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-01-24;5.14;;0.00;0.0;0;49;55;40;270;280;14.1;19.0;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-01-25;6.26;;0.00;0.0;0;50;58;42;250;290;15.0;21.0;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-01-26;5.82;;0.00;0.0;0;51;62;42;260;270;16.1;18.1;;;;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-01-27;5.59;;0.00;0.0;0;54;61;44;220;210;17.0;21.9;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-01-28;4.03;;0.00;0.0;0;54;70;41;270;280;14.1;16.1;;;;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-01-29;3.80;;0.00;0.0;0;59;76;46;260;300;12.1;15.0;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-01-30;5.82;;0.00;0.0;0;63;76;51;270;340;13.0;16.1;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-01-31;4.92;;0.00;0.0;0;60;71;50;240;240;14.1;16.1;;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-02-01;5.59;;0.00;0.0;0;56;68;47;270;270;16.1;18.1;1;1;;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-02-02;6.04;;0.00;0.0;0;56;64;50;250;290;13.0;21.0;1;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-02-03;5.14;;0.33;0.0;0;57;61;54;100;100;13.0;15.0;1;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-02-04;8.50;;0.00;0.0;0;58;61;54;270;270;19.9;21.9;1;1;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-02-05;4.92;;0.00;0.0;0;56;59;55;110;280;13.0;18.1;1;;;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-02-06;8.50;;0.97;0.0;0;55;60;53;90;100;18.1;23.9;1;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-02-07;7.61;;0.39;0.0;0;59;62;58;260;260;18.1;23.9;1;;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-02-08;4.92;;0.03;0.0;0;61;66;58;260;240;13.0;15.0;1;1;;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-02-09;6.71;;0.00;0.0;0;59;64;56;250;240;15.0;19.0;1;1;;
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-02-10;4.47;;0.26;0.0;0;59;63;56;280;280;16.1;23.9;1;;;1
USW00023174;LOS ANGELES INTERNATIONAL AIRPORT, CA US;2017-02-11;8.28;;0.03;0.0;0;59;61;54;260;250;16.1;19.0;1;;;
