Station;Name;Date;Average wind speed;Peak gust time;Precipitation;Snowfall;Snow depth;Average Temperature;Maximum temperature;Minimum temperature;Direction of fastest 2-minute wind;Direction of fastest 5-second wind;Fastest 2-minute wind speed;Fastest 5-second wind speed; Fog or ice fog;Heavy fog or heaving freezing fog;Thunder;Smoke or haze
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-01-20;19.01;724;0.69;;;;54;46;150;140;40.0;52.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-01-21;15.43;2358;0.28;;;;54;45;150;150;25.9;36.9;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-01-22;17.00;427;0.71;;;;56;44;150;150;38.9;53.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-01-23;8.95;1514;0.01;;;;52;41;200;190;16.1;19.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-01-24;6.93;1646;0.00;;;;53;34;340;230;17.0;25.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-01-25;4.03;1245;0.00;;;;52;32;210;320;10.1;17.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-01-26;8.95;837;0.00;;;;55;37;320;330;17.0;25.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-01-27;4.92;9;0.00;;;;56;37;320;320;17.0;19.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-01-28;3.80;344;0.00;;;;57;33;310;310;12.1;12.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-01-29;2.68;1112;0.00;;;;58;32;310;310;8.9;10.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-01-30;1.57;1334;0.00;;;;59;31;320;320;6.9;13.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-01-31;2.68;1120;0.00;;;;56;33;330;230;8.1;11.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-01;4.25;1217;0.00;;;;52;39;40;310;13.0;15.0;;1;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-02;8.95;1252;0.30;;;;62;45;150;140;21.0;25.9;1;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-03;16.11;1049;1.20;;;;60;54;190;190;28.0;32.0;1;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-04;8.95;1207;0.00;;;;60;49;190;180;18.1;21.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-05;10.51;2352;0.40;;;;61;47;160;150;25.9;35.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-06;17.67;2351;0.54;;;;58;53;160;150;31.1;38.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-07;17.45;311;0.49;;;;63;53;150;160;40.9;53.9;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-08;10.07;931;0.25;;;;63;56;170;160;18.1;23.9;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-09;11.86;1519;0.38;;;;63;56;210;170;21.0;30.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-10;8.28;316;0.02;;;;62;51;200;200;14.1;17.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-11;13.42;1323;0.00;;;;61;46;320;320;23.0;29.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-12;6.49;1055;0.00;;;;63;40;320;330;35.1;51.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-13;3.80;554;0.00;;;;59;40;80;80;10.1;12.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-14;3.36;1931;0.00;;;;64;41;100;100;13.0;14.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-15;4.92;2342;0.00;;;;61;44;160;170;12.1;15.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-16;10.96;736;0.21;;;;64;51;190;150;21.0;25.9;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-17;15.43;1410;1.04;;;;59;52;150;150;40.9;51.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-18;9.62;1;0.05;;;;59;48;180;160;15.0;19.9;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-19;14.76;2318;0.20;;;;54;47;150;140;29.1;38.9;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-20;18.12;314;1.32;;;;58;52;150;150;31.1;40.9;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-21;11.86;47;0.10;;;;60;47;180;180;25.9;33.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-22;6.71;1608;0.00;;;;56;38;270;280;28.0;36.9;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-23;4.25;1245;0.00;;;;52;32;350;290;10.1;17.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-24;4.70;1639;0.00;;;;52;31;190;140;12.1;17.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-25;6.71;1503;0.00;;;;54;37;330;360;14.1;17.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-26;9.84;1511;0.00;;;;58;34;200;190;23.9;29.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-27;4.25;847;0.00;;;;55;36;330;320;12.1;13.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-02-28;4.92;1316;0.00;;;;58;33;350;330;12.1;15.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-01;3.80;1327;0.00;;;;62;35;320;340;10.1;15.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-02;2.91;1127;0.00;;;;65;34;320;320;8.1;10.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-03;4.03;207;0.00;;;;63;37;190;90;14.1;31.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-04;15.66;1837;0.24;;;;61;46;200;180;30.0;36.9;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-05;12.75;1242;0.01;;;;51;41;270;280;30.0;36.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-06;11.18;1305;0.02;;;;54;42;170;150;19.9;23.9;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-07;3.80;1550;0.00;;;;57;37;300;300;10.1;12.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-08;5.37;1356;0.00;;;;67;40;320;340;14.1;17.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-09;1.79;1027;0.00;;;;71;40;320;220;6.9;11.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-10;4.25;115;0.00;;;;71;50;340;330;8.9;19.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-11;4.03;1421;0.00;;;;72;43;210;190;8.9;13.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-12;6.04;942;0.00;;;;75;49;330;320;15.0;17.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-13;2.46;1610;0.00;;;;75;42;330;330;8.9;16.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-14;3.36;1026;0.00;;;;77;45;350;350;8.9;12.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-15;9.17;823;0.00;;;;69;54;200;180;17.0;21.9;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-16;4.92;138;0.00;;;;72;51;150;150;10.1;13.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-17;3.80;2117;0.00;;;;75;44;150;180;8.1;11.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-18;9.17;1257;0.00;;;;69;57;200;190;18.1;21.9;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-19;5.37;813;0.00;;;;71;54;230;240;10.1;13.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-20;8.50;1038;0.53;;;;67;51;190;190;16.1;19.9;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-21;14.32;302;0.66;;;;67;53;200;160;25.1;34.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-22;8.50;1505;0.99;;;;62;46;110;120;16.1;21.9;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-23;5.82;1548;0.00;;;;62;39;190;160;15.0;19.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-24;12.08;1839;0.29;;;;55;51;140;160;23.0;30.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-25;5.82;1156;0.00;;;;64;50;290;260;10.1;13.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-26;9.84;1655;0.05;;;;64;48;190;190;19.9;23.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-27;8.28;1540;0.00;;;;64;45;340;330;16.1;19.9;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-28;15.43;1222;0.00;;;;72;49;340;340;29.1;36.9;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-29;5.37;2346;0.00;;;;76;46;340;170;13.0;14.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-30;15.88;1729;0.00;;;;66;51;330;310;25.9;34.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-03-31;20.36;858;0.00;;;;71;50;340;330;33.1;42.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-01;7.38;3;0.00;;;;76;44;350;360;17.0;23.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-02;7.38;1447;0.00;;;;80;47;330;340;16.1;19.9;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-03;10.51;1435;0.00;;;;73;51;330;330;21.9;27.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-04;5.37;1402;0.00;;;;73;50;150;220;10.1;14.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-05;7.61;1444;0.00;;;;72;53;170;170;13.0;16.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-06;9.17;1806;0.94;;;;60;51;180;190;29.1;38.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-07;14.76;357;0.80;;;;61;48;150;160;25.1;35.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-08;6.71;133;0.24;;;;57;42;200;210;16.1;19.9;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-09;4.92;1610;0.00;;;;61;37;200;170;13.0;15.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-10;4.92;302;0.00;;;;67;43;140;130;12.1;14.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-11;7.38;1317;0.02;;;;68;53;190;190;23.0;29.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-12;13.65;2122;0.07;;;;67;52;230;220;25.9;34.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-13;10.74;1353;0.35;;;;62;45;220;220;21.9;25.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-14;8.72;1200;0.00;;;;64;38;340;330;17.0;21.9;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-15;3.36;1512;0.00;;;;68;40;330;300;8.1;11.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-16;6.49;1728;0.42;;;;58;47;160;150;18.1;23.9;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-17;5.37;1643;0.11;;;;62;54;150;140;12.1;14.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-18;6.71;1709;0.01;;;;69;53;190;190;15.0;18.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-19;10.07;1613;0.15;;;;68;48;190;200;18.1;23.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-20;7.61;1545;0.00;;;;69;52;330;330;13.0;17.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-21;6.93;1142;0.00;;;;79;48;320;300;13.0;16.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-22;8.72;538;0.00;;;;70;51;180;160;15.0;21.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-23;8.50;1644;0.00;;;;71;49;170;170;18.1;23.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-24;10.51;1434;0.00;;;;67;53;200;190;21.0;25.9;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-25;5.14;1704;0.00;;;;71;49;170;170;15.0;18.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-26;12.30;1113;0.00;;;;72;55;180;160;23.0;28.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-27;7.61;1129;0.00;;;;75;51;350;340;17.0;23.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-28;16.55;1257;0.00;;;;72;51;330;320;25.9;34.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-29;8.50;1102;0.00;;;;80;46;340;350;19.9;25.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-04-30;4.92;1358;0.00;;;;84;44;190;310;10.1;14.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-05-01;12.30;1333;0.00;;;;88;56;320;320;23.9;30.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-05-02;12.08;924;0.00;;;;90;62;320;320;23.0;32.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-05-03;4.92;235;0.00;;;;94;62;330;330;13.0;17.0;;;;1
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-05-04;9.40;2250;0.00;;;;89;57;180;180;17.0;21.9;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-05-05;12.30;1704;0.00;;;;83;53;200;200;21.0;25.1;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-05-06;6.49;13;0.00;;;;69;49;150;170;14.1;17.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-05-07;9.84;240;0.00;;;;74;57;340;330;25.1;32.0;;;;
USW00093225;SACRAMENTO METROPOLITAN AIRPORT, CA US;2017-05-08;4.70;2049;0.00;;;;86;49;170;170;13.0;15.0;1;;;
