Station;Name;Date;Average wind speed;Peak gust time;Precipitation;Snowfall;Snow depth;Average Temperature;Maximum temperature;Minimum temperature;Direction of fastest 2-minute wind;Direction of fastest 5-second wind;Fastest 2-minute wind speed;Fastest 5-second wind speed; Fog or ice fog;Heavy fog or heaving freezing fog;Thunder;Smoke or haze
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-01-12;6.26;;0.30;0.0;0;49;52;45;290;330;16.1;21.0;1;;;
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-01-13;4.70;;0.00;0.0;0;48;57;40;280;280;14.1;16.1;;;;1
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-01-14;4.92;;0.00;0.0;0;48;58;40;280;280;17.0;19.9;;;;
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-01-15;2.68;;0.00;0.0;0;48;52;41;360;30;8.1;10.1;1;;;1
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-01-16;7.83;;0.00;0.0;0;48;54;44;70;70;16.1;17.0;;;;1
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-01-17;4.03;;0.00;0.0;0;47;52;41;110;100;15.0;17.0;1;;;1
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-01-18;12.75;;0.90;;0;50;55;49;200;200;38.9;51.0;1;;;
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-01-19;11.63;;0.05;0.0;0;54;58;51;230;230;21.9;25.9;;;1;1
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-01-20;12.97;;1.19;;0;52;56;43;270;260;38.0;49.0;1;;1;1
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-01-21;12.75;;0.28;;0;52;56;48;140;150;31.1;38.0;;;;
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-01-22;11.63;;0.68;;0;53;57;47;150;200;33.1;45.0;1;;1;1
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-01-23;5.37;;0.32;;0;49;54;45;270;300;17.0;21.0;;;;
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-01-24;5.14;;0.00;0.0;0;47;54;41;290;300;15.0;17.0;;;;
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-01-25;5.37;;0.00;0.0;0;48;56;41;280;270;15.0;17.0;;;;
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-01-26;3.80;;0.00;0.0;0;49;56;43;290;280;13.0;14.1;;;;1
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-01-27;4.92;;0.00;0.0;0;50;58;41;280;260;14.1;17.0;;;;
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-01-28;3.36;;0.00;0.0;0;49;59;41;140;80;10.1;12.1;;;;
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-01-29;3.13;;0.00;0.0;0;50;60;41;20;140;8.1;8.9;;;;1
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-01-30;2.24;;0.00;0.0;0;50;60;42;360;10;8.1;12.1;;;;
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-01-31;1.12;;0.00;0.0;0;50;59;42;190;170;6.9;8.9;1;;;1
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-02-01;5.82;;0.01;;0;52;56;47;30;30;19.9;21.0;1;;;1
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-02-02;10.29;;0.15;0.0;0;55;62;51;130;180;21.0;25.1;1;;;1
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-02-03;14.54;;0.44;0.0;0;59;61;55;190;200;33.1;42.9;1;;;1
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-02-04;8.50;;0.18;0.0;0;57;61;53;210;280;14.1;17.0;1;;;
USW00023234;SAN FRANCISCO INTERNATIONAL AIRPORT, CA US;2017-02-05;11.41;;0.16;0.0;0;55;61;50;170;160;33.1;42.9;;;;
