Station;Name;Date;Average wind speed;Peak gust time;Precipitation;Snowfall;Snow depth;Average Temperature;Maximum temperature;Minimum temperature;Direction of fastest 2-minute wind;Direction of fastest 5-second wind;Fastest 2-minute wind speed;Fastest 5-second wind speed; Fog or ice fog;Heavy fog or heaving freezing fog;Thunder;Smoke or haze
USW00023293;SAN JOSE, CA US;2017-01-20;10.74;;0.89;;;;55;45;110;110;31.1;40.0;1;;1;
USW00023293;SAN JOSE, CA US;2017-01-21;11.63;;0.06;;;;56;43;120;110;38.0;50.1;1;;;
USW00023293;SAN JOSE, CA US;2017-01-22;13.87;;0.65;;;;57;47;120;120;36.9;46.1;1;;;1
USW00023293;SAN JOSE, CA US;2017-01-23;5.37;;0.22;;;;52;41;110;50;12.1;23.9;1;;1;
USW00023293;SAN JOSE, CA US;2017-01-24;5.14;;0.00;;;;56;38;320;330;18.1;23.0;;;;
USW00023293;SAN JOSE, CA US;2017-01-25;5.14;;0.00;;;;57;35;300;330;13.0;15.0;;;;
USW00023293;SAN JOSE, CA US;2017-01-26;3.58;;0.00;;;;57;38;300;300;15.0;17.0;;;;
USW00023293;SAN JOSE, CA US;2017-01-27;3.36;;0.00;;;;60;36;290;290;13.0;16.1;;;;
USW00023293;SAN JOSE, CA US;2017-01-28;2.46;;0.00;;;;64;34;300;180;8.9;14.1;1;;;1
USW00023293;SAN JOSE, CA US;2017-01-29;1.79;;0.00;;;;64;37;340;;4.9;;;;;
USW00023293;SAN JOSE, CA US;2017-01-30;1.79;;0.00;;;;65;38;320;300;6.9;8.9;;;;
USW00023293;SAN JOSE, CA US;2017-01-31;2.01;;0.00;;;;64;38;310;310;8.9;11.0;;;;
USW00023293;SAN JOSE, CA US;2017-02-01;8.05;;0.03;;;;62;44;180;100;23.9;32.0;;;;
USW00023293;SAN JOSE, CA US;2017-02-02;14.09;;0.22;;;;64;51;120;90;23.9;33.1;1;;;
USW00023293;SAN JOSE, CA US;2017-02-03;10.29;;0.20;;;;64;56;150;130;17.0;23.9;1;;;
USW00023293;SAN JOSE, CA US;2017-02-04;6.49;;0.00;;;;63;49;190;110;14.1;17.0;;;;
USW00023293;SAN JOSE, CA US;2017-02-05;9.84;;0.19;;;;59;49;110;120;25.9;33.1;1;;;
USW00023293;SAN JOSE, CA US;2017-02-06;10.51;;0.19;;;;62;54;120;110;23.0;29.1;1;;;
USW00023293;SAN JOSE, CA US;2017-02-07;8.28;;0.35;;;;67;55;130;130;23.9;35.1;1;;;1
USW00023293;SAN JOSE, CA US;2017-02-08;8.28;;0.06;;;;66;59;150;100;17.0;25.9;;;;
USW00023293;SAN JOSE, CA US;2017-02-09;9.84;;0.53;;;;64;58;130;120;25.9;36.9;1;;;1
USW00023293;SAN JOSE, CA US;2017-02-10;6.04;;0.06;;;;63;50;300;310;18.1;21.9;1;;;
USW00023293;SAN JOSE, CA US;2017-02-11;7.61;;0.00;;;;60;46;290;300;16.1;23.0;;;;
USW00023293;SAN JOSE, CA US;2017-02-12;5.14;;0.00;;;;65;41;280;270;15.0;18.1;;;;
USW00023293;SAN JOSE, CA US;2017-02-13;3.13;;0.00;;;;63;41;270;350;8.1;12.1;1;1;;1
USW00023293;SAN JOSE, CA US;2017-02-14;2.68;;0.00;;;;70;45;300;310;10.1;13.0;;;;
USW00023293;SAN JOSE, CA US;2017-02-15;6.04;;0.00;;;;71;49;180;170;21.9;28.0;;;;
USW00023293;SAN JOSE, CA US;2017-02-16;9.17;;0.08;;;;66;54;150;160;23.9;35.1;;;;1
USW00023293;SAN JOSE, CA US;2017-02-17;15.21;;0.95;;;;59;53;120;130;44.1;55.9;1;;;
USW00023293;SAN JOSE, CA US;2017-02-18;11.18;;0.13;;;;56;47;270;270;23.0;29.1;1;;;
USW00023293;SAN JOSE, CA US;2017-02-19;13.42;;0.01;;;;56;48;120;110;29.1;36.9;;;;
USW00023293;SAN JOSE, CA US;2017-02-20;10.74;;1.87;;;;61;53;160;150;31.1;42.1;1;;;
USW00023293;SAN JOSE, CA US;2017-02-21;6.04;;0.33;;;;61;48;180;180;18.1;21.9;1;;;
USW00023293;SAN JOSE, CA US;2017-02-22;10.07;;0.00;;;;56;42;310;330;23.9;28.0;;;;
USW00023293;SAN JOSE, CA US;2017-02-23;6.93;;0.00;;;;54;38;270;300;17.0;21.9;;;;
USW00023293;SAN JOSE, CA US;2017-02-24;6.04;;0.00;;;;56;35;310;310;15.0;19.0;;;;
USW00023293;SAN JOSE, CA US;2017-02-25;5.14;;0.00;;;;59;36;270;300;17.0;21.9;;;;
USW00023293;SAN JOSE, CA US;2017-02-26;5.59;;0.03;;;;59;38;270;310;17.0;23.9;1;;;
USW00023293;SAN JOSE, CA US;2017-02-27;5.82;;0.04;;;;55;42;310;300;18.1;21.0;1;;;
USW00023293;SAN JOSE, CA US;2017-02-28;5.82;;0.00;;;;58;38;310;;15.0;;;;;
USW00023293;SAN JOSE, CA US;2017-03-01;4.47;;0.00;;;;64;37;290;300;15.0;18.1;;;;
USW00023293;SAN JOSE, CA US;2017-03-02;4.03;;0.00;;;;66;38;310;320;13.0;13.0;;;;
USW00023293;SAN JOSE, CA US;2017-03-03;4.92;;0.00;;;;67;40;320;330;14.1;18.1;;;;
USW00023293;SAN JOSE, CA US;2017-03-04;6.93;;0.18;;;;62;46;120;170;19.9;25.1;1;;;1
USW00023293;SAN JOSE, CA US;2017-03-05;8.05;;0.14;;;;53;40;300;300;28.0;34.0;1;;1;
USW00023293;SAN JOSE, CA US;2017-03-06;6.04;;0.03;;;;56;39;120;120;15.0;18.1;;;;1
USW00023293;SAN JOSE, CA US;2017-03-07;4.03;;0.00;;;;62;40;290;310;16.1;19.9;;;;
USW00023293;SAN JOSE, CA US;2017-03-08;5.59;;0.00;;;;67;44;310;310;16.1;19.9;;;;
USW00023293;SAN JOSE, CA US;2017-03-09;5.14;;0.00;;;;71;46;310;320;16.1;19.0;;;;
USW00023293;SAN JOSE, CA US;2017-03-10;3.58;;0.00;;;;72;52;300;300;13.0;15.0;;;;
USW00023293;SAN JOSE, CA US;2017-03-11;5.59;;0.00;;;;73;51;300;310;17.0;19.9;;;;
USW00023293;SAN JOSE, CA US;2017-03-12;4.47;;0.00;;;;75;50;310;330;15.0;19.0;1;1;;
USW00023293;SAN JOSE, CA US;2017-03-13;2.46;;0.00;;;;79;47;300;290;12.1;14.1;;;;
USW00023293;SAN JOSE, CA US;2017-03-14;4.25;;0.00;;;;81;53;290;320;15.0;18.1;;;;
USW00023293;SAN JOSE, CA US;2017-03-15;6.26;;0.00;;;;70;52;290;320;17.0;19.0;1;;;1
USW00023293;SAN JOSE, CA US;2017-03-16;5.37;;0.00;;;;69;53;310;320;19.9;23.9;;;;
USW00023293;SAN JOSE, CA US;2017-03-17;3.58;;0.00;;;;77;46;300;300;13.0;15.0;;;;
USW00023293;SAN JOSE, CA US;2017-03-18;5.14;;0.00;;;;73;51;300;310;15.0;19.0;;;;
USW00023293;SAN JOSE, CA US;2017-03-19;3.58;;0.00;;;;71;54;290;280;15.0;19.0;;;;
USW00023293;SAN JOSE, CA US;2017-03-20;12.97;;0.22;;;;64;53;110;110;25.1;33.1;1;;;
USW00023293;SAN JOSE, CA US;2017-03-21;10.51;;0.18;;;;69;56;100;100;21.9;30.0;1;;;1
USW00023293;SAN JOSE, CA US;2017-03-22;10.51;;0.33;;;;61;50;300;310;21.0;28.0;1;;;
USW00023293;SAN JOSE, CA US;2017-03-23;6.71;;0.00;;;;64;49;320;330;17.0;21.0;;;;
USW00023293;SAN JOSE, CA US;2017-03-24;10.74;;0.21;;;;59;53;110;100;23.0;30.0;1;;;1
USW00023293;SAN JOSE, CA US;2017-03-25;7.83;;0.10;;;;65;50;320;310;17.0;21.9;1;;;1
USW00023293;SAN JOSE, CA US;2017-03-26;5.82;;0.06;;;;64;49;170;170;18.1;21.9;1;;;
USW00023293;SAN JOSE, CA US;2017-03-27;10.07;;0.00;;;;63;50;280;300;21.9;29.1;;;;
USW00023293;SAN JOSE, CA US;2017-03-28;7.16;;0.00;;;;72;45;280;290;21.0;27.1;;;;
USW00023293;SAN JOSE, CA US;2017-03-29;6.04;;0.00;;;;72;47;310;300;23.0;28.0;;;;
USW00023293;SAN JOSE, CA US;2017-03-30;12.97;;0.01;;;;66;52;280;280;21.9;31.1;1;;;
USW00023293;SAN JOSE, CA US;2017-03-31;13.20;;0.00;;;;73;52;310;300;25.9;33.1;;;;1
USW00023293;SAN JOSE, CA US;2017-04-01;4.92;;0.00;;;;79;49;280;280;15.0;21.9;;;;
