Date;SBA;OAK;BUR;FAT;LAX;SMF;SAN;SFO;SJC
2017-01-20;;;;;;724;;;
2017-01-21;;;;;;2358;;;
2017-01-22;;;;;;427;;;
2017-01-23;;;;;;1514;;;
2017-01-24;;;;;;1646;;;
2017-01-25;;;;;;1245;;;
2017-01-26;;;;;;837;;;
2017-01-27;;;;;;9;;;
2017-01-28;;;;;;344;;;
2017-01-29;;;;;;1112;;;
2017-01-30;;;;;;1334;;;
2017-01-31;;;;;;1120;;;
2017-02-01;;;;;;1217;;;
2017-02-02;;;;;;1252;;;
2017-02-03;;;;;;1049;;;
2017-02-04;;;;;;1207;;;
2017-02-05;;;;;;2352;;;
2017-02-06;;;;;;2351;;;
2017-02-07;;;;;;311;;;
2017-02-08;;;;;;931;;;
2017-02-09;;;;;;1519;;;
2017-02-10;;;;;;316;;;
2017-02-11;;;;;;1323;;;
2017-02-12;;;;;;1055;;;
2017-02-13;;;;;;554;;;
2017-02-14;;;;;;1931;;;
2017-02-15;;;;;;2342;;;
2017-02-16;;;;;;736;;;
2017-02-17;;;;;;1410;;;
2017-02-18;;;;;;1;;;
2017-02-19;;;;;;2318;;;
2017-02-20;;;;;;314;;;
2017-02-21;;;;;;47;;;
2017-02-22;;;;;;1608;;;
2017-02-23;;;;;;1245;;;
2017-02-24;;;;;;1639;;;
2017-02-25;;;;;;1503;;;
2017-02-26;;;;;;1511;;;
2017-02-27;;;;;;847;;;
2017-02-28;;;;;;1316;;;
2017-03-01;;;;;;1327;;;
2017-03-02;;;;;;1127;;;
2017-03-03;;;;;;207;;;
2017-03-04;;;;;;1837;;;
2017-03-05;;;;;;1242;;;
2017-03-06;;;;;;1305;;;
2017-03-07;;;;;;1550;;;
2017-03-08;;;;;;1356;;;
2017-03-09;;;;;;1027;;;
2017-03-10;;;;;;115;;;
2017-03-11;;;;;;1421;;;
2017-03-12;;;;;;942;;;
2017-03-13;;;;;;1610;;;
2017-03-14;;;;;;1026;;;
2017-03-15;;;;;;823;;;
2017-03-16;;;;;;138;;;
2017-03-17;;;;;;2117;;;
2017-03-18;;;;;;1257;;;
2017-03-19;;;;;;813;;;
2017-03-20;;;;;;1038;;;
2017-03-21;;;;;;302;;;
2017-03-22;;;;;;1505;;;
2017-03-23;;;;;;1548;;;
2017-03-24;;;;;;1839;;;
2017-03-25;;;;;;1156;;;
2017-03-26;;;;;;1655;;;
2017-03-27;;;;;;1540;;;
2017-03-28;;;;;;1222;;;
2017-03-29;;;;;;2346;;;
2017-03-30;;;;;;1729;;;
2017-03-31;;;;;;858;;;
2017-04-01;;;;;;3;;;
2017-04-02;;;;;;1447;;;
2017-04-03;;;;;;1435;;;
2017-04-04;;;;;;1402;;;
2017-04-05;;;;;;1444;;;
2017-04-06;;;;;;1806;;;
2017-04-07;;;;;;357;;;
2017-04-08;;;;;;133;;;
2017-04-09;;;;;;1610;;;
2017-04-10;;;;;;302;;;
2017-04-11;;;;;;1317;;;
2017-04-12;;;;;;2122;;;
2017-04-13;;;;;;1353;;;
