Date;SBA;OAK;BUR;FAT;LAX;SMF;SAN;SFO;SJC
2017-01-20;2.67;1.01;1.11;0.58;1.35;0.69;1.11;0.30;0.89
2017-01-21;0.05;0.33;0.00;0.08;0.00;0.28;0.03;0.00;0.06
2017-01-22;1.40;0.56;1.57;0.40;2.94;0.71;0.35;0.00;0.65
2017-01-23;0.30;0.18;0.14;0.10;0.15;0.01;0.22;0.00;0.22
2017-01-24;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.00;0.00
2017-01-25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2017-01-26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.90;0.00
2017-01-27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.00
2017-01-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.19;0.00
2017-01-29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.28;0.00
2017-01-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.68;0.00
2017-01-31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.32;0.00
2017-02-01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03
2017-02-02;0.17;0.10;0.00;0.04;0.00;0.30;0.00;0.00;0.22
2017-02-03;0.28;0.42;0.23;0.13;0.33;1.20;0.00;0.00;0.20
2017-02-04;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2017-02-05;0.35;0.12;0.00;0.13;0.00;0.40;0.00;0.00;0.19
2017-02-06;1.29;0.74;0.34;0.10;0.97;0.54;0.02;0.00;0.19
2017-02-07;0.73;0.68;0.05;0.07;0.39;0.49;0.11;0.00;0.35
2017-02-08;0.04;0.33;0.02;0.00;0.03;0.25;0.00;0.00;0.06
2017-02-09;0.00;0.55;0.00;0.05;0.00;0.38;0.00;0.01;0.53
2017-02-10;0.61;0.13;0.32;0.53;0.26;0.02;0.00;0.15;0.06
2017-02-11;0.02;0.00;0.07;0.00;0.03;0.00;0.01;0.44;0.00
2017-02-12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.18;0.00
2017-02-13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.16;0.00
2017-02-14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.49;0.00
2017-02-15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.93;0.00
2017-02-16;0.15;0.38;0.00;0.12;0.00;0.21;0.00;0.26;0.08
2017-02-17;4.16;1.16;2.05;0.73;1.58;1.04;1.07;0.64;0.95
2017-02-18;0.03;0.11;0.15;0.00;0.27;0.05;0.08;0.12;0.13
2017-02-19;0.42;0.08;0.07;0.08;0.03;0.20;0.02;0.00;0.01
2017-02-20;0.31;2.00;0.01;0.48;0.07;1.32;0.00;0.00;1.87
2017-02-21;0.31;0.40;0.05;0.06;0.01;0.10;0.00;0.00;0.33
2017-02-22;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2017-02-23;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2017-02-24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.37;0.00
2017-02-25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.86;0.00
2017-02-26;0.10;0.03;0.09;0.00;0.07;0.00;0.06;0.19;0.03
2017-02-27;0.00;0.04;0.00;0.00;0.00;0.00;2.34;0.09;0.04
2017-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.16;0.00
2017-03-01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.29;0.00
2017-03-02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2017-03-03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2017-03-04;0.00;0.61;0.00;0.00;0.00;0.24;0.00;0.00;0.18
2017-03-05;0.20;0.22;0.03;0.29;0.02;0.01;0.01;0.02;0.14
2017-03-06;0.00;0.16;0.00;0.00;0.00;0.02;0.00;0.02;0.03
2017-03-07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.00
2017-03-08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2017-03-09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2017-03-10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
