Date;SBA;OAK;BUR;FAT;LAX;SMF;SAN;SFO;SJC
2017-01-20;57;57;58;54;59;54;61;52;55
2017-01-21;59;56;59;54;59;54;61;57;56
2017-01-22;56;58;53;56;57;56;62;58;57
2017-01-23;56;53;53;52;56;52;60;52;52
2017-01-24;55;56;55;53;55;53;57;54;56
2017-01-25;57;56;58;53;58;52;60;52;57
2017-01-26;58;56;63;54;62;55;62;55;57
2017-01-27;61;58;64;58;61;56;66;58;60
2017-01-28;67;59;72;60;70;57;69;56;64
2017-01-29;72;61;79;61;76;58;76;56;64
2017-01-30;75;62;79;63;76;59;77;57;65
2017-01-31;67;58;74;65;71;56;71;54;64
2017-02-01;62;61;70;66;68;52;65;54;62
2017-02-02;60;64;65;63;64;62;70;56;64
2017-02-03;59;61;60;65;61;60;69;56;64
2017-02-04;61;60;63;65;61;60;66;58;63
2017-02-05;58;63;56;60;59;61;62;59;59
2017-02-06;60;60;60;58;60;58;60;60;62
2017-02-07;60;62;61;68;62;63;67;60;67
2017-02-08;63;64;73;69;66;63;69;59;66
2017-02-09;63;64;78;62;64;63;71;56;64
2017-02-10;67;63;63;60;63;62;68;62;63
2017-02-11;64;61;63;55;61;61;62;61;60
2017-02-12;68;64;74;61;70;63;67;61;65
2017-02-13;68;62;75;64;72;59;70;61;63
2017-02-14;64;65;72;68;69;64;65;60;70
2017-02-15;67;65;79;73;70;61;70;63;71
2017-02-16;64;64;70;60;64;64;69;64;66
2017-02-17;58;61;57;57;59;59;64;63;59
2017-02-18;61;59;59;64;59;59;61;62;56
2017-02-19;61;57;60;59;59;54;62;59;56
2017-02-20;59;61;60;62;61;58;69;64;61
2017-02-21;60;62;64;68;64;60;74;63;61
2017-02-22;65;57;62;57;61;56;64;66;56
2017-02-23;60;55;57;55;60;52;61;63;54
2017-02-24;60;56;62;57;61;52;62;64;56
2017-02-25;58;56;60;56;60;54;62;59;59
2017-02-26;57;58;57;58;56;58;58;57;59
2017-02-27;59;56;59;58;57;55;59;58;55
2017-02-28;64;60;62;59;61;58;61;60;58
2017-03-01;69;62;72;64;72;62;70;61;64
2017-03-02;70;66;79;67;77;65;75;55;66
2017-03-03;73;65;80;70;79;63;77;53;67
2017-03-04;62;62;68;69;67;61;63;54;62
2017-03-05;61;54;59;53;60;51;64;56;53
2017-03-06;65;55;66;59;63;54;62;57;56
2017-03-07;65;60;77;63;71;57;67;55;62
2017-03-08;75;67;84;66;79;67;75;57;67
2017-03-09;76;71;87;72;76;71;79;62;71
2017-03-10;71;69;83;72;74;71;78;66;72
2017-03-11;77;66;84;75;73;72;69;62;73
2017-03-12;69;71;90;76;68;75;68;61;75
2017-03-13;70;74;93;81;67;75;69;53;79
2017-03-14;65;78;89;87;67;77;80;56;81
2017-03-15;65;63;87;86;70;69;75;59;70
2017-03-16;69;67;79;76;69;72;71;64;69
2017-03-17;62;76;83;80;65;75;68;67;77
2017-03-18;62;68;79;80;67;69;69;67;73
2017-03-19;62;64;79;76;66;71;68;65;71
2017-03-20;64;64;69;71;66;67;68;70;64
2017-03-21;60;67;63;72;66;67;72;77;69
2017-03-22;68;63;67;63;65;62;67;76;61
2017-03-23;71;62;69;65;65;62;66;62;64
2017-03-24;64;58;70;62;67;55;68;65;59
2017-03-25;70;64;69;65;66;64;69;71;65
2017-03-26;67;64;69;67;67;64;67;69;64
2017-03-27;75;65;72;67;68;64;69;63;63
2017-03-28;75;74;78;68;73;72;71;62;72
2017-03-29;77;68;83;74;75;76;78;65;72
2017-03-30;77;66;75;66;68;66;65;59;66
2017-03-31;72;76;74;68;72;71;66;61;73
2017-04-01;69;76;74;76;68;76;70;58;79
2017-04-02;66;74;77;80;71;80;75;61;78
2017-04-03;56;70;68;76;64;73;64;63;73
2017-04-04;63;70;78;79;67;73;69;61;74
2017-04-05;72;74;85;83;76;72;75;68;77
2017-04-06;64;67;78;73;70;60;73;65;70
2017-04-07;62;65;72;62;66;61;71;61;65
2017-04-08;68;59;67;62;65;57;70;68;58
2017-04-09;66;62;74;66;68;61;68;78;65
2017-04-10;70;67;78;70;71;67;71;74;69
2017-04-11;70;67;74;73;71;68;71;68;69
2017-04-12;70;67;74;79;68;67;71;72;68
2017-04-13;69;62;68;67;69;62;74;68;64
2017-04-14;73;65;68;67;68;64;67;65;64
2017-04-15;70;67;77;73;70;68;72;64;71
2017-04-16;66;62;77;75;70;58;74;56;62
2017-04-17;66;65;75;75;71;62;74;60;66
2017-04-18;68;68;73;65;75;69;71;64;69
2017-04-19;76;69;76;73;68;68;72;67;72
2017-04-20;83;69;83;74;74;69;71;64;69
2017-04-21;84;75;93;77;83;79;78;59;77
