Date;SBA;OAK;BUR;FAT;LAX;SMF;SAN;SFO;SJC
2017-01-20;46;48;48;42;59;46;54;45;45
2017-01-21;44;49;41;41;59;45;53;40;43
2017-01-22;49;48;47;47;57;44;53;40;47
2017-01-23;43;46;41;39;56;41;51;41;41
2017-01-24;37;41;36;34;55;34;49;44;38
2017-01-25;34;41;36;32;58;32;45;41;35
2017-01-26;34;44;36;34;62;37;44;49;38
2017-01-27;34;41;46;35;61;37;44;51;36
2017-01-28;34;39;45;33;70;33;44;43;34
2017-01-29;34;41;41;34;76;32;45;48;37
2017-01-30;38;39;46;36;76;31;49;47;38
2017-01-31;40;39;46;38;71;33;50;45;38
2017-02-01;39;47;43;42;68;39;47;41;44
2017-02-02;52;51;48;50;64;45;50;41;51
2017-02-03;55;56;52;51;61;54;52;43;56
2017-02-04;48;51;49;47;61;49;56;41;49
2017-02-05;47;49;46;46;59;47;55;41;49
2017-02-06;53;55;50;52;60;53;57;41;54
2017-02-07;56;57;55;53;62;53;59;42;55
2017-02-08;58;58;57;59;66;56;58;42;59
2017-02-09;54;58;54;57;64;56;57;47;58
2017-02-10;55;52;56;53;63;51;58;51;50
2017-02-11;50;46;53;45;61;46;57;55;46
2017-02-12;48;42;48;43;70;40;52;53;41
2017-02-13;43;45;54;42;72;40;53;50;41
2017-02-14;50;46;51;43;69;41;57;55;45
2017-02-15;46;51;47;46;70;44;53;56;49
2017-02-16;46;54;50;51;64;51;53;56;54
2017-02-17;53;54;51;51;59;52;53;58;53
2017-02-18;50;52;48;49;59;48;54;51;47
2017-02-19;45;51;47;48;59;47;55;47;48
2017-02-20;52;55;50;51;61;52;56;44;53
2017-02-21;50;52;52;53;64;47;56;46;48
2017-02-22;45;43;47;45;61;38;56;48;42
2017-02-23;40;41;46;36;60;32;52;51;38
2017-02-24;38;37;37;31;61;31;47;55;35
2017-02-25;38;40;37;34;60;37;47;54;36
2017-02-26;46;39;45;36;56;34;52;50;38
2017-02-27;48;41;48;42;57;36;54;50;42
2017-02-28;42;39;44;35;61;33;53;54;38
2017-03-01;37;41;43;36;72;35;48;50;37
2017-03-02;38;41;43;38;77;34;50;45;38
2017-03-03;38;43;46;41;79;37;50;42;40
2017-03-04;43;52;47;45;67;46;53;40;46
2017-03-05;46;46;43;38;60;41;55;44;40
2017-03-06;41;45;42;34;63;42;52;40;39
2017-03-07;40;42;43;36;71;37;48;42;40
2017-03-08;44;44;50;41;79;40;53;43;44
2017-03-09;46;49;54;45;76;40;55;43;46
2017-03-10;50;53;54;49;74;50;56;43;52
2017-03-11;46;51;53;49;73;43;57;44;51
2017-03-12;48;47;53;51;68;49;56;51;50
2017-03-13;52;48;56;51;67;42;55;42;47
2017-03-14;51;53;56;54;67;45;54;43;53
2017-03-15;50;54;62;55;70;54;61;42;52
2017-03-16;48;53;57;52;69;51;59;46;53
2017-03-17;51;48;56;52;65;44;56;50;46
2017-03-18;53;53;53;55;67;57;55;52;51
2017-03-19;54;56;51;53;66;54;57;50;54
2017-03-20;56;55;56;57;66;51;60;48;53
2017-03-21;56;59;54;57;66;53;57;48;56
2017-03-22;50;52;53;48;65;46;59;54;50
2017-03-23;48;45;51;45;65;39;57;52;49
2017-03-24;45;53;47;49;67;51;53;51;53
2017-03-25;50;52;51;51;66;50;56;48;50
2017-03-26;47;54;51;47;67;48;59;53;49
2017-03-27;51;52;51;49;68;45;59;54;50
2017-03-28;50;49;56;44;73;49;56;55;45
2017-03-29;47;50;54;48;75;46;55;57;47
2017-03-30;51;55;55;51;68;51;57;52;52
2017-03-31;50;53;53;42;72;50;58;50;52
2017-04-01;46;49;49;47;68;44;54;53;49
2017-04-02;47;52;53;51;71;47;56;52;51
2017-04-03;51;48;52;52;64;51;57;52;50
2017-04-04;50;51;55;49;67;50;59;51;46
2017-04-05;48;52;56;53;76;53;57;48;53
2017-04-06;50;50;56;56;70;51;59;53;51
2017-04-07;52;50;54;53;66;48;58;51;52
2017-04-08;50;46;52;44;65;42;59;55;46
2017-04-09;45;42;48;39;68;37;55;53;41
2017-04-10;42;46;48;43;71;43;54;52;41
2017-04-11;47;55;51;52;71;53;55;49;55
2017-04-12;47;55;52;53;68;52;56;48;56
2017-04-13;49;52;54;49;69;45;56;52;49
2017-04-14;50;44;52;43;68;38;58;50;45
2017-04-15;44;45;48;44;70;40;56;50;44
2017-04-16;47;51;53;50;70;47;57;47;53
2017-04-17;52;55;53;57;71;54;58;45;56
2017-04-18;53;56;59;55;75;53;62;46;51
2017-04-19;49;55;55;51;68;48;61;53;46
2017-04-20;53;54;53;50;74;52;58;54;54
2017-04-21;51;51;58;49;83;48;59;50;50
2017-04-22;51;49;61;54;79;51;59;47;50
2017-04-23;52;54;59;53;74;49;62;46;52
2017-04-24;50;55;56;51;68;53;61;52;52
2017-04-25;53;56;60;51;72;49;62;54;51
2017-04-26;57;54;58;53;71;55;59;52;57
2017-04-27;56;51;58;54;76;51;61;49;53
2017-04-28;56;49;64;51;84;51;61;54;49
2017-04-29;49;53;63;49;80;46;59;51;53
2017-04-30;48;52;57;53;80;44;60;51;50
2017-05-01;49;54;58;57;76;56;60;53;56
2017-05-02;52;57;60;62;74;62;61;53;60
2017-05-03;53;58;60;65;72;62;61;52;62
2017-05-04;54;56;59;70;68;57;64;54;58
2017-05-05;54;54;57;59;65;53;62;52;53
2017-05-06;47;52;49;52;65;49;54;49;51
2017-05-07;47;54;48;49;63;57;53;54;50
2017-05-08;45;51;46;55;66;49;53;50;52
2017-05-09;51;52;54;58;71;52;59;54;52
2017-05-10;57;54;56;59;68;52;59;57;54
2017-05-11;51;54;54;56;67;51;61;53;54
2017-05-12;49;54;54;55;67;48;61;52;52
2017-05-13;54;51;53;49;70;41;61;51;50
2017-05-14;45;47;51;48;71;45;60;50;51
2017-05-15;48;53;54;50;65;42;58;50;49
2017-05-16;47;53;50;51;65;51;59;50;49
2017-05-17;50;52;54;54;66;46;59;51;52
2017-05-18;51;50;52;52;69;46;61;53;48
2017-05-19;50;53;57;59;81;49;59;52;55
2017-05-20;53;56;59;62;87;53;64;51;57
2017-05-21;54;56;65;64;74;55;63;49;59
2017-05-22;54;54;62;66;69;59;61;49;56
2017-05-23;52;55;61;67;73;59;62;50;58
2017-05-24;52;55;57;64;67;55;61;52;57
2017-05-25;55;57;58;56;66;53;61;50;55
2017-05-26;56;56;58;55;69;52;63;49;56
2017-05-27;50;56;54;56;68;52;61;52;55
2017-05-28;50;55;56;60;69;54;58;52;57
2017-05-29;52;55;56;63;68;55;61;53;53
2017-05-30;55;55;59;62;67;53;59;51;55
2017-05-31;55;56;60;60;66;56;60;52;56
2017-06-01;53;57;60;60;70;58;61;53;57
2017-06-02;54;55;59;62;69;58;64;55;54
2017-06-03;57;55;60;68;71;61;63;54;55
2017-06-04;56;53;61;65;67;57;61;54;54
2017-06-05;57;51;60;60;71;51;61;54;51
2017-06-06;57;54;62;62;68;57;62;53;54
2017-06-07;57;56;60;62;69;57;62;52;53
2017-06-08;57;61;59;60;68;51;62;54;60
2017-06-09;55;58;57;61;71;54;63;55;54
2017-06-10;53;56;60;56;69;50;58;53;52
2017-06-11;50;54;57;54;69;50;59;54;53
2017-06-12;55;52;54;50;71;50;59;53;53
2017-06-13;48;53;54;54;72;50;59;51;52
2017-06-14;51;52;59;59;76;58;61;52;54
2017-06-15;52;55;62;64;78;60;62;54;55
2017-06-16;54;60;64;67;77;69;62;59;62
2017-06-17;58;61;63;73;75;67;65;56;62
2017-06-18;58;66;64;76;74;75;62;54;70
2017-06-19;58;61;65;81;74;74;62;54;67
2017-06-20;60;59;65;80;72;70;65;53;61
2017-06-21;58;57;67;75;73;65;63;52;59
2017-06-22;57;61;62;80;75;73;62;53;67
2017-06-23;60;59;63;78;70;68;65;55;62
2017-06-24;59;60;62;73;71;61;62;57;61
2017-06-25;56;59;65;72;77;60;65;55;61
2017-06-26;55;61;69;67;82;56;65;62;60
2017-06-27;53;60;67;63;78;57;64;58;60
2017-06-28;55;59;62;64;72;57;62;56;58
2017-06-29;57;58;62;65;74;57;62;54;58
2017-06-30;55;56;62;66;73;57;64;59;58
2017-07-01;53;56;60;65;72;57;64;58;54
2017-07-02;56;57;63;66;76;58;64;57;56
2017-07-03;53;58;61;68;74;60;64;57;56
2017-07-04;53;58;64;69;75;60;66;59;57
2017-07-05;56;57;67;70;76;58;67;57;59
2017-07-06;59;56;66;72;76;62;66;57;59
2017-07-07;61;57;72;74;83;67;69;56;61
2017-07-08;60;58;75;78;86;67;68;54;64
2017-07-09;61;56;73;75;88;62;69;54;58
2017-07-10;62;55;73;74;84;62;70;54;58
2017-07-11;60;55;69;72;77;60;69;54;59
2017-07-12;60;56;67;70;75;58;70;57;58
2017-07-13;60;57;66;71;75;61;70;55;57
2017-07-14;59;58;65;71;73;59;70;54;58
2017-07-15;56;56;69;70;80;59;69;54;59
2017-07-16;61;59;69;77;81;66;68;56;66
2017-07-17;61;58;66;75;77;69;70;53;62
2017-07-18;61;57;68;71;78;61;70;55;57
2017-07-19;62;55;68;66;78;54;71;55;56
2017-07-20;56;58;68;66;80;61;69;56;58
2017-07-21;57;56;66;66;77;61;69;54;57
2017-07-22;57;56;66;71;77;60;69;55;57
2017-07-23;59;59;67;73;77;68;69;55;62
2017-07-24;61;57;67;73;77;63;70;59;58
2017-07-25;61;58;67;69;77;60;70;57;60
2017-07-26;60;57;65;69;76;60;71;55;61
2017-07-27;61;55;66;74;77;61;70;54;60
2017-07-28;62;55;66;74;75;66;68;56;60
2017-07-29;61;55;64;73;77;59;68;55;58
2017-07-30;61;56;66;70;76;53;68;55;57
2017-07-31;61;56;64;73;74;61;70;56;59
2017-08-01;61;54;68;75;82;63;70;55;59
2017-08-02;65;56;77;80;86;68;71;63;65
2017-08-03;66;62;75;85;84;70;71;57;70
2017-08-04;64;65;70;79;79;72;71;57;67
2017-08-05;62;59;68;73;78;66;70;57;63
2017-08-06;60;60;68;70;78;60;70;57;63
2017-08-07;58;61;66;69;76;61;72;57;62
2017-08-08;60;59;67;68;78;60;70;55;62
2017-08-09;60;58;65;68;75;59;69;54;62
2017-08-10;61;58;67;66;76;60;69;56;62
2017-08-11;60;58;67;68;73;62;68;61;61
2017-08-12;58;57;65;70;76;64;68;60;60
2017-08-13;61;57;64;68;76;60;67;59;58
2017-08-14;60;57;64;67;75;59;66;61;62
2017-08-15;58;58;64;62;74;56;66;61;60
2017-08-16;58;59;65;63;75;57;67;60;61
2017-08-17;59;59;63;68;75;62;66;59;60
2017-08-18;57;60;63;71;75;61;68;59;61
2017-08-19;62;59;63;73;74;61;68;58;59
2017-08-20;59;61;63;68;76;60;68;60;62
2017-08-21;59;60;65;68;76;63;69;60;64
2017-08-22;55;58;62;66;75;60;69;59;62
2017-08-23;63;58;63;68;74;62;67;59;61
2017-08-24;62;58;64;70;73;60;67;60;60
2017-08-25;62;55;65;69;74;52;67;60;57
2017-08-26;61;51;65;72;75;59;67;59;61
2017-08-27;60;56;66;72;73;67;68;59;65
2017-08-28;63;58;69;73;76;64;68;61;64
2017-08-29;63;58;76;80;83;66;68;61;62
2017-08-30;63;56;74;77;83;60;69;60;58
2017-08-31;64;53;77;72;93;54;68;59;57
2017-09-01;63;60;77;75;92;66;69;58;69
2017-09-02;68;66;81;77;95;66;70;55;74
2017-09-03;70;67;73;79;97;67;71;53;78
2017-09-04;71;63;71;80;79;69;70;60;72
2017-09-05;63;64;70;75;78;71;70;58;70
2017-09-06;62;61;70;74;75;68;70;58;66
2017-09-07;59;62;66;68;77;64;69;56;64
2017-09-08;58;60;66;64;77;59;69;56;63
2017-09-09;58;61;64;66;76;62;69;67;65
2017-09-10;56;57;67;70;82;61;69;72;64
2017-09-11;65;65;72;73;85;68;71;68;70
2017-09-12;62;62;67;70;74;67;71;68;67
2017-09-13;62;63;63;67;74;63;68;60;66
2017-09-14;59;61;62;63;74;61;67;64;62
2017-09-15;56;55;65;60;74;53;68;62;55
2017-09-16;53;53;61;60;76;59;67;60;57
2017-09-17;58;57;64;63;73;57;68;61;57
2017-09-18;54;61;60;59;73;59;68;61;60
2017-09-19;55;55;64;59;75;49;68;67;58
2017-09-20;52;56;60;56;77;56;67;65;57
2017-09-21;55;56;60;56;71;49;65;63;54
2017-09-22;50;52;54;52;72;49;63;60;50
2017-09-23;47;49;54;51;72;50;62;58;51
2017-09-24;48;49;54;54;80;49;60;56;51
