Date;SBA;OAK;BUR;FAT;LAX;SMF;SAN;SFO;SJC
2017-01-20;280;130;110;120;270;150;170;290;110
2017-01-21;270;140;150;130;280;150;290;280;120
2017-01-22;100;150;110;120;80;150;190;280;120
2017-01-23;340;290;250;300;270;200;250;360;110
2017-01-24;270;40;220;290;270;340;240;70;320
2017-01-25;150;150;200;160;250;210;300;110;300
2017-01-26;220;300;360;310;260;320;300;200;300
2017-01-27;220;70;40;40;220;320;50;230;290
2017-01-28;260;90;;30;270;310;300;270;300
2017-01-29;290;130;140;320;260;310;330;140;340
2017-01-30;260;280;200;250;270;320;300;150;320
2017-01-31;140;190;170;80;240;330;180;270;310
2017-02-01;140;120;200;130;270;40;330;290;180
2017-02-02;120;150;150;90;250;150;320;280;120
2017-02-03;120;150;140;160;100;190;330;290;150
2017-02-04;120;160;220;130;270;190;320;280;190
2017-02-05;120;170;150;140;110;160;260;140;110
2017-02-06;110;150;150;120;90;160;180;20;120
2017-02-07;130;200;120;160;260;150;290;360;130
2017-02-08;240;160;230;120;260;170;290;190;150
2017-02-09;280;170;160;330;250;210;300;30;130
2017-02-10;270;280;130;80;280;200;320;130;300
2017-02-11;30;300;150;300;260;320;290;190;290
2017-02-12;10;280;10;150;250;320;320;210;280
2017-02-13;250;280;160;290;230;80;220;170;270
2017-02-14;260;310;160;270;260;100;230;170;300
2017-02-15;250;160;220;80;260;160;320;180;180
2017-02-16;280;140;120;170;260;190;300;190;150
2017-02-17;150;140;140;150;120;150;170;190;120
2017-02-18;300;280;130;310;260;180;290;280;270
2017-02-19;240;150;140;310;240;150;250;280;120
2017-02-20;100;210;150;150;110;150;330;270;160
2017-02-21;110;220;210;200;280;180;300;280;180
2017-02-22;260;290;350;300;270;270;300;290;310
2017-02-23;320;290;330;310;270;350;300;160;270
2017-02-24;140;270;200;50;270;190;300;190;310
2017-02-25;150;270;150;230;260;330;290;130;270
2017-02-26;140;290;140;210;110;200;170;290;270
2017-02-27;130;290;110;310;260;330;190;170;310
2017-02-28;260;280;190;310;360;350;190;200;310
2017-03-01;250;290;200;350;290;320;300;220;290
2017-03-02;290;300;210;310;280;320;320;270;310
2017-03-03;260;270;200;110;260;190;290;280;320
2017-03-04;50;170;140;210;240;200;240;270;120
2017-03-05;290;280;250;300;260;270;280;250;300
2017-03-06;280;200;330;310;260;170;290;270;120
2017-03-07;250;300;150;300;260;300;310;290;290
2017-03-08;250;270;170;340;270;320;310;280;310
2017-03-09;270;270;180;310;260;320;180;280;310
2017-03-10;270;300;190;330;260;340;300;280;300
2017-03-11;20;270;90;300;270;210;320;270;300
2017-03-12;150;280;200;310;260;330;280;180;310
2017-03-13;150;300;180;320;280;330;320;290;300
2017-03-14;270;300;190;80;260;350;320;140;290
2017-03-15;270;290;250;310;260;200;290;290;290
2017-03-16;150;280;180;310;270;150;320;280;310
2017-03-17;260;280;200;40;270;150;290;280;300
2017-03-18;100;290;130;300;270;200;290;290;300
2017-03-19;140;290;170;310;260;230;220;280;290
2017-03-20;130;150;130;140;250;190;270;270;110
2017-03-21;110;150;140;140;140;200;220;280;100
2017-03-22;270;280;260;300;260;110;270;290;300
2017-03-23;260;260;340;310;250;190;280;290;320
2017-03-24;280;150;190;70;260;140;290;270;110
2017-03-25;260;280;190;300;270;290;300;280;320
2017-03-26;360;240;190;310;260;190;260;320;170
2017-03-27;320;280;330;320;330;340;270;290;280
2017-03-28;50;260;270;140;10;340;280;170;280
2017-03-29;150;270;180;310;270;340;320;220;310
2017-03-30;260;290;350;290;250;330;170;270;280
2017-03-31;270;10;330;300;260;340;340;250;310
2017-04-01;260;280;170;320;260;350;290;140;280
2017-04-02;120;280;150;310;260;330;230;270;300
2017-04-03;110;280;190;320;270;330;220;190;310
2017-04-04;250;290;150;130;260;150;300;290;290
2017-04-05;260;280;210;130;260;170;320;280;300
2017-04-06;270;150;160;250;270;180;290;270;120
2017-04-07;110;280;180;130;260;150;280;280;160
2017-04-08;330;270;330;290;270;200;290;280;300
2017-04-09;250;280;150;300;230;200;300;280;320
2017-04-10;100;270;190;310;260;140;280;280;320
2017-04-11;270;200;220;200;280;190;290;270;180
2017-04-12;260;150;270;210;260;230;300;300;170
2017-04-13;270;280;210;310;270;220;270;290;310
2017-04-14;10;280;210;310;250;340;290;190;310
2017-04-15;270;310;200;310;270;330;270;200;300
2017-04-16;270;140;160;310;260;160;300;290;180
2017-04-17;260;280;200;310;260;150;300;280;160
2017-04-18;210;280;200;310;260;190;330;280;310
2017-04-19;30;270;200;320;280;190;290;170;320
2017-04-20;330;280;340;290;270;330;300;210;300
2017-04-21;20;270;200;140;260;320;320;270;320
2017-04-22;170;280;220;310;270;180;190;280;310
2017-04-23;250;280;180;310;260;170;220;280;320
2017-04-24;270;280;340;320;270;200;200;190;280
2017-04-25;260;260;360;300;10;170;180;270;290
2017-04-26;290;280;350;310;240;180;210;270;310
2017-04-27;290;280;350;300;350;350;280;220;310
2017-04-28;20;260;350;310;270;330;300;270;320
2017-04-29;260;290;40;300;270;340;320;270;310
2017-04-30;150;270;190;310;260;190;330;280;300
2017-05-01;250;270;110;300;260;320;210;270;320
2017-05-02;250;280;180;300;270;320;180;270;310
2017-05-03;270;300;100;120;270;330;310;280;310
2017-05-04;270;290;130;300;260;180;250;270;300
2017-05-05;70;280;180;310;270;200;200;280;320
2017-05-06;350;290;200;310;260;150;270;280;260
2017-05-07;260;260;140;140;250;340;240;280;320
2017-05-08;260;290;160;210;260;170;300;270;310
2017-05-09;100;290;160;310;150;160;180;280;130
2017-05-10;140;290;130;310;240;170;220;270;170
2017-05-11;260;270;140;310;280;250;290;300;300
2017-05-12;30;280;180;310;260;260;320;280;290
2017-05-13;270;280;330;310;250;310;290;270;320
2017-05-14;250;260;180;310;230;220;240;280;320
2017-05-15;260;260;200;80;260;200;260;280;330
2017-05-16;140;270;190;310;250;200;240;290;270
2017-05-17;280;280;170;300;260;330;270;290;320
2017-05-18;350;280;180;280;240;320;270;210;310
2017-05-19;270;290;160;310;270;330;320;240;300
2017-05-20;260;310;210;140;270;140;310;270;310
2017-05-21;240;290;150;310;260;280;280;270;290
2017-05-22;90;300;110;140;270;200;290;270;290
2017-05-23;250;290;180;290;260;180;300;270;300
2017-05-24;260;220;190;220;240;190;260;260;130
2017-05-25;180;220;170;330;250;170;220;270;170
2017-05-26;260;230;170;300;270;170;260;280;320
2017-05-27;260;270;180;310;270;160;290;280;300
2017-05-28;270;270;180;310;260;180;280;290;300
2017-05-29;140;270;200;310;260;190;210;290;300
2017-05-30;250;270;180;300;250;150;200;290;300
2017-05-31;150;270;180;300;270;140;240;290;310
2017-06-01;90;260;160;310;260;190;300;190;310
2017-06-02;240;270;110;300;240;190;280;200;310
2017-06-03;250;260;190;310;270;170;180;210;310
2017-06-04;250;270;120;300;270;180;220;280;310
2017-06-05;250;280;180;310;270;200;200;270;300
2017-06-06;260;280;200;310;250;200;210;280;300
2017-06-07;250;280;180;310;260;190;230;260;300
2017-06-08;140;220;160;310;260;230;300;270;120
2017-06-09;270;270;270;300;270;220;280;260;310
2017-06-10;140;280;150;320;260;250;210;270;310
2017-06-11;260;280;170;300;280;190;200;270;280
2017-06-12;330;250;150;320;250;190;300;260;320
2017-06-13;150;270;160;320;260;320;290;280;320
2017-06-14;260;270;120;300;260;190;250;270;310
2017-06-15;150;280;180;310;250;350;330;260;300
2017-06-16;250;270;120;300;270;310;330;190;310
2017-06-17;250;280;120;310;260;330;300;260;290
2017-06-18;150;300;180;310;250;330;280;260;300
2017-06-19;270;300;120;300;250;200;310;270;290
2017-06-20;250;290;130;300;260;180;290;280;300
2017-06-21;230;290;110;300;270;170;280;260;300
2017-06-22;140;310;180;310;270;350;180;280;290
2017-06-23;270;290;180;300;270;180;270;270;300
2017-06-24;140;290;190;310;260;170;300;280;300
2017-06-25;250;270;110;310;250;190;300;290;300
2017-06-26;120;270;180;300;260;180;180;300;320
2017-06-27;130;270;180;310;270;170;310;290;300
2017-06-28;150;280;180;300;260;150;190;280;280
2017-06-29;260;250;180;300;260;180;180;300;300
2017-06-30;220;270;180;300;260;180;210;300;290
2017-07-01;250;260;180;300;260;150;180;290;300
2017-07-02;270;290;190;300;230;170;210;290;320
2017-07-03;260;310;180;300;260;200;280;270;290
2017-07-04;260;290;170;300;260;170;300;290;290
2017-07-05;130;280;180;300;270;200;210;270;290
2017-07-06;250;280;180;300;270;140;300;280;290
2017-07-07;140;270;100;300;270;360;180;260;300
2017-07-08;250;280;180;300;290;170;180;270;310
2017-07-09;150;280;180;310;260;170;220;260;280
2017-07-10;260;290;180;300;260;170;230;290;290
2017-07-11;260;280;150;320;270;190;330;310;280
2017-07-12;260;300;170;300;250;170;280;280;300
2017-07-13;250;310;170;300;270;190;290;280;320
2017-07-14;220;290;120;300;260;180;300;280;290
2017-07-15;150;290;180;290;270;320;240;280;300
2017-07-16;260;280;180;300;270;180;200;280;310
2017-07-17;270;280;180;310;240;240;190;310;290
2017-07-18;250;280;180;310;270;190;270;280;300
2017-07-19;270;280;170;300;270;190;280;290;300
2017-07-20;250;260;180;310;270;190;210;290;320
2017-07-21;250;270;140;300;260;190;280;290;310
2017-07-22;260;300;120;300;260;140;210;290;290
2017-07-23;270;290;200;280;260;180;210;290;300
2017-07-24;270;240;120;160;260;230;260;280;190
2017-07-25;260;300;180;310;260;140;250;280;310
2017-07-26;260;290;110;300;270;180;300;280;290
2017-07-27;250;290;120;300;260;140;290;280;310
2017-07-28;250;280;180;300;270;180;220;270;290
2017-07-29;260;300;180;300;260;190;230;270;310
2017-07-30;270;290;180;330;260;140;270;290;310
2017-07-31;160;290;120;310;260;180;290;300;290
2017-08-01;270;300;160;300;260;180;210;210;280
2017-08-02;260;300;130;130;260;190;340;250;320
2017-08-03;260;310;160;120;260;170;210;290;300
2017-08-04;260;310;170;300;260;190;270;290;310
2017-08-05;270;290;180;300;260;150;210;290;300
2017-08-06;240;280;170;310;250;140;220;290;300
2017-08-07;250;280;180;300;260;170;290;300;320
2017-08-08;140;280;170;310;270;190;290;300;300
2017-08-09;260;260;170;300;270;170;280;300;320
2017-08-10;260;280;180;320;280;160;290;290;290
2017-08-11;250;290;130;310;250;140;290;280;310
2017-08-12;110;270;180;330;280;170;240;290;310
2017-08-13;250;270;180;300;270;190;260;290;310
2017-08-14;260;260;190;300;270;180;250;280;320
2017-08-15;260;260;120;310;270;180;260;260;330
2017-08-16;270;300;180;310;260;190;300;280;310
2017-08-17;260;290;170;310;270;170;280;270;280
2017-08-18;260;310;180;300;260;180;290;280;280
2017-08-19;280;310;170;310;240;150;260;280;290
2017-08-20;270;300;180;300;250;170;220;270;300
2017-08-21;270;280;170;300;260;130;280;240;290
2017-08-22;260;280;100;310;260;200;280;260;290
2017-08-23;80;280;180;320;270;180;290;270;290
2017-08-24;250;280;180;300;260;180;290;290;300
2017-08-25;260;290;190;310;260;160;260;280;290
2017-08-26;270;290;110;320;270;330;290;290;300
2017-08-27;250;290;120;300;260;210;290;290;280
2017-08-28;250;290;120;120;260;160;320;250;290
2017-08-29;150;280;120;310;270;180;290;290;290
2017-08-30;260;270;110;310;260;170;320;280;300
2017-08-31;250;300;120;320;260;340;170;290;310
2017-09-01;260;320;360;140;260;320;290;250;290
2017-09-02;140;300;140;320;260;330;320;290;310
2017-09-03;140;290;160;120;260;210;120;290;130
2017-09-04;90;320;180;320;250;180;200;290;180
2017-09-05;270;310;260;310;260;190;300;300;310
2017-09-06;240;220;160;300;260;210;290;290;330
2017-09-07;90;210;110;310;270;190;290;270;310
2017-09-08;80;290;180;310;270;190;290;280;310
2017-09-09;260;290;150;320;260;150;280;290;300
2017-09-10;170;300;100;300;250;360;290;280;310
2017-09-11;270;300;180;280;260;180;300;290;170
2017-09-12;260;310;170;300;260;150;280;200;300
2017-09-13;260;280;170;300;260;140;290;280;160
2017-09-14;270;260;180;290;270;170;330;200;300
2017-09-15;50;270;170;300;270;200;260;270;310
2017-09-16;260;290;200;320;270;150;230;260;290
2017-09-17;260;280;140;300;270;190;290;290;310
2017-09-18;110;270;180;310;260;190;270;290;300
2017-09-19;240;260;210;300;280;10;210;300;310
2017-09-20;260;270;130;320;280;210;210;220;300
2017-09-21;270;280;140;320;270;200;260;250;250
2017-09-22;270;270;170;290;270;20;270;260;320
2017-09-23;170;280;200;300;270;340;230;260;310
2017-09-24;260;270;190;280;260;300;310;280;300
2017-09-25;240;290;190;320;270;310;320;270;310
2017-09-26;160;20;170;350;260;320;220;260;290
2017-09-27;250;280;150;280;260;310;300;280;300
2017-09-28;250;280;200;120;250;190;300;270;300
2017-09-29;140;270;150;300;250;170;310;270;290
2017-09-30;140;270;190;300;280;330;180;280;320
2017-10-01;160;270;160;300;260;330;180;270;310
2017-10-02;270;270;190;310;270;330;230;270;310
2017-10-03;170;270;190;180;260;340;200;280;310
2017-10-04;230;300;190;310;270;330;300;280;300
2017-10-05;250;310;160;320;260;350;300;290;300
2017-10-06;240;290;180;140;260;340;340;290;310
2017-10-07;230;270;200;310;250;160;290;260;310
2017-10-08;150;10;170;310;250;320;190;260;310
2017-10-09;260;20;160;190;260;330;310;270;300
2017-10-10;270;300;180;20;260;200;300;270;310
2017-10-11;260;260;180;320;270;360;290;270;290
2017-10-12;260;280;190;310;270;330;290;280;300
2017-10-13;250;300;170;300;260;340;300;270;300
2017-10-14;240;60;100;310;260;330;330;270;300
2017-10-15;270;300;180;300;270;360;320;270;300
2017-10-16;270;300;270;60;260;10;310;280;310
2017-10-17;220;290;160;290;250;330;300;20;290
2017-10-18;140;280;160;90;270;140;160;280;310
2017-10-19;280;300;150;310;270;200;260;260;300
2017-10-20;270;290;350;320;250;250;300;270;280
2017-10-21;350;270;340;320;260;330;330;270;310
2017-10-22;180;310;150;300;270;330;310;130;310
2017-10-23;280;40;140;300;270;210;310;140;300
2017-10-24;290;50;50;270;250;20;320;280;290
2017-10-25;270;300;190;320;260;30;300;300;310
2017-10-26;140;300;180;300;230;280;190;280;320
2017-10-27;260;300;150;300;260;340;290;280;310
2017-10-28;150;290;120;310;270;190;300;270;290
2017-10-29;80;250;190;290;260;150;180;280;300
