Date;SBA;OAK;BUR;FAT;LAX;SMF;SAN;SFO;SJC
2017-01-20;120;130;110;120;270;140;150;330;110
2017-01-21;270;140;280;130;280;150;300;280;110
2017-01-22;90;150;130;90;70;150;150;280;120
2017-01-23;350;280;260;310;260;190;270;30;50
2017-01-24;290;30;130;310;280;230;290;70;330
2017-01-25;150;160;200;150;290;320;300;100;330
2017-01-26;240;300;350;360;270;330;310;200;300
2017-01-27;220;230;50;200;210;320;40;230;290
2017-01-28;260;90;;130;280;310;300;260;180
2017-01-29;300;200;110;330;300;310;320;150;
2017-01-30;270;280;210;250;340;320;300;200;300
2017-01-31;150;200;150;120;240;230;220;300;310
2017-02-01;140;120;;120;270;310;210;300;100
2017-02-02;80;140;;90;290;140;300;270;90
2017-02-03;120;150;130;160;100;190;290;280;130
2017-02-04;120;160;350;120;270;180;320;260;110
2017-02-05;120;170;90;150;280;150;260;80;120
2017-02-06;80;150;150;120;100;150;180;140;110
2017-02-07;90;200;110;160;260;160;290;10;130
2017-02-08;240;160;260;60;240;160;320;170;100
2017-02-09;260;170;100;310;240;170;310;30;120
2017-02-10;260;280;150;80;280;200;330;180;310
2017-02-11;;300;170;300;250;320;300;200;300
2017-02-12;10;280;10;150;;330;290;280;270
2017-02-13;230;300;160;310;240;80;240;160;350
2017-02-14;150;310;220;330;250;100;250;170;310
2017-02-15;240;170;240;80;260;170;300;220;170
2017-02-16;280;140;90;150;270;150;300;190;160
2017-02-17;120;130;120;150;110;150;180;180;130
2017-02-18;300;280;;310;270;160;290;280;270
2017-02-19;240;160;110;320;290;140;260;280;110
2017-02-20;90;210;110;110;150;150;320;280;150
2017-02-21;120;220;230;170;280;180;310;280;180
2017-02-22;260;280;340;280;260;280;290;280;330
2017-02-23;330;310;310;270;300;290;280;160;300
2017-02-24;220;320;230;130;280;140;300;180;310
2017-02-25;150;260;90;230;290;360;280;130;300
2017-02-26;140;280;140;110;180;190;170;290;310
2017-02-27;130;270;130;300;300;320;190;150;300
2017-02-28;250;280;320;320;20;330;290;200;
2017-03-01;250;290;240;50;290;340;300;210;300
2017-03-02;260;300;100;320;290;320;320;280;320
2017-03-03;250;260;140;120;280;90;290;280;330
2017-03-04;160;170;140;170;280;180;230;280;170
2017-03-05;270;280;250;310;260;280;290;250;300
2017-03-06;290;200;330;300;260;150;290;270;120
2017-03-07;260;300;130;320;290;300;310;280;310
2017-03-08;240;280;180;100;260;340;310;280;310
2017-03-09;280;290;180;310;290;220;180;280;320
2017-03-10;270;310;170;330;260;330;300;290;300
2017-03-11;30;270;100;330;270;190;310;280;310
2017-03-12;40;280;200;320;260;320;320;180;330
2017-03-13;150;300;90;70;300;330;300;280;290
2017-03-14;260;310;230;70;260;350;320;240;320
2017-03-15;260;290;260;330;270;180;290;290;320
2017-03-16;150;280;230;310;280;150;320;280;320
2017-03-17;270;280;120;140;;180;300;260;300
2017-03-18;90;290;80;290;260;190;290;270;310
2017-03-19;140;300;150;300;240;240;220;270;280
2017-03-20;120;200;210;140;270;190;300;270;110
2017-03-21;90;140;130;120;150;160;230;280;100
2017-03-22;280;280;260;300;270;120;280;300;310
2017-03-23;250;260;330;300;290;160;270;290;330
2017-03-24;270;140;190;70;260;160;290;270;100
2017-03-25;260;250;190;300;280;260;300;280;310
2017-03-26;10;240;140;300;290;190;270;320;170
2017-03-27;340;280;320;310;10;330;280;290;300
2017-03-28;200;260;170;130;10;340;280;130;290
2017-03-29;140;250;230;50;270;170;300;220;300
2017-03-30;240;280;360;290;250;310;170;280;280
2017-03-31;280;360;320;300;290;330;340;280;300
2017-04-01;280;280;150;300;260;360;280;140;280
2017-04-02;120;270;130;320;240;340;230;270;310
2017-04-03;210;280;170;330;250;330;210;180;320
2017-04-04;250;240;140;130;270;220;270;290;290
2017-04-05;260;280;150;140;260;170;330;270;300
2017-04-06;270;160;130;250;260;190;290;270;110
2017-04-07;120;220;120;120;290;160;310;270;180
2017-04-08;310;270;330;290;270;210;310;330;300
2017-04-09;20;310;130;310;280;170;290;280;310
2017-04-10;100;270;210;310;230;130;310;280;330
2017-04-11;270;190;250;180;290;190;290;270;150
2017-04-12;270;160;220;210;260;220;300;290;160
2017-04-13;280;280;210;60;250;220;270;290;310
2017-04-14;10;270;200;310;290;330;290;190;300
2017-04-15;260;310;170;280;220;300;260;200;290
2017-04-16;270;150;160;310;270;150;290;270;190
2017-04-17;260;280;190;310;270;140;310;280;140
2017-04-18;210;270;200;290;310;190;320;280;330
2017-04-19;30;270;200;300;290;200;290;170;320
2017-04-20;20;270;340;300;260;330;300;200;320
2017-04-21;30;270;190;150;270;300;300;270;340
2017-04-22;180;270;130;310;270;160;190;280;310
2017-04-23;240;280;190;320;260;170;280;280;320
2017-04-24;350;280;340;290;270;190;200;200;320
2017-04-25;260;270;360;320;10;170;300;270;300
2017-04-26;330;280;10;300;240;160;270;280;310
2017-04-27;280;290;330;310;360;340;280;210;290
2017-04-28;280;260;50;310;10;320;290;280;320
2017-04-29;260;250;50;290;270;350;330;270;280
2017-04-30;180;270;190;290;230;310;300;280;310
2017-05-01;260;260;180;300;260;320;210;270;340
2017-05-02;260;280;190;300;280;320;200;270;320
2017-05-03;140;300;100;160;250;330;320;270;300
2017-05-04;270;290;90;300;260;180;250;270;280
2017-05-05;60;260;150;310;280;200;190;280;330
2017-05-06;330;290;200;300;250;170;260;270;280
2017-05-07;260;250;110;160;250;330;230;290;300
2017-05-08;250;290;150;210;250;170;310;280;310
2017-05-09;100;290;150;220;160;160;190;280;130
2017-05-10;130;270;110;310;250;180;250;270;180
2017-05-11;260;260;120;310;260;180;300;300;300
2017-05-12;50;280;200;320;260;260;280;280;280
2017-05-13;160;280;330;310;260;320;290;270;320
2017-05-14;350;270;170;310;130;240;230;270;320
2017-05-15;260;260;;280;240;200;260;270;330
2017-05-16;140;270;170;310;240;180;240;290;290
2017-05-17;10;270;160;300;250;340;240;290;320
2017-05-18;20;280;170;;240;320;250;250;320
2017-05-19;260;290;160;280;270;240;320;270;300
2017-05-20;260;310;220;130;260;150;310;270;300
2017-05-21;240;290;110;300;250;270;300;270;300
2017-05-22;120;290;100;;240;190;290;270;290
2017-05-23;250;290;90;310;260;180;290;270;280
2017-05-24;270;220;190;220;230;180;280;260;150
2017-05-25;110;220;180;;240;170;210;270;170
2017-05-26;280;220;250;;270;160;260;280;190
2017-05-27;270;260;180;;260;190;300;280;340
2017-05-28;270;270;150;;260;180;290;290;310
2017-05-29;140;250;140;;250;200;210;290;320
2017-05-30;270;270;180;310;250;150;210;290;300
2017-05-31;140;270;90;;270;140;230;290;340
2017-06-01;90;270;160;;260;190;300;200;300
2017-06-02;250;270;80;;260;190;320;200;300
2017-06-03;250;260;90;;260;160;180;240;270
2017-06-04;240;270;130;;260;190;220;280;350
2017-06-05;240;270;160;290;250;190;220;280;310
2017-06-06;260;280;200;;250;200;220;280;280
2017-06-07;;290;170;310;260;170;230;260;290
2017-06-08;140;220;100;310;260;230;290;270;130
2017-06-09;270;240;260;310;250;200;320;260;310
2017-06-10;230;260;160;310;260;180;190;270;310
2017-06-11;260;280;170;280;280;180;180;270;290
2017-06-12;340;230;160;;250;190;270;250;320
2017-06-13;150;250;160;;240;290;320;280;310
2017-06-14;240;280;90;;270;200;230;270;300
2017-06-15;160;250;170;280;230;320;300;250;320
2017-06-16;250;280;110;280;260;310;320;190;310
2017-06-17;240;280;130;;260;340;290;270;300
2017-06-18;130;310;180;;260;330;280;270;310
2017-06-19;270;300;100;;270;190;320;260;290
2017-06-20;240;290;110;;250;180;290;280;310
2017-06-21;200;290;100;;260;340;280;260;300
2017-06-22;130;300;;;240;340;180;280;290
2017-06-23;270;290;150;;270;180;270;270;280
