Date;SBA;OAK;BUR;FAT;LAX;SMF;SAN;SFO;SJC
2017-01-20;23.0;33.1;35.1;25.1;36.0;40.0;36.9;16.1;31.1
2017-01-21;17.0;31.1;15.0;14.1;29.1;25.9;23.0;14.1;38.0
2017-01-22;25.9;38.0;29.1;18.1;23.0;38.9;31.1;17.0;36.9
2017-01-23;21.9;18.1;16.1;18.1;29.1;16.1;32.0;8.1;12.1
2017-01-24;12.1;18.1;13.0;14.1;14.1;17.0;16.1;16.1;18.1
2017-01-25;8.9;14.1;13.0;8.9;15.0;10.1;14.1;15.0;13.0
2017-01-26;8.9;15.0;25.9;8.9;16.1;17.0;15.0;38.9;15.0
2017-01-27;8.9;14.1;32.0;6.9;17.0;17.0;21.9;21.9;13.0
2017-01-28;8.9;12.1;;6.0;14.1;12.1;14.1;38.0;8.9
2017-01-29;13.0;10.1;13.0;8.9;12.1;8.9;10.1;31.1;4.9
2017-01-30;10.1;8.9;8.9;8.1;13.0;6.9;12.1;33.1;6.9
2017-01-31;13.0;8.1;10.1;6.9;14.1;8.1;10.1;17.0;8.9
2017-02-01;16.1;18.1;13.0;8.9;16.1;13.0;8.9;15.0;23.9
2017-02-02;14.1;23.0;12.1;18.1;13.0;21.0;10.1;15.0;23.9
2017-02-03;10.1;23.9;13.0;21.0;13.0;28.0;10.1;13.0;17.0
2017-02-04;10.1;16.1;10.1;12.1;19.9;18.1;17.0;14.1;14.1
2017-02-05;13.0;29.1;12.1;19.9;13.0;25.9;16.1;10.1;25.9
2017-02-06;16.1;25.9;19.9;19.9;18.1;31.1;18.1;8.1;23.0
2017-02-07;8.9;36.0;12.1;21.9;18.1;40.9;16.1;8.1;23.9
2017-02-08;8.1;17.0;13.0;13.0;13.0;18.1;14.1;6.9;17.0
2017-02-09;14.1;29.1;8.9;14.1;15.0;21.0;17.0;19.9;25.9
2017-02-10;14.1;18.1;10.1;21.0;16.1;14.1;16.1;21.0;18.1
2017-02-11;21.0;15.0;17.0;21.0;16.1;23.0;14.1;33.1;16.1
2017-02-12;21.0;14.1;28.0;8.9;14.1;35.1;15.0;14.1;15.0
2017-02-13;8.9;10.1;12.1;8.9;15.0;10.1;13.0;33.1;8.1
2017-02-14;10.1;14.1;13.0;8.1;14.1;13.0;10.1;35.1;10.1
2017-02-15;14.1;21.0;15.0;8.9;21.0;12.1;14.1;40.9;21.9
2017-02-16;18.1;31.1;13.0;16.1;17.0;21.0;17.0;23.0;23.9
2017-02-17;32.0;42.9;29.1;23.9;32.0;40.9;40.0;36.9;44.1
2017-02-18;23.0;31.1;15.0;21.0;19.9;15.0;16.1;23.0;23.0
2017-02-19;12.1;31.1;14.1;19.9;12.1;29.1;15.0;21.0;29.1
2017-02-20;17.0;38.9;16.1;23.0;15.0;31.1;13.0;21.0;31.1
2017-02-21;12.1;31.1;10.1;19.9;14.1;25.9;17.0;18.1;18.1
2017-02-22;25.1;30.0;23.9;23.0;25.1;28.0;18.1;18.1;23.9
2017-02-23;23.9;21.0;21.9;18.1;25.9;10.1;16.1;23.9;17.0
2017-02-24;13.0;18.1;13.0;8.1;18.1;12.1;14.1;33.1;15.0
2017-02-25;10.1;17.0;14.1;10.1;18.1;14.1;14.1;28.0;17.0
2017-02-26;14.1;21.0;15.0;8.1;14.1;23.9;21.0;35.1;17.0
2017-02-27;14.1;19.9;12.1;16.1;15.0;12.1;25.9;23.0;18.1
