Date;SBA;OAK;BUR;FAT;LAX;SMF;SAN;SFO;SJC
2017-01-20;30.0;42.9;45.0;33.1;40.9;52.1;49.0;21.0;40.0
2017-01-21;21.0;38.0;19.0;17.0;34.0;36.9;30.0;16.1;50.1
2017-01-22;38.0;44.1;36.9;23.0;30.0;53.0;40.0;19.9;46.1
2017-01-23;31.1;23.0;21.0;25.1;33.1;19.0;40.0;10.1;23.9
2017-01-24;14.1;21.0;16.1;17.0;19.0;25.1;21.0;17.0;23.0
2017-01-25;12.1;16.1;15.0;12.1;21.0;17.0;19.0;17.0;15.0
2017-01-26;12.1;18.1;35.1;13.0;18.1;25.1;19.0;51.0;17.0
2017-01-27;12.1;19.9;42.9;8.9;21.9;19.0;29.1;25.9;16.1
2017-01-28;11.0;13.0;;10.1;16.1;12.1;16.1;49.0;14.1
2017-01-29;15.0;13.0;17.0;12.1;15.0;10.1;12.1;38.0;
2017-01-30;12.1;14.1;15.0;10.1;16.1;13.0;15.0;45.0;8.9
2017-01-31;14.1;8.9;14.1;8.9;16.1;11.0;13.0;21.0;11.0
2017-02-01;19.0;21.0;;11.0;18.1;15.0;11.0;17.0;32.0
2017-02-02;19.0;32.0;;23.9;21.0;25.9;13.0;17.0;33.1
2017-02-03;13.0;32.0;19.9;27.1;15.0;32.0;14.1;14.1;23.9
2017-02-04;13.0;19.9;16.1;14.1;21.9;21.0;21.9;17.0;17.0
2017-02-05;15.0;36.9;16.1;21.9;18.1;35.1;18.1;12.1;33.1
2017-02-06;21.0;31.1;27.1;23.0;23.9;38.0;21.9;8.9;29.1
2017-02-07;12.1;42.9;19.9;29.1;23.9;53.9;21.9;12.1;35.1
2017-02-08;10.1;21.0;25.1;16.1;15.0;23.9;17.0;8.9;25.9
2017-02-09;18.1;36.0;13.0;17.0;19.0;30.0;21.0;21.0;36.9
2017-02-10;17.0;25.9;13.0;25.1;23.9;17.0;19.9;25.1;21.9
2017-02-11;;17.0;21.0;25.1;19.0;29.1;19.0;42.9;23.0
2017-02-12;25.9;16.1;33.1;12.1;;51.0;19.0;17.0;18.1
2017-02-13;12.1;13.0;16.1;11.0;17.0;12.1;16.1;42.9;12.1
